,m/z,I,RelInt,S/N,Res.
1715,209.0931,5535861,0.004313451405430067,29.6,602751
1716,209.09712,1669751,0.0013010423848554473,7.6,668713
1717,209.10437,2765178,0.002154581000202914,13.8,594469
1718,209.1183,3323520,0.002589631859429805,17.0,623456
1719,209.12951,3264133,0.0025433584904607726,16.6,629077
1720,209.15463,1568144,0.0012218718896151346,7.0,676975
1721,209.16268,1117011,0.0008703565114497719,4.4,376489
1722,209.19099,1339808,0.0010439562519012756,5.7,682219
1723,209.27284,1056131,0.0008229198215540931,4.1,592112
1724,209.28225,1130312,0.0008807204308371309,4.5,756095
1725,209.29727,1078734,0.0008405317056163799,4.2,733686
1726,209.30781,1167827,0.0009099514988633529,4.7,720929
1727,209.3263,1458267,0.0011362575470450376,6.4,601624
1728,209.3547,1070183,0.0008338689077304084,4.2,740405
1729,209.37905,1133810,0.0008834460146291002,4.5,538125
1730,209.40062,1246843,0.0009715194602430664,5.2,643715
1731,209.41665,1123906,0.0008757289815028386,4.5,453971
1732,209.42216,1053189,0.0008206274637736546,4.1,622108
1733,209.46173,1044502,0.0008138586969352223,4.0,793940
1734,209.46495,1337623,0.0010422537360106373,5.7,688370
1735,209.51256,1132332,0.0008822943814545631,4.5,851562
