,m/z,I,RelInt,S/N,Res.
99,152.78586,1015216,0.0010881781655357019,4.3,1071482
100,152.78807,1171056,0.0012552181701426857,5.3,883794
101,152.82127,972915,0.0010428370513488434,4.0,913941
102,152.92656,1196476,0.001282465070278142,5.4,966251
103,152.93359,1017885,0.0010910389828630634,4.3,819816
104,152.95501,1043967,0.0011189954600201435,4.5,1085419
105,152.96329,1053247,0.0011289424007462268,4.5,1067873
106,152.96912,1028960,0.0011029099277489872,4.4,927580
107,153.00503,999299,0.0010711172328269662,4.2,1071747
108,153.01938,10225604,0.010960503973749956,61.2,511571
109,153.05571,2855367,0.0030605782651092774,15.6,609550
110,153.11994,1097485,0.0011763597244359326,4.8,840446
111,153.14326,1246415,0.0013359931169289903,5.7,1169927
112,153.15729,1039376,0.0011140745112191255,4.4,645378
113,153.237,988055,0.001059065142145492,4.1,939611
114,153.24543,1012184,0.0010849282599019211,4.3,621113
115,153.26262,974553,0.001044592772136486,4.0,1001866
116,153.28558,986363,0.0010572515404527623,4.1,807221
117,153.31628,1027006,0.0011008154964797236,4.4,673945
118,153.38317,1062244,0.001138586002654909,4.6,1205936
119,153.39664,1082757,0.0011605732435077262,4.7,917191
120,153.39964,1031205,0.0011053162727845535,4.4,964199
121,153.43984,978665,0.0010490002958720092,4.1,1113190
122,153.50157,1016943,0.0010900292826298771,4.3,995570
123,153.5068,970223,0.001039951581043389,4.0,897920
124,153.51156,1065728,0.001142320392901641,4.6,653356
125,153.53377,1002658,0.0010747176394971078,4.2,645070
126,153.53446,1006194,0.0010785077669117015,4.2,1025448
127,153.54542,1090131,0.0011684772026579568,4.7,792380
128,153.55593,975156,0.0010452391089099588,4.0,768349
129,153.60267,1121720,0.0012023364602653105,4.9,859427
130,153.68449,981407,0.0010519393596080998,4.1,919108
131,153.73941,1011460,0.0010841522270263087,4.3,1004242
132,153.75729,974694,0.0010447439056108802,4.0,927117
133,153.77417,1069927,0.0011468211692064712,4.6,815918
134,153.8249,1072812,0.0011499135101541813,4.6,899180
135,153.82736,1130956,0.001212236238772434,5.0,905202
136,153.87243,1003921,0.0010760714095549787,4.2,965788
137,153.87305,970993,0.0010407769198751869,4.0,900285
138,153.95386,1140888,0.0012228820378340135,5.1,977880
139,153.96793,991577,0.0010628402633995077,4.1,735729
140,153.97583,1023706,0.0010972783300577326,4.3,955809
141,154.07068,970787,0.0010405561149409656,4.0,1064836
142,154.09439,1069541,0.0011464074279219595,4.6,1051190
143,154.0985,1066982,0.0011436645161419976,4.6,1074202
144,154.09948,1206822,0.0012935546229453899,5.5,1055385
145,154.10771,988135,0.00105915089163451,4.1,834150
146,154.10834,1079719,0.0011573169066622694,4.7,1261694
147,154.16144,983244,0.0010539083822496747,4.1,913245
148,154.17042,1204333,0.0012908867419683184,5.4,1115651
149,154.19,1178319,0.0012630031518769036,5.3,783711
150,154.23535,1022067,0.0010955215374014774,4.3,817510
151,154.23767,1009459,0.0010820074179322468,4.2,831072
152,154.25557,1075733,0.0011530444383719496,4.7,853044
153,154.28767,1037368,0.0011119221990447748,4.4,979505
154,154.30458,991130,0.0010623611381296199,4.1,741673
155,154.30712,1034490,0.0011088373611773535,4.4,820790
156,154.31557,1221179,0.001308943440618275,5.5,982969
157,154.4042,1302819,0.0013964507941611021,6.1,830605
158,154.41071,991980,0.0010632722264504357,4.1,549200
159,154.45506,1228744,0.0013170521266735358,5.6,1081542
160,154.46644,974729,0.0010447814210123255,4.0,849604
161,154.47727,1047498,0.0011227802280916737,4.5,903644
162,154.61807,986392,0.0010572826246425312,4.1,869293
163,154.64327,1070427,0.0011473571035128334,4.6,770871
164,154.66323,1025501,0.0010992023342175732,4.3,839548
165,154.72064,1245474,0.0013349844885644166,5.7,636319
166,154.72764,1039875,0.0011146093736568749,4.4,910636
167,154.73932,1087940,0.0011661287385274772,4.7,573126
168,154.79467,1053098,0.0011287826923229308,4.5,978941
169,154.79673,982826,0.0010534603411695557,4.1,952275
170,154.79942,1032682,0.0011068994227255477,4.4,1082660
171,154.81765,1034988,0.0011093711517464904,4.4,974667
172,154.82137,987628,0.0010586074542478588,4.1,627424
173,154.86667,989617,0.0010607394009185677,4.1,661150
174,154.87813,1033650,0.0011079369915426652,4.4,1111829
175,154.88798,1221683,0.0013094836623990884,5.6,907589
176,154.90037,1028148,0.001102039570435455,4.4,982584
177,154.90522,1030933,0.0011050247245218926,4.4,469774
178,154.91579,1075062,0.0011523252145328115,4.6,994075
179,154.93822,1055608,0.0011314730825408693,4.5,1175152
180,154.94746,2607865,0.0027952886397227417,14.1,908807
181,154.96403,1097147,0.0011759974328448318,4.8,828189
182,154.97061,987452,0.001058418805372019,4.1,804633
183,154.99221,988126,0.0010591412448169954,4.1,889629
184,154.99853,1950206,0.002090364599746969,10.0,757526
185,155.03495,2307970,0.002473840602109732,12.2,636604
186,155.07141,1644230,0.0017623985290999818,8.1,857092
187,155.09859,1015177,0.0010881363626598056,4.3,514581
188,155.14548,1111501,0.001191383034911879,4.9,1116585
189,155.14786,996686,0.001068316440141917,4.2,964410
190,155.21048,1045652,0.0011208015586325842,4.5,892614
191,155.22358,986966,0.0010578978772262351,4.1,1052965
192,155.24793,1085912,0.001163954988980872,4.7,1034005
193,155.25625,987833,0.0010588271873134673,4.1,857548
194,155.28714,1101276,0.001180423178346771,4.8,945307
195,155.45234,1035501,0.001109921020344818,4.4,688269
196,155.486,1020657,0.0010940102026575358,4.3,433806
197,155.49588,1001970,0.0010739801938915534,4.2,813276
198,155.54456,1007287,0.0010796793193054092,4.2,1083481
199,155.55674,976025,0.0010461705627344165,4.0,872380
200,155.56085,1002489,0.0010745364937015574,4.2,786881
201,155.58475,1030204,0.0011042433323032164,4.4,934576
202,155.59819,1049853,0.0011253044786746398,4.5,1076241
203,155.619,1041343,0.0011161828767803543,4.4,783639
204,155.63167,1101953,0.0011811488333975857,4.8,896133
205,155.63316,1005473,0.001077734949641927,4.2,812794
206,155.6685,972036,0.0010418948788382587,4.0,920499
207,155.67995,1045126,0.0011202377557422913,4.5,1127961
208,155.76479,1069423,0.001146280947425658,4.6,732868
209,155.76939,1026383,0.0011001477223339963,4.3,893233
210,155.77556,1036784,0.0011112962277749436,4.4,711882
211,155.77787,1028784,0.0011027212788731475,4.4,712493
212,155.78149,1059025,0.0011351356575905489,4.5,677635
213,155.78752,1117377,0.001197681334880248,4.9,579050
214,155.80129,1030867,0.0011049539811934528,4.4,933023
215,155.86393,1014554,0.0010874685885140783,4.3,1022070
216,156.0003,977161,0.0010473882054784717,4.0,837608
217,156.02735,1110060,0.0011898384722409429,4.9,934354
218,156.05359,1002030,0.0010740445060083168,4.2,1243197
219,156.10662,1058740,0.0011348301750359225,4.5,928429
220,156.11826,1068406,0.0011451908570465172,4.6,884495
221,156.1361,977400,0.0010476443820769126,4.0,1050415
222,156.15179,1079801,0.0011574047998885127,4.7,775616
223,156.1959,971966,0.0010418198480353679,4.0,1161906
224,156.21854,1013825,0.001086687196295402,4.3,939764
225,156.23304,1111042,0.0011908910472186384,4.9,887427
226,156.2433,1428355,0.001531008892328083,6.8,904345
227,156.26182,1056166,0.0011320711852267696,4.5,929261
228,156.29004,992745,0.00106409220593917,4.1,833550
229,156.4248,980952,0.00105145165938931,4.1,1016103
230,156.45662,1009179,0.0010817072947206842,4.2,1119067
231,156.46111,987484,0.0010584531051676263,4.1,823281
232,156.47056,1050781,0.0011262991727472482,4.5,773938
233,156.47187,1106717,0.001186255215468605,4.8,836117
234,156.58386,1000874,0.0010728054258920072,4.2,1012375
235,156.60642,1026861,0.0011006600755308785,4.3,600883
236,156.61057,981357,0.0010518857661774635,4.1,848661
237,156.61799,1194126,0.0012799461790382397,5.4,736698
238,156.63254,1079504,0.0011570864549105336,4.7,829916
239,156.6579,1227506,0.001315725153330983,5.6,1095489
