,m/z,I,I %,Res.,S/N
16983,508.07545,12064803,0.1,581406,7.9
16984,508.08249,14485574,0.2,459196,9.9
16985,508.1036,22331569,0.2,463295,16.5
16986,508.11175,9922778,0.1,557762,6.0
16987,508.11662,7902450,0.1,344332,4.3
16988,508.12371,8027414,0.1,231903,4.4
16989,508.14009,12239209,0.1,480073,8.0
16990,508.15314,8610219,0.1,473500,4.9
16991,508.1584,8067526,0.1,486093,4.5
16992,508.17632,8253984,0.1,583138,4.6
16993,508.19752,9145995,0.1,505414,5.4
16994,508.22097,8029953,0.1,389018,4.4
16995,508.23388,7756610,0.1,685287,4.2
16996,508.24224,8072044,0.1,576961,4.5
16997,508.4145,7902930,0.1,459166,4.3
16998,508.50384,7792789,0.1,430787,4.2
16999,508.55361,7572368,0.1,375291,4.0
17000,508.76742,22465992,0.2,553010,16.7
17001,508.76886,133475791,1.4,448047,110.7
17002,508.9599,7968148,0.1,390969,4.4
17003,508.99609,7590987,0.1,313414,4.1
17004,509.01275,13001375,0.1,418110,8.6
17005,509.01507,15084203,0.2,528969,10.4
17006,509.03345,9642760,0.1,534424,5.8
17007,509.04949,7855961,0.1,465154,4.3
17008,509.05146,42267491,0.5,416687,33.4
17009,509.05684,7844734,0.1,530314,4.3
17010,509.06667,14689199,0.2,498095,10.1
17011,509.0709,8078277,0.1,543970,4.5
17012,509.08783,30397466,0.3,406307,23.4
17013,509.10314,8196200,0.1,523657,4.6
17014,509.11015,8539275,0.1,598612,4.9
17015,509.12425,23901394,0.3,476586,17.9
17016,509.14543,9805117,0.1,553333,5.9
17017,509.16062,12381578,0.1,533618,8.1
17018,509.18164,18171380,0.2,423351,13.0
17019,509.2182,20297389,0.2,458072,14.8
17020,509.25451,24065893,0.3,518961,18.0
17021,509.29089,14680092,0.2,536694,10.1
17022,509.29648,8205369,0.1,492253,4.6
17023,509.32715,7866580,0.1,699443,4.3
17024,509.34377,8539431,0.1,392000,4.9
17025,509.45729,8786789,0.1,379510,5.1
17026,509.60501,8569423,0.1,237859,4.9
17027,509.63491,7867111,0.1,390082,4.3
17028,509.64003,7999232,0.1,529104,4.4
17029,509.68608,7747049,0.1,377072,4.2
17030,509.95806,7726408,0.1,488317,4.2
17031,509.99797,8481298,0.1,478036,4.8
17032,510.04658,25233159,0.3,421585,19.0
17033,510.05444,14309167,0.2,456767,9.7
17034,510.05947,8374088,0.1,513262,4.7
17035,510.06172,14688084,0.2,486118,10.1
17036,510.08289,22079423,0.2,464700,16.3
17037,510.09135,11130858,0.1,468227,7.1
17038,510.09811,17123340,0.2,426841,12.1
17039,510.11941,17426552,0.2,489246,12.4
17040,510.12246,8075399,0.1,447776,4.5
17041,510.13194,10895543,0.1,445773,6.9
17042,510.13475,9316549,0.1,579717,5.5
17043,510.15583,11832623,0.1,179939,7.6
17044,510.22373,7672455,0.1,326274,4.1
17045,510.35181,8493326,0.1,510849,4.8
17046,510.49398,8724445,0.1,413382,5.0
17047,510.50216,7562246,0.1,317240,4.0
17048,510.71133,7644200,0.1,437016,4.1
17049,510.76469,21116214,0.2,480245,15.5
17050,510.78458,10890650,0.1,517005,6.8
17051,510.85398,7864057,0.1,484909,4.3
17052,510.97537,8314207,0.1,467025,4.7
17053,511.01686,8540721,0.1,405460,4.9
17054,511.02862,11725420,0.1,476814,7.6
17055,511.03053,31017590,0.3,443708,23.9
17056,511.04588,12735171,0.1,374413,8.4
17057,511.06696,34904878,0.4,456199,27.2
17058,511.08211,14609274,0.2,490919,10.0
17059,511.10345,26008550,0.3,406788,19.6
17060,511.11864,13685811,0.1,453061,9.2
17061,511.13817,9188502,0.1,526098,5.4
17062,511.13979,24165534,0.3,440768,18.1
17063,511.14568,8681659,0.1,315919,5.0
17064,511.17629,13540694,0.1,380465,9.1
17065,511.1973,15037888,0.2,524912,10.4
17066,511.21274,12617231,0.1,471899,8.3
17067,511.23372,21659257,0.2,470297,16.0
17068,511.27016,24059697,0.3,437359,18.0
17069,511.29901,7535554,0.1,587883,4.0
17070,511.30644,17184745,0.2,397641,12.2
17071,511.4251,7862848,0.1,378026,4.3
17072,511.4801,7621462,0.1,643113,4.1
17073,511.54308,7844756,0.1,336907,4.3
17074,511.86491,8391407,0.1,488600,4.7
17075,512.02325,8568335,0.1,382849,4.9
17076,512.02598,13491741,0.1,487527,9.0
17077,512.0339,11397701,0.1,342890,7.3
17078,512.05396,9352875,0.1,553112,5.5
17079,512.06243,19087061,0.2,476310,13.8
17080,512.07059,9094910,0.1,523522,5.3
17081,512.07747,17139489,0.2,463924,12.1
17082,512.08567,8524619,0.1,426486,4.8
17083,512.09873,16078732,0.2,466093,11.2
17084,512.1042,8763304,0.1,369525,5.0
17085,512.1138,9725913,0.1,593051,5.9
17086,512.13482,8825923,0.1,382359,5.1
17087,512.1714,9580795,0.1,652834,5.7
17088,512.18616,7947590,0.1,486362,4.3
17089,512.2082,7965109,0.1,335141,4.4
17090,512.27336,10109694,0.1,582298,6.2
17091,512.52865,7889929,0.1,334331,4.3
17092,512.62571,8170994,0.1,467027,4.5
17093,512.77304,8201946,0.1,225719,4.6
17094,512.9865,7965969,0.1,488632,4.4
17095,513.00986,9739654,0.1,491479,5.9
17096,513.02288,8321480,0.1,435440,4.7
17097,513.02531,8925652,0.1,510365,5.2
17098,513.0464,21000767,0.2,488816,15.4
17099,513.06152,22590091,0.2,461496,16.7
17100,513.07266,11111107,0.1,537153,7.0
17101,513.08271,25797366,0.3,451224,19.5
17102,513.08539,9872131,0.1,370091,6.0
17103,513.09796,19919683,0.2,485647,14.5
17104,513.11239,8653708,0.1,412382,4.9
17105,513.11898,22938541,0.2,438278,17.0
17106,513.1344,8283131,0.1,349044,4.6
17107,513.14757,9023550,0.1,314939,5.3
17108,513.15553,15430758,0.2,460408,10.7
17109,513.19178,15060252,0.2,474518,10.4
17110,513.21293,10909063,0.1,499259,6.9
17111,513.22836,13499861,0.1,447539,9.0
17112,513.24928,23897663,0.3,431585,17.9
17113,513.2645,10357388,0.1,466023,6.4
17114,513.28578,22382327,0.2,521220,16.6
17115,513.28786,7872257,0.1,704980,4.3
17116,513.31024,22521714,0.2,485975,16.7
17117,513.3221,9607086,0.1,582888,5.7
17118,513.39712,8770856,0.1,264243,5.0
17119,513.40395,8858955,0.1,443466,5.1
17120,513.4163,7628169,0.1,584670,4.1
17121,513.45532,8127054,0.1,542739,4.5
17122,513.66734,7614075,0.1,601098,4.0
17123,513.79953,7759638,0.1,326674,4.1
17124,513.93711,9262028,0.1,539806,5.4
17125,514.01793,10026339,0.1,513984,6.0
17126,514.02193,8676727,0.1,416747,4.9
17127,514.02439,7932291,0.1,536055,4.3
17128,514.04161,13946331,0.1,542072,9.3
17129,514.04994,7832068,0.1,576457,4.2
17130,514.05539,11298336,0.1,638799,7.1
17131,514.05677,23914023,0.3,492985,17.6
17132,514.06496,14173776,0.2,408921,9.5
17133,514.07795,11986578,0.1,627833,7.7
17134,514.08133,9687715,0.1,227299,5.7
17135,514.0931,17028830,0.2,447896,11.9
17136,514.11443,13918025,0.1,446847,9.3
17137,514.12233,10745713,0.1,560986,6.6
17138,514.12972,12683158,0.1,492904,8.2
17139,514.15103,9212930,0.1,489183,5.3
17140,514.15896,7955498,0.1,476186,4.3
17141,514.1871,11698360,0.1,534647,7.4
17142,514.19445,8300765,0.1,464471,4.6
