,m/z,I,I %,Res.,S/N
9175,327.54659,6384708,1.1,451178,4.5
9176,327.5564,6298457,1.1,611436,4.4
9177,327.56772,6950259,1.2,729341,5.1
9178,327.57413,7827265,1.4,377168,6.1
9179,327.57574,6894468,1.2,615395,5.1
9180,327.57811,6114186,1.1,943619,4.2
9181,327.57995,6067086,1.1,697003,4.2
9182,327.60632,6506185,1.1,249250,4.6
9183,327.61566,6587357,1.1,841544,4.7
9184,327.62237,7081452,1.2,358931,5.3
9185,327.63832,5952528,1.0,613193,4.0
9186,327.68255,5986930,1.0,695678,4.1
9187,327.84891,6405094,1.1,723497,4.5
9188,327.89721,6620498,1.1,771087,4.7
9189,327.94228,6228919,1.1,560115,4.3
9190,327.97517,6409216,1.1,699058,4.5
9191,327.99707,6821553,1.2,354575,5.0
9192,328.00222,6237501,1.1,746966,4.3
9193,328.00315,6526015,1.1,455780,4.6
9194,328.00985,17265486,3.0,590264,16.2
9195,328.01808,14555488,2.5,603325,13.3
9196,328.02252,15841642,2.7,743783,14.7
9197,328.03916,6558096,1.1,897901,4.7
9198,328.04061,8803731,1.5,633592,7.1
9199,328.04495,7822748,1.4,926300,6.0
9200,328.04628,56226207,9.7,546080,58.1
9201,328.04994,7621288,1.3,447719,5.8
9202,328.05441,28703154,5.0,641867,28.5
9203,328.05753,14244793,2.5,646916,12.9
9204,328.05883,15521212,2.7,604795,14.3
9205,328.06159,7007170,1.2,922644,5.1
9206,328.06566,6009291,1.0,383866,4.1
9207,328.06742,10194383,1.8,676552,8.6
9208,328.07553,13141473,2.3,768825,11.7
9209,328.0827,54530545,9.4,568351,56.3
9210,328.09084,23162371,4.0,596305,22.5
9211,328.09275,7330824,1.3,673819,5.5
9212,328.09391,9318410,1.6,683702,7.6
9213,328.10386,15010336,2.6,719564,13.8
9214,328.11082,6118960,1.1,698210,4.2
9215,328.11187,19276338,3.3,660785,18.3
9216,328.11496,7053497,1.2,575934,5.2
9217,328.11908,18604611,3.2,641039,17.6
9218,328.12718,12408405,2.1,625614,11.0
9219,328.14037,9437298,1.6,543514,7.8
9220,328.14825,12074628,2.1,738444,10.6
9221,328.15139,13811339,2.4,773604,12.5
9222,328.16485,6452905,1.1,912381,4.6
9223,328.21479,6483866,1.1,508194,4.6
9224,328.28379,7371701,1.3,616730,5.5
9225,328.31461,6785018,1.2,762640,4.9
9226,328.35687,6594393,1.1,479188,4.7
9227,328.47764,7181673,1.2,713286,5.3
9228,328.5325,6082021,1.1,595667,4.2
9229,328.58509,6165340,1.1,530056,4.2
9230,328.58793,6198114,1.1,672804,4.3
9231,328.66623,6261779,1.1,745824,4.3
9232,328.68953,6754888,1.2,711799,4.9
9233,328.90769,7076406,1.2,679724,5.2
9234,328.99386,14085114,2.4,436442,12.8
9235,328.99561,5996542,1.0,888170,4.1
9236,329.00908,8745500,1.5,1013615,7.0
9237,329.01204,7976995,1.4,658932,6.2
9238,329.01967,6098484,1.1,1111100,4.2
9239,329.02884,13730377,2.4,875071,12.4
9240,329.03011,125549132,21.7,493247,132.7
9241,329.03123,6696526,1.2,1251676,4.8
9242,329.03995,7574114,1.3,620853,5.8
9243,329.04071,6845028,1.2,1075020,5.0
9244,329.04134,23357030,4.0,606183,22.7
9245,329.04536,13863535,2.4,719747,12.5
9246,329.04906,6900599,1.2,319168,5.0
9247,329.05123,15454844,2.7,627718,14.2
9248,329.05433,6591875,1.1,592928,4.7
9249,329.0625,6374294,1.1,477376,4.5
9250,329.06449,5961882,1.0,406036,4.0
9251,329.06531,14964380,2.6,735632,13.7
9252,329.06648,156043935,27.0,495829,165.5
9253,329.07777,30579384,5.3,538615,30.5
9254,329.08181,6344386,1.1,842579,4.4
9255,329.08591,9950923,1.7,456973,8.3
9256,329.08767,38712015,6.7,510566,39.3
9257,329.08901,7339730,1.3,772432,5.5
9258,329.09956,6434538,1.1,704676,4.5
9259,329.10292,77724402,13.5,466302,81.2
9260,329.10631,7245561,1.3,837259,5.4
9261,329.11354,6846218,1.2,1292445,5.0
9262,329.11411,18575115,3.2,617569,17.6
9263,329.12279,7009055,1.2,881984,5.1
9264,329.12403,44935970,7.8,548279,46.0
9265,329.13485,8683834,1.5,804891,7.0
9266,329.13553,12405564,2.1,775627,11.0
9267,329.13651,8151102,1.4,568238,6.4
9268,329.13931,35160900,6.1,525474,35.4
9269,329.15501,6190440,1.1,644985,4.3
9270,329.16046,20641141,3.6,444564,19.8
9271,329.17192,7415183,1.3,874946,5.6
9272,329.1757,16661911,2.9,576619,15.5
9273,329.18052,5962146,1.0,602619,4.0
9274,329.19674,14043079,2.4,692169,12.7
9275,329.23317,11216410,1.9,676396,9.7
9276,329.26086,8040026,1.4,711645,6.3
9277,329.32239,6480614,1.1,561159,4.6
9278,329.54222,6330333,1.1,638485,4.4
9279,329.54614,6955238,1.2,809127,5.1
9280,329.55966,6414085,1.1,498510,4.5
9281,329.60368,6644586,1.2,675926,4.8
9282,329.82168,6031199,1.0,825335,4.1
9283,329.82956,6023793,1.0,467448,4.1
9284,329.90682,6879267,1.2,703612,5.0
9285,329.97556,6725825,1.2,626390,4.8
9286,329.9918,6325223,1.1,743380,4.4
9287,330.00178,6040318,1.0,1327638,4.1
9288,330.00801,6073356,1.1,448559,4.1
9289,330.00953,9126672,1.6,615575,7.4
9290,330.01998,10904360,1.9,711365,9.3
9291,330.02328,6124591,1.1,758501,4.2
9292,330.02563,43000629,7.4,565269,43.9
9293,330.02762,10618682,1.8,735284,9.0
9294,330.03372,27722568,4.8,544842,27.4
9295,330.0369,12767055,2.2,530088,11.3
9296,330.0381,23749458,4.1,582680,23.2
9297,330.04091,10699096,1.9,267651,9.1
9298,330.0434,7965534,1.4,580068,6.2
9299,330.05214,6511986,1.1,850000,4.6
9300,330.05362,7962998,1.4,806914,6.2
9301,330.06113,7027591,1.2,823112,5.2
9302,330.06197,87970697,15.2,531934,92.2
9303,330.06493,6325392,1.1,304886,4.4
9304,330.07009,36993948,6.4,616019,37.4
9305,330.07324,16971683,2.9,635474,15.9
9306,330.07383,8093604,1.4,1145498,6.3
9307,330.07454,9261990,1.6,700307,7.6
9308,330.07712,6697388,1.2,505834,4.8
9309,330.08137,9468854,1.6,286136,7.8
9310,330.08314,9439674,1.6,515048,7.8
9311,330.09104,11354572,2.0,446981,9.8
9312,330.09836,55989213,9.7,575421,57.8
9313,330.10639,23204847,4.0,588688,22.6
9314,330.10957,12700663,2.2,776749,11.3
9315,330.11113,7164410,1.2,889678,5.3
9316,330.11947,6848014,1.2,896431,5.0
9317,330.12753,9120800,1.6,732493,7.4
9318,330.1307,8112168,1.4,725962,6.3
9319,330.13473,17419313,3.0,621458,16.3
9320,330.14288,9423428,1.6,641220,7.7
9321,330.14739,7564366,1.3,493787,5.7
9322,330.16407,6526069,1.1,837600,4.6
9323,330.16711,8690812,1.5,746065,7.0
9324,330.1711,7908997,1.4,516889,6.1
9325,330.20029,6893001,1.2,654817,5.0
9326,330.20351,7587792,1.3,526030,5.8
9327,330.27837,6027390,1.0,610340,4.1
9328,330.33304,6771709,1.2,418501,4.9
