,m/z,I,I %,Res.,S/N
140,207.47893,6329476,0.2,1064986,5.8
141,207.47971,5782293,0.2,850497,5.1
142,207.4861,5400843,0.2,1530951,4.6
143,207.48672,5887245,0.2,773466,5.2
144,207.49205,5219178,0.2,1107927,4.3
145,207.52073,5027899,0.1,904740,4.1
146,207.52156,6411383,0.2,964558,5.9
147,207.57644,5005295,0.1,751043,4.0
148,207.58013,5309277,0.2,969940,4.4
149,207.59275,5901109,0.2,833681,5.2
150,207.59783,5070123,0.1,1005066,4.1
151,207.59936,5455512,0.2,1047021,4.6
152,207.61006,5697556,0.2,1088867,4.9
153,207.61548,5340157,0.2,1317494,4.5
154,207.6271,5002027,0.1,921450,4.0
155,207.67704,5314033,0.2,815061,4.4
156,207.70107,5195740,0.2,617965,4.3
157,207.71662,4997559,0.1,1013391,4.0
158,207.73853,5707269,0.2,1240732,5.0
159,207.74405,5523524,0.2,868782,4.7
160,207.75717,5038426,0.1,981375,4.1
161,207.75856,5937483,0.2,1202559,5.3
162,207.76919,5048815,0.1,993284,4.1
163,207.78173,7650136,0.2,1113330,7.5
164,207.80054,4991478,0.1,1208975,4.0
165,207.80288,5635084,0.2,1189433,4.9
166,207.80378,5622126,0.2,886587,4.8
167,207.81065,5414075,0.2,1310628,4.6
168,207.8116,6154061,0.2,918491,5.5
169,207.82856,6461886,0.2,706825,5.9
170,207.84762,4978845,0.1,1401295,4.0
171,207.86093,5026862,0.1,759932,4.1
172,207.86737,5801051,0.2,1111708,5.1
173,207.87213,5192793,0.2,1318017,4.3
174,207.8947,6136042,0.2,728534,5.5
175,207.91903,5103688,0.1,996387,4.2
176,207.92582,5255712,0.2,555430,4.4
177,207.96155,5051222,0.1,847062,4.1
178,207.96312,5253412,0.2,1365146,4.4
179,207.96916,5004823,0.1,1323981,4.0
180,207.98534,5473404,0.2,839946,4.6
181,208.00192,5155896,0.1,893237,4.2
182,208.00366,5181512,0.2,839776,4.3
183,208.01439,5016673,0.1,501335,4.1
184,208.02988,5897949,0.2,897827,5.2
185,208.04202,5582333,0.2,1168707,4.8
186,208.05279,5122935,0.1,1076003,4.2
187,208.07129,5499922,0.2,836141,4.7
188,208.07226,5021850,0.1,1158972,4.1
189,208.08638,7331889,0.2,1042480,7.1
190,208.09568,5438848,0.2,1338913,4.6
191,208.12213,5205873,0.2,946011,4.3
192,208.13038,6744167,0.2,1011559,6.3
193,208.13776,5023340,0.1,1542228,4.1
194,208.16105,5262891,0.2,1284999,4.4
195,208.16332,5514642,0.2,1124789,4.7
196,208.16678,5450919,0.2,1289191,4.6
197,208.18615,5875209,0.2,1103661,5.2
198,208.18718,5047474,0.1,1178147,4.1
199,208.19663,5855886,0.2,1024649,5.1
200,208.22067,5279825,0.2,1116062,4.4
201,208.22718,5146647,0.1,1412341,4.2
202,208.23173,5239112,0.2,1260940,4.3
203,208.23271,5470404,0.2,1048865,4.6
204,208.23924,5526432,0.2,758693,4.7
205,208.24329,5544714,0.2,904305,4.7
206,208.25327,6189149,0.2,1014854,5.6
207,208.25441,5135268,0.1,1084794,4.2
208,208.25936,5883116,0.2,807464,5.2
209,208.26653,5364219,0.2,653428,4.5
210,208.27296,5089767,0.1,943916,4.1
211,208.29924,5429290,0.2,1050460,4.6
212,208.30051,5373905,0.2,1228603,4.5
213,208.30928,6375888,0.2,1079644,5.8
214,208.32054,5787773,0.2,691362,5.1
215,208.32814,5356290,0.2,625170,4.5
216,208.33591,5358814,0.2,734858,4.5
217,208.34378,5057286,0.1,891538,4.1
218,208.35686,6606377,0.2,969602,6.1
219,208.36174,6275219,0.2,1115716,5.7
220,208.37793,5407171,0.2,963574,4.6
221,208.39618,5541380,0.2,1356790,4.7
222,208.40646,5211514,0.2,1133778,4.3
223,208.42145,5125777,0.1,435919,4.2
224,208.42578,5196542,0.2,708504,4.3
225,208.43079,5171471,0.2,960496,4.3
226,208.44454,6085606,0.2,1252742,5.5
227,208.45094,5733112,0.2,534168,5.0
228,208.47539,6699248,0.2,962702,6.3
229,208.48225,5354878,0.2,901780,4.5
230,208.49866,5253256,0.2,1132029,4.4
231,208.51352,5132744,0.1,705171,4.2
232,208.5191,5625230,0.2,935371,4.8
233,208.53613,8761609,0.3,844318,9.0
234,208.54546,5543978,0.2,1036430,4.7
235,208.54882,5460985,0.2,727555,4.6
236,208.6145,5821157,0.2,837875,5.1
237,208.61811,5059223,0.1,896249,4.1
238,208.63794,5086063,0.1,1267077,4.1
239,208.66043,5109366,0.1,421419,4.2
240,208.67412,5409611,0.2,985183,4.6
241,208.67887,5318349,0.2,1091192,4.4
242,208.68659,6675572,0.2,860682,6.2
243,208.68817,5447714,0.2,1071661,4.6
244,208.69504,5570298,0.2,1129253,4.8
245,208.70753,5114228,0.1,1114172,4.2
246,208.71151,5400122,0.2,1478119,4.6
247,208.71389,5035086,0.1,1137739,4.1
248,208.71686,5435555,0.2,1278649,4.6
249,208.72438,5006734,0.1,1073006,4.0
250,208.72897,5294091,0.2,1133678,4.4
251,208.73098,5196526,0.2,1317062,4.3
252,208.74062,5489383,0.2,968668,4.7
253,208.74554,5082060,0.1,939282,4.1
254,208.75815,5206293,0.2,1176320,4.3
255,208.76263,5742726,0.2,836846,5.0
256,208.76507,5238967,0.2,774494,4.3
257,208.76563,5053852,0.1,1322521,4.1
258,208.77718,5479336,0.2,1114588,4.7
259,208.79103,5048365,0.1,1150578,4.1
260,208.80237,5698588,0.2,1152449,4.9
261,208.81036,5100775,0.1,1012771,4.2
262,208.81275,5522075,0.2,680735,4.7
263,208.81897,5679812,0.2,1006265,4.9
264,208.8257,5799706,0.2,1023482,5.1
265,208.83441,5092437,0.1,1036907,4.2
266,208.85533,5556358,0.2,1158906,4.8
267,208.86396,5147639,0.1,1102703,4.2
268,208.86988,5433623,0.2,592071,4.6
269,208.87997,6452961,0.2,935124,5.9
270,208.90655,5040124,0.1,1307279,4.1
271,208.91688,5062803,0.1,804625,4.1
272,208.91995,5063900,0.1,860845,4.1
273,208.92058,5088049,0.1,772946,4.1
274,208.9262,5952367,0.2,972986,5.3
275,208.92926,5587656,0.2,749810,4.8
276,208.92976,5007364,0.1,1223619,4.0
277,208.93073,5397494,0.2,1349668,4.5
278,208.93332,5374435,0.2,1298062,4.5
279,208.93384,5178702,0.2,517641,4.3
280,208.94286,5371271,0.2,886589,4.5
281,208.97095,5211957,0.2,953067,4.3
282,208.97172,5822010,0.2,857499,5.1
283,208.99069,5263581,0.2,1168752,4.4
284,208.99117,5083348,0.1,805528,4.1
285,208.99657,5168867,0.2,1002060,4.3
286,208.99812,5739881,0.2,798393,5.0
287,209.00915,16120285,0.5,1123694,18.6
288,209.01162,5929268,0.2,1207716,5.2
289,209.01967,5487361,0.2,910652,4.7
290,209.02622,5065944,0.1,737209,4.1
291,209.03505,5110996,0.1,911465,4.2
292,209.04554,43141528,1.3,992940,54.0
293,209.06074,5147998,0.1,603446,4.2
294,209.0697,5403730,0.2,1181419,4.6
295,209.07821,5899003,0.2,1143493,5.2
296,209.0794,6239763,0.2,1121388,5.7
297,209.08192,13628860,0.4,1078828,15.3
298,209.09373,5056836,0.1,1066981,4.1
299,209.09488,5559475,0.2,941012,4.8
300,209.10156,5550203,0.2,1279920,4.7
301,209.10717,5203883,0.2,858014,4.3
302,209.10861,5098125,0.1,1135364,4.2
303,209.11848,5739955,0.2,526305,5.0
304,209.14083,6033354,0.2,869997,5.4
305,209.15327,5022261,0.1,1232325,4.1
306,209.1547,80436275,2.3,965488,102.8
307,209.1582,5589651,0.2,584528,4.8
308,209.16799,5478900,0.2,869354,4.7
309,209.19344,5525061,0.2,1240033,4.7
310,209.2019,5368601,0.2,866054,4.5
311,209.23453,7265403,0.2,967383,7.0
312,209.23622,5601486,0.2,1034355,4.8
313,209.26027,5924350,0.2,1282178,5.2
314,209.26184,5879653,0.2,738200,5.2
315,209.26358,5904033,0.2,980557,5.2
316,209.28139,5167291,0.2,794658,4.2
317,209.28528,5438931,0.2,1068254,4.6
318,209.28692,5732157,0.2,1016499,5.0
319,209.29229,5228017,0.2,1128077,4.3
320,209.30555,5016222,0.1,1012619,4.1
321,209.31072,5936237,0.2,446148,5.3
322,209.3237,5031616,0.1,1154671,4.1
323,209.33003,5127792,0.1,911973,4.2
324,209.33051,6163468,0.2,924241,5.6
325,209.33167,5387983,0.2,951280,4.5
