,m/z,I,I %,Res.,S/N
2810,230.00666,5875997,0.1,754330,5.1
2811,230.00848,6169967,0.1,958152,5.5
2812,230.02372,5425236,0.1,829435,4.5
2813,230.03694,5199085,0.1,567768,4.3
2814,230.04474,5029280,0.1,1036188,4.0
2815,230.04671,5729410,0.1,922234,4.9
2816,230.04933,5262070,0.1,818031,4.3
2817,230.05776,5704081,0.1,1054553,4.9
2818,230.06714,5082750,0.1,942332,4.1
2819,230.06912,6078432,0.1,413679,5.4
2820,230.07098,5342315,0.1,649245,4.4
2821,230.07147,5538900,0.1,827480,4.7
2822,230.07964,5619086,0.1,693903,4.8
2823,230.09866,5234600,0.1,776991,4.3
2824,230.12214,5542120,0.1,912080,4.7
2825,230.1271,5534030,0.1,1051166,4.7
2826,230.14373,5404021,0.1,303032,4.5
2827,230.16017,5013211,0.1,968758,4.0
2828,230.16604,5124291,0.1,1375666,4.2
2829,230.17337,5180333,0.1,1342899,4.2
2830,230.22244,6364144,0.1,921143,5.8
2831,230.23795,5441573,0.1,1186854,4.6
2832,230.24181,5372267,0.1,1060626,4.5
2833,230.24756,5864610,0.1,576940,5.1
2834,230.24895,5242004,0.1,1005159,4.3
2835,230.27196,6819604,0.1,795219,6.4
2836,230.3089,5399207,0.1,1110360,4.5
2837,230.3201,5090198,0.1,480114,4.1
2838,230.32453,5408028,0.1,806561,4.5
2839,230.35384,5135045,0.1,1198859,4.2
2840,230.38645,5442530,0.1,532921,4.6
2841,230.40581,5052349,0.1,867893,4.1
2842,230.4102,5475540,0.1,941545,4.6
2843,230.41102,6310837,0.1,903356,5.7
2844,230.41739,5345982,0.1,1266186,4.4
2845,230.4333,5710228,0.1,632837,4.9
2846,230.44936,5129258,0.1,630427,4.2
2847,230.4691,5342790,0.1,972347,4.4
2848,230.47202,5647850,0.1,1013870,4.8
2849,230.48905,5517458,0.1,665752,4.7
2850,230.50686,5202651,0.1,860828,4.3
2851,230.52579,7182966,0.1,1014816,6.8
2852,230.53875,5421625,0.1,695534,4.5
2853,230.5458,5873187,0.1,512725,5.1
2854,230.55105,5769882,0.1,1044155,5.0
2855,230.55491,5272336,0.1,760715,4.3
2856,230.55629,5094386,0.1,788201,4.1
2857,230.56624,5527616,0.1,639871,4.7
2858,230.57293,5155145,0.1,861063,4.2
2859,230.58265,6313095,0.1,363031,5.7
2860,230.59996,5657056,0.1,941793,4.8
2861,230.61433,5018180,0.1,764728,4.0
2862,230.6211,5533726,0.1,1025262,4.7
2863,230.63214,5728334,0.1,966404,4.9
2864,230.63471,5083010,0.1,293618,4.1
2865,230.64062,5719930,0.1,773128,4.9
2866,230.6427,5530589,0.1,1043786,4.7
2867,230.66085,5130151,0.1,933560,4.2
2868,230.66227,5204537,0.1,1198142,4.3
2869,230.66337,5122811,0.1,1130816,4.2
2870,230.66823,5635042,0.1,945381,4.8
2871,230.69693,5562219,0.1,920804,4.7
2872,230.70308,5761076,0.1,931282,5.0
2873,230.72989,5746875,0.1,995840,5.0
2874,230.7339,5119524,0.1,384793,4.1
2875,230.73931,6667304,0.1,1158552,6.2
2876,230.75469,5089983,0.1,891837,4.1
2877,230.76307,5939819,0.1,610559,5.2
2878,230.76799,7225650,0.1,782845,6.9
2879,230.77301,5528729,0.1,875344,4.7
2880,230.78476,5526282,0.1,972538,4.7
2881,230.79869,5539583,0.1,370946,4.7
2882,230.81146,5186161,0.1,1204777,4.2
2883,230.81557,5660711,0.1,865323,4.9
2884,230.81927,5991885,0.1,829925,5.3
2885,230.83731,5844151,0.1,1155302,5.1
2886,230.85964,5154776,0.1,1026544,4.2
2887,230.86772,5412420,0.1,753409,4.5
2888,230.87072,6693384,0.1,1058256,6.2
2889,230.87145,5136425,0.1,1016014,4.2
2890,230.87626,5188912,0.1,940982,4.2
2891,230.89353,5328586,0.1,638225,4.4
2892,230.90691,5797934,0.1,873227,5.0
2893,230.91255,6654502,0.1,998921,6.1
2894,230.91628,5743948,0.1,1125009,5.0
2895,230.93209,5455315,0.1,809481,4.6
2896,230.93923,5017102,0.1,1116127,4.0
2897,230.94764,6143226,0.1,751670,5.5
2898,230.95733,5081768,0.1,402771,4.1
2899,230.96009,5963404,0.1,875354,5.2
2900,230.98821,5078614,0.1,1055721,4.1
2901,230.9942,6465983,0.1,713343,5.9
2902,230.99899,6148870,0.1,916927,5.5
2903,231.00912,5093814,0.1,997214,4.1
2904,231.01596,5332368,0.1,665483,4.4
2905,231.01762,5924706,0.1,541035,5.2
2906,231.02991,8410869,0.1,903555,8.4
2907,231.03801,5028545,0.1,932632,4.0
2908,231.04207,5798823,0.1,979806,5.0
2909,231.06628,5064555,0.1,1003684,4.1
2910,231.08636,5269993,0.1,1107627,4.3
2911,231.0884,5566348,0.1,1301505,4.7
2912,231.09147,5642161,0.1,985579,4.8
2913,231.09986,12972798,0.2,1027427,14.4
2914,231.10252,7394722,0.1,728402,7.1
2915,231.12113,5045854,0.1,887995,4.0
2916,231.12818,5131656,0.1,1320694,4.2
2917,231.12996,5104587,0.1,1340121,4.1
2918,231.13057,6424364,0.1,1079501,5.8
2919,231.13434,5343410,0.1,944827,4.4
2920,231.13483,5935314,0.1,946296,5.2
2921,231.13647,5077973,0.1,487803,4.1
2922,231.14547,5547811,0.1,806452,4.7
2923,231.14941,5379817,0.1,1001896,4.5
2924,231.15577,5446418,0.1,1054724,4.6
2925,231.15733,5614069,0.1,930317,4.8
2926,231.17112,5232938,0.1,1139658,4.3
2927,231.20265,5262057,0.1,533968,4.3
2928,231.22659,5798174,0.1,750284,5.0
2929,231.22901,5359378,0.1,878936,4.5
2930,231.23052,6364836,0.1,993728,5.8
2931,231.23293,5123992,0.1,874007,4.2
2932,231.23857,5739632,0.1,843346,5.0
2933,231.24643,5540412,0.1,604509,4.7
