,m/z,I,I %,Res.,S/N
26421,932.67888,13958858,1.4,260819,4.6
26422,932.72254,18523970,1.8,126833,6.9
26423,932.73913,18587503,1.8,257531,7.0
26424,932.80606,12757032,1.3,264833,4.0
26425,932.83108,14717035,1.5,253895,5.0
26426,933.01206,13181530,1.3,280516,4.2
26427,933.05934,14236379,1.4,101709,4.8
26428,933.13681,14934958,1.5,265306,5.1
26429,933.15804,19788776,2.0,273482,7.6
26430,933.16774,14834690,1.5,182783,5.1
26431,933.19499,17232973,1.7,205999,6.3
26432,933.23193,18322607,1.8,237063,6.8
26433,933.26723,17544463,1.7,316427,6.4
26434,934.20331,13033164,1.3,276818,4.2
26435,934.32659,12824591,1.3,261356,4.1
26436,934.36008,13664359,1.3,267407,4.5
26437,935.13654,14018614,1.4,335329,4.7
26438,935.17365,13596820,1.3,303918,4.4
26439,935.18993,18335934,1.8,237282,6.8
26440,935.20882,17088750,1.7,214112,6.2
26441,935.24657,15339853,1.5,159057,5.3
26442,935.31418,14277112,1.4,323064,4.8
26443,936.11882,13062606,1.3,273304,4.2
26444,936.15311,13701666,1.4,288081,4.5
26445,936.2735,14089033,1.4,229232,4.7
26446,937.09425,15543043,1.5,231014,5.4
26447,937.12695,18725713,1.8,319002,7.0
26448,937.13118,18258778,1.8,303270,6.8
26449,937.14797,14961539,1.5,158475,5.1
26450,937.16639,29186990,2.9,158560,12.3
26451,937.18461,20270041,2.0,150257,7.8
26452,937.20099,23124992,2.3,140361,9.2
26453,937.22255,17329204,1.7,151346,6.3
26454,937.23839,16353368,1.6,134693,5.8
26455,937.25842,16215176,1.6,289049,5.8
26456,937.27199,13405352,1.3,137634,4.3
26457,937.29433,14773468,1.5,266271,5.0
26458,937.31031,13996290,1.4,190312,4.6
26459,937.36865,14067084,1.4,202316,4.7
26460,937.4047,12869088,1.3,282657,4.1
26461,937.93762,13212346,1.3,210129,4.2
26462,938.15781,14107828,1.4,249029,4.7
26463,938.16827,16254155,1.6,250064,5.8
26464,938.1971,17556750,1.7,290334,6.4
26465,938.20517,15660319,1.5,235144,5.5
26466,938.60767,15286449,1.5,210601,5.3
26467,938.85865,12970724,1.3,188368,4.1
26468,938.8979,13040443,1.3,235640,4.2
26469,938.94234,13224862,1.3,273252,4.2
26470,939.08858,12897506,1.3,333154,4.1
26471,939.10813,22707470,2.2,160447,9.0
26472,939.14454,30494046,3.0,220182,13.0
26473,939.15729,17218938,1.7,144299,6.3
26474,939.18068,35851694,3.5,185911,15.7
26475,939.20159,16645595,1.6,110086,6.0
26476,939.21706,32468478,3.2,227760,13.9
26477,939.2369,20762153,2.0,172037,8.0
26478,939.24635,15752766,1.6,244916,5.5
26479,939.25384,18941519,1.9,166621,7.1
26480,939.28935,18968221,1.9,291063,7.1
26481,939.32525,13364972,1.3,243665,4.3
26482,940.14652,14890459,1.5,365880,5.1
26483,940.18404,18929195,1.9,261071,7.1
26484,940.20721,14618203,1.4,173899,4.9
26485,940.22066,18318968,1.8,210004,6.8
26486,940.57843,12814698,1.3,102743,4.0
26487,941.1226,24227283,2.4,158371,9.8
26488,941.14788,14632454,1.4,169022,5.0
26489,941.16059,31116833,3.1,191297,13.3
26490,941.17832,14503493,1.4,136109,4.9
26491,941.19639,37437034,3.7,181589,16.4
26492,941.23254,37306035,3.7,239016,16.4
26493,941.26871,23113470,2.3,196167,9.2
26494,941.30586,20516681,2.0,150554,7.9
26495,941.3433,17960854,1.8,253513,6.6
26496,941.37697,13557722,1.3,140793,4.4
26497,941.41475,13430822,1.3,299514,4.3
26498,941.81976,12842838,1.3,185022,4.1
26499,942.18927,13696563,1.4,266022,4.5
26500,942.20018,12922440,1.3,233793,4.1
26501,942.22909,16320130,1.6,277310,5.8
26502,942.2351,14476941,1.4,290390,4.9
26503,942.38209,14806958,1.5,217975,5.0
26504,942.98527,13536315,1.3,311031,4.4
26505,942.9907,13155398,1.3,271124,4.2
26506,943.10227,13536537,1.3,297387,4.4
26507,943.11793,17167671,1.7,159462,6.2
26508,943.13941,25763168,2.5,190152,10.6
26509,943.17509,40750500,4.0,207596,18.1
26510,943.19018,13893056,1.4,214248,4.6
26511,943.21147,29396457,2.9,172035,12.4
26512,943.22686,17649158,1.7,229010,6.5
26513,943.2483,33074735,3.3,159804,14.2
