mz,Intensity,s_n,res
216.74846,1206305,4.9,934778
216.75127,1104542,4.4,1228236
216.77415,1197112,4.9,1287550
216.82704,1332063,5.7,1387194
216.84338,1350672,5.8,811792
216.86177,1076713,4.2,1194420
216.86689,1196746,4.9,1309719
216.87105,1211864,5,1157911
216.93262,1091273,4.3,781445
216.93492,1059034,4.1,1279416
216.93544,1162932,4.7,1081652
216.93845,1311652,5.5,1377442
216.97413,1053544,4.1,1016955
216.98488,1183261,4.8,1204035
216.99594,1316976,5.6,1439660
217.00837,1044263,4,1513578
217.03401,1156598,4.6,1578592
217.07745,1263947,5.3,1311089
217.09509,1249614,5.2,965764
217.12503,1153276,4.6,657210
217.21031,1508717,6.7,1153127
217.23484,1057674,4.1,1294644
217.24454,1217163,5,1172547
217.27826,1066572,4.1,1292539
217.38837,1174421,4.8,1094843
217.39051,1091881,4.3,1369273
217.39805,1137809,4.5,907538
217.41581,1087136,4.3,1509442
217.44919,1150278,4.6,1568325
217.45971,1099985,4.3,1290351
217.48487,1077546,4.2,985146
217.52841,1128734,4.5,1826467
217.52864,2188718,10.6,1201803
217.55551,1236906,5.1,917859
217.55632,1053704,4.1,1226021
217.58093,1047915,4,1591502
217.59273,1058920,4.1,1149876
217.59593,1048708,4,938107
217.62229,1119363,4.4,1238823
217.62838,1074664,4.2,1414128
217.64738,1085543,4.2,1049575
217.67859,1081244,4.2,1258018
217.70087,1055761,4.1,1210618
217.73608,1045131,4,1032554
217.76764,1063941,4.1,1293816
217.77457,1153515,4.6,1259570
217.78566,1093766,4.3,1162658
217.80537,1257943,5.2,1200338
217.82394,1277747,5.3,1055687
217.83508,1122892,4.5,1235511
217.87695,1118127,4.4,709116
217.89782,1112787,4.4,868305
218.01512,1232401,5.1,1187510
218.02187,1221917,5,1328657
218.05684,1158314,4.7,791406
218.08041,1102659,4.3,1129430
218.08073,1123192,4.5,1241747
218.08989,1087668,4.3,1310386
218.10494,1422725,6.2,1096609
218.10734,1099445,4.3,892759
218.11269,1104549,4.4,1300675
218.14174,1220384,5,1270615
218.14277,1103900,4.3,1239589
218.14558,1111507,4.4,888780
218.22847,1229528,5.1,998753
218.24934,1089219,4.3,1378979
218.26496,1150780,4.6,1202439
218.27064,1086846,4.2,1526183
218.27271,1046202,4,1125906
218.29485,1099015,4.3,1038940
218.29977,1076385,4.2,1421841
218.31454,1070436,4.2,861591
218.39797,1079921,4.2,1186904
218.43689,1198998,4.9,1233602
218.46096,1310897,5.5,964826
218.47615,1050480,4,1327593
218.49675,1105723,4.4,828109
218.5024,1052461,4.1,1475808
218.52299,1120112,4.4,1186403
218.53618,1120562,4.4,1374919
218.53644,1470524,6.4,1343403
218.56519,1051939,4,1633524
218.5738,1262508,5.3,1118559
218.60959,1064949,4.1,1783057
218.62207,1123071,4.5,1236745
218.62846,1066664,4.1,1627631
218.63463,1093112,4.3,1451454
218.66922,1077607,4.2,985109
218.70659,1059382,4.1,979356
218.75834,1082076,4.2,1750637
218.77294,1056419,4.1,1555047
218.79211,1044387,4,1459870
218.79842,1054573,4.1,858050
218.845,1237985,5.1,1035356
218.84794,1057705,4.1,1005455
218.85946,1044885,4,1143397
218.87299,1195468,4.9,983655
218.88914,1223764,5,1266548
218.89139,1071844,4.2,1161969
218.89668,1190869,4.8,924947
218.93323,1075910,4.2,1157538
218.93596,1221898,5,1288098
218.94671,1143446,4.6,1084787
218.96763,1158137,4.7,1419830
218.97036,1066891,4.1,941867
219.00479,1126088,4.5,1454715
219.019,1054896,4.1,879341
219.02964,1282813,5.4,972930
219.02989,2747019,13.8,1370870
219.0713,1161030,4.7,1473964
219.12527,1136489,4.5,1361164
219.13527,1184229,4.8,1326601
219.18238,1094051,4.3,1123173
219.22537,1089876,4.3,1172611
219.2468,1329594,5.6,1332782
219.2716,1159641,4.7,1527431
219.31309,1110120,4.4,1143737
219.32388,1095588,4.3,1401027
219.3356,1074804,4.2,1488574
219.34202,1055935,4.1,1376724
219.36542,1089357,4.3,1076638
219.41522,1055544,4.1,1138492
219.45804,1076705,4.2,1058582
219.48133,1118924,4.4,1037937
219.49157,1197972,4.9,1398336
219.49421,1075740,4.2,1111597
219.52652,1111672,4.4,1267740
219.55545,1100011,4.3,1483609
219.56675,1138283,4.5,1132612
219.58435,1107099,4.4,1423783
219.59905,1052210,4.1,1280697
219.62863,1058388,4.1,1040673
219.64722,1230285,5.1,1489953
219.77385,1272631,5.3,1070758
219.78018,1131571,4.5,917947
219.78982,1057695,4.1,1447428
219.79445,1217583,5,1156734
219.80568,1093722,4.3,780592
219.81597,1072335,4.2,1556022
219.82469,1323797,5.6,837638
219.8406,1252811,5.2,1157211
219.84211,1173051,4.7,1227825
219.84441,1248841,5.2,888295
219.85549,1094620,4.3,1096461
219.87249,1292682,5.4,1092283
219.89182,1306741,5.5,749425
219.92139,1186746,4.8,1006399
219.9386,1055821,4.1,1307438
219.94224,1156289,4.6,657712
219.9493,1089817,4.3,953445
219.97918,1168613,4.7,1206693
219.98673,1070749,4.2,1322937
220.00378,1135561,4.5,1121493
220.00898,1051977,4,1410784
220.01932,1124285,4.5,1594687
220.02984,1084699,4.2,915526
220.05054,1211900,5,746660
220.06399,1115852,4.4,1421400
220.12723,1295576,5.4,1429117
220.15645,1135856,4.5,1478677
220.18894,1156587,4.6,1407094
220.19303,1099993,4.3,907435
220.2046,1101649,4.3,1079742
220.2599,1116563,4.4,1148294
220.31899,1155403,4.6,1162605
220.32224,1101483,4.3,1349590
220.40024,1225343,5,932507
220.42531,1060539,4.1,1325313
220.43418,1074411,4.2,1464603
220.44712,1424447,6.2,1325006
220.49511,1177215,4.8,1341189
220.50055,1084019,4.2,1329376
220.50703,1092795,4.3,1417845
220.5105,1088355,4.3,1252734
220.52099,1083951,4.2,907530
220.52328,1135267,4.5,1532000
220.55012,1280959,5.4,1237847
220.6015,1115711,4.4,1262480
220.65671,1065339,4.1,1622555
220.66813,1250551,5.2,1270862
220.68441,1062879,4.1,1411903
220.86391,1138455,4.5,908399
220.86536,1060033,4.1,1394144
220.87561,1156389,4.6,947698
220.90116,1052533,4.1,1509736
220.91055,1259329,5.2,1303961
220.92436,1203581,4.9,1217589
220.93557,1113297,4.4,1468299
220.93701,1045657,4,1343634
220.94457,1073358,4.2,1281948
220.96707,1091582,4.3,1240250
220.97152,1075274,4.2,1464874
221.00893,2963874,15,1334936
221.00915,3638850,18.9,1490115
221.02269,1064039,4.1,1069501
221.03069,1326447,5.6,1027028
221.0455,2056819,9.8,1087287
221.04672,1286323,5.4,1222929
221.07345,1043599,4,1312973
221.10426,1083628,4.2,1036434
221.14683,1122876,4.5,1143804
