mz,Intensity,s_n,res
216.64573,1187749,4.8,797581
216.665,1086904,4.3,1368035
216.72524,1083844,4.2,1293182
216.75947,1091916,4.3,1300470
216.76198,1088334,4.3,1212215
216.76817,1119671,4.4,1263044
216.82217,1215428,5,1473809
216.85414,1090664,4.3,1108404
216.87362,1192613,4.9,1353984
216.94156,1079607,4.2,1086461
217.06583,1097400,4.3,907854
217.10609,1191001,4.9,1351332
217.10796,6013839,32.5,1552101
217.10817,8396271,46.2,1137958
217.10988,1046800,4,1003699
217.14436,1123587,4.5,1115382
217.14799,1109365,4.4,1125206
217.17942,1061673,4.1,865191
217.2092,1058831,4.1,1107585
217.22944,1107645,4.4,962721
217.25186,1046043,4,1072995
217.25337,1055411,4.1,1229055
217.39738,1128197,4.5,991195
217.40567,1064543,4.1,1416444
217.467,1118318,4.4,839831
217.48742,1047182,4,1213290
217.53171,1047228,4,1407341
217.547,1054843,4.1,1437026
217.55008,1076403,4.2,747975
217.64378,1116879,4.4,1017997
217.67713,1112471,4.4,1310358
217.68861,1064867,4.1,815779
217.71426,1085025,4.2,1037465
217.76743,1147022,4.6,722349
217.82452,1058218,4.1,1275682
217.85539,1044320,4,958447
217.86506,1114244,4.4,1627168
217.8842,1277567,5.4,1339632
217.91523,1092738,4.3,1203771
217.93467,1147319,4.6,1115475
217.94568,1107476,4.4,1471756
217.9826,1154771,4.7,1205301
217.98369,1164255,4.7,1104802
218.01433,1187569,4.8,895188
218.01526,1392193,6,1201102
218.05402,1094563,4.3,1401830
218.0616,1055265,4.1,1196336
218.0668,1053864,4.1,882620
218.09048,1089882,4.3,1091401
218.10877,1074073,4.2,901463
218.11132,1394061,6,1694078
218.11156,1943065,9.2,1246766
218.13429,1041796,4,1510437
218.13722,1105756,4.4,1135412
218.16512,1075317,4.2,1301344
218.17215,1161140,4.7,1171761
218.18192,1141866,4.6,1168537
218.22734,1193628,4.9,1454005
218.25788,1066449,4.1,743017
218.26687,1072219,4.2,1328887
218.29032,1217516,5,1121655
218.2964,1142953,4.6,1215558
218.32902,1174618,4.8,1260449
218.33599,1084836,4.2,1485729
218.41466,1109113,4.4,1306553
218.46314,1275513,5.3,1038264
218.47538,1056257,4.1,1160744
218.48377,1178326,4.8,1567863
218.49567,1177648,4.8,966868
218.54808,1046888,4,1369400
218.55066,1219659,5,746940
218.55265,1077434,4.2,1253243
218.56733,1199943,4.9,1121442
218.59482,1041710,4,1554988
218.64804,1138448,4.6,1138011
218.82534,1083771,4.2,1094891
218.82917,1169383,4.7,1099005
218.84984,1093806,4.3,1046051
218.86621,1125681,4.5,974901
218.87102,1052209,4.1,1315028
218.89594,1051881,4.1,889029
218.89975,1044604,4,1056151
218.90078,1055170,4.1,1011861
218.939,1136401,4.5,1058527
219.01024,1049289,4,1195417
219.02993,1711325,7.8,1646396
219.08664,1196665,4.9,956998
219.12673,1248282,5.2,1480667
219.13285,1160110,4.7,1236249
219.15277,1088504,4.3,1117409
219.17593,1803049,8.4,1204092
219.18143,1218965,5,1078583
219.18219,1169041,4.7,1236260
219.18277,1092465,4.3,1302832
219.20392,1162380,4.7,1216317
219.23184,1142592,4.6,1076525
219.23513,1058264,4.1,1513876
219.25005,1293933,5.4,1027831
219.29646,1125112,4.5,1045434
219.32141,1074037,4.2,997690
219.32624,1323067,5.6,855097
219.34222,1064061,4.1,1113936
219.35753,1127877,4.5,1414974
219.37964,1108578,4.4,1080696
219.4576,1077995,4.2,1081911
219.46491,1157375,4.7,1227835
219.47308,1141914,4.6,1280980
219.54155,1080929,4.2,1476653
219.55366,1043641,4,1278466
219.57689,1072419,4.2,1286273
219.57779,1189996,4.9,1106388
219.57967,1060504,4.1,1421467
219.60175,1083204,4.2,1257888
219.66275,1053783,4.1,1111582
219.75362,1213950,5,1073409
219.77212,1259689,5.3,1266872
219.78612,1099557,4.3,1341435
219.83486,1085037,4.2,1102030
219.94176,1097677,4.3,871655
219.95058,1295521,5.5,1080765
219.97013,1150381,4.6,1039758
219.97238,1044881,4,1209823
219.97582,1067195,4.1,1219539
219.98021,1300339,5.5,915554
220.00134,1495987,6.6,996387
220.00581,1070335,4.2,863923
220.05059,1423022,6.2,1446179
220.11996,1174100,4.8,1038437
220.18004,1165298,4.7,1047492
220.18625,1057734,4.1,1548923
220.19265,1087034,4.3,1086793
220.22953,1052009,4.1,1195102
220.2581,1173713,4.8,779921
220.27859,1052197,4.1,1138873
220.32583,1135547,4.5,813082
220.42872,1093437,4.3,1162902
220.44155,1044641,4,1480080
220.45435,1123359,4.5,1103064
220.45586,1164293,4.7,1452983
220.47139,1164597,4.7,1189420
220.47782,1323353,5.6,941881
220.50255,1068739,4.2,936822
220.52553,1075633,4.2,1233498
220.52997,1221901,5,1139598
220.54314,1080677,4.2,1480203
220.56931,1116589,4.4,1200536
220.61986,1058365,4.1,1199503
220.62557,1225765,5.1,1034039
220.64874,1064521,4.1,1269716
220.66022,1041705,4,1269587
220.66383,1157741,4.7,1077401
220.67512,1408421,6.1,962122
220.6838,1047790,4,1279758
220.78715,1183690,4.8,878365
220.81548,1105420,4.4,902403
220.81611,1309314,5.5,1153961
220.84658,1044855,4,1173358
220.85159,1146267,4.6,928109
220.87144,1076331,4.2,1381126
220.88178,1284883,5.4,1268189
220.8965,1076664,4.2,797482
220.99862,1071692,4.2,1788933
221.00894,1645992,7.5,1011933
221.00918,2181252,10.5,1129079
221.01739,1082348,4.2,1436181
221.07099,1073825,4.2,1222546
221.09451,1132550,4.5,1178045
221.11135,1190270,4.9,895051
221.12753,1339498,5.7,1155036
221.17163,1144839,4.6,1283156
221.18972,1081763,4.2,1183186
221.19973,1211223,5,953008
221.24839,1063280,4.1,1295938
221.25224,1087216,4.3,852745
221.25837,1255320,5.2,1529465
221.28631,1090661,4.3,1181374
221.29066,1329501,5.7,1075783
221.29541,1133601,4.5,974804
221.31897,1260309,5.3,1129901
221.33193,1058826,4.1,1320106
221.37558,1075414,4.2,1171369
221.42038,1103024,4.4,669621
221.43569,1072984,4.2,1211130
221.44358,1073956,4.2,1634779
221.59118,1062231,4.1,1211466
221.59209,1205587,4.9,1379121
221.60727,1094392,4.3,1400275
221.62344,1149564,4.6,1049282
221.62702,1276612,5.3,809837
221.62908,1173924,4.8,1132464
221.64035,1133477,4.5,1357191
221.66048,1118369,4.4,1362125
221.70051,1041962,4,1128414
221.70655,1271567,5.3,1273154
221.74594,1183708,4.8,1619782
221.75922,1066108,4.1,1431011
221.80602,1120798,4.5,846521
221.81268,1120954,4.5,1280173
221.84278,1187175,4.8,1370383
221.85746,1042415,4,1496992
221.86194,1158343,4.7,872693
221.88744,1067816,4.2,1033654
221.90769,1173545,4.8,929395
221.99629,1062620,4.1,1580114
