mz,Intensity,s_n,res
216.30229,1133791,4.5,1224900
216.33758,1041031,4,1198968
216.35617,1317232,5.6,1271579
216.38968,1083277,4.2,1112167
216.41194,1092954,4.3,1268283
216.41851,1176739,4.8,1183076
216.44553,1257357,5.3,1284263
216.45868,1363695,5.9,1236160
216.49043,1049284,4.1,1234554
216.49711,1173018,4.8,1067932
216.50024,1123712,4.5,970433
216.6747,1067186,4.2,1279287
216.67807,1150040,4.6,1287080
216.68575,1054270,4.1,999785
216.73652,1249945,5.2,795980
216.74108,1314850,5.6,1116475
216.79126,1178039,4.8,1511665
216.80532,1118814,4.5,1447034
216.80645,1164512,4.7,1349050
216.87005,1071270,4.2,1571273
216.90027,1125462,4.5,1394323
216.91179,1063979,4.1,1248470
216.91287,1058729,4.1,1509930
216.91959,1100865,4.4,1289959
217.01029,1171719,4.8,1196436
217.01417,1389779,6,1147440
217.03803,1100044,4.3,1424956
217.05061,1619983,7.3,1420217
217.05892,1080003,4.2,1180483
217.07045,1068710,4.2,1239330
217.08336,1110265,4.4,1259250
217.09171,1090329,4.3,1376124
217.10938,1130686,4.5,1356701
217.14852,1085427,4.3,993245
217.20782,1159694,4.7,887931
217.25904,1142068,4.6,558500
217.27424,1133426,4.5,1249352
217.35618,1061826,4.1,1516185
217.35961,1053932,4.1,747234
217.41621,1079388,4.2,970348
217.42089,1087654,4.3,1517097
217.42299,1106398,4.4,1107846
217.43169,1076848,4.2,740304
217.46828,1149945,4.6,1101469
217.48331,1042357,4,945122
217.5286,1230868,5.1,1080257
217.5754,1100736,4.4,1325151
217.58055,1471337,6.5,1411236
217.58703,1048743,4.1,1241804
217.60883,1098244,4.3,1174694
217.6144,1180116,4.8,1068931
217.63093,1058851,4.1,1631667
217.65145,1094776,4.3,1055502
217.66456,1103429,4.4,832345
217.67485,1153937,4.7,1447948
217.67782,1080532,4.2,1120383
217.69688,1052167,4.1,1270558
217.71211,1079159,4.2,1209986
217.72202,1120754,4.5,1450826
217.73045,1175996,4.8,1316892
217.7801,1180599,4.8,1049156
217.848,1080214,4.2,1251296
217.85106,1144440,4.6,1433170
217.85425,1094790,4.3,833474
217.91058,1254289,5.2,1386365
217.91416,1051311,4.1,1391035
217.9241,1162688,4.7,1130477
217.93761,1057084,4.1,1458365
217.94279,1051076,4.1,1028418
217.94842,1086759,4.3,1471375
217.98419,1244638,5.2,969008
217.99551,1183921,4.8,1043219
218.00019,1092711,4.3,1066692
218.02087,1129896,4.5,1158457
218.02964,1134028,4.5,1678649
218.03054,1045303,4,1496074
218.04032,1168401,4.7,1124073
218.04297,1064923,4.1,1246077
218.06919,1132278,4.5,1091347
218.08076,1044583,4,1180455
218.1002,1119524,4.5,1322708
218.10784,1063744,4.1,1238938
218.12466,1066971,4.2,1440008
218.12547,1154675,4.7,1428617
218.1314,1084323,4.3,1388772
218.13783,1125829,4.5,879588
218.1842,1106667,4.4,1115226
218.19496,1053334,4.1,1244742
218.2008,1235184,5.1,1310855
218.21467,1064749,4.1,1346299
218.25159,1058960,4.1,1209840
218.27481,1155467,4.7,1127612
218.28344,1043351,4,1154132
218.29398,1212524,5,1257400
218.31307,1204211,4.9,1272460
218.32425,1108065,4.4,1184866
