mz,Intensity,s_n,res
216.28458,1079229,4.2,1161707
216.30706,1238055,5.1,1250868
216.3699,1075295,4.2,1254520
216.37775,1156752,4.7,1216045
216.38882,1293574,5.5,812979
216.38946,1087444,4.3,1318240
216.40962,1074266,4.2,1281551
216.44783,1127600,4.5,1251205
216.49299,1157393,4.7,1294914
216.54184,1060132,4.1,1522081
216.55989,1083687,4.2,975146
216.60143,1059028,4.1,1096804
216.61042,1090404,4.3,1244070
216.61766,1163001,4.7,1260334
216.62872,1085088,4.3,1590019
216.6514,1225677,5.1,1299260
216.67282,1051792,4.1,1461771
216.67613,1226433,5.1,1355351
216.72469,1133951,4.5,888875
216.72754,1067732,4.2,1129647
216.77648,1124159,4.5,1425571
216.78273,1174895,4.8,1203811
216.78351,1051337,4.1,984122
216.80864,1093703,4.3,1216109
216.86369,1100627,4.3,988377
216.86565,1042078,4,1445923
216.89571,1077444,4.2,985601
216.91987,1104645,4.4,928830
216.95371,1075563,4.2,1301953
216.98432,1219187,5,1390029
217.04711,1259139,5.3,1046951
217.05096,1120591,4.5,1136817
217.0642,1166202,4.7,1057453
217.08915,1079221,4.2,1182406
217.10262,1047224,4,1611247
217.14259,1114060,4.4,1231718
217.14884,1163301,4.7,1550981
217.15184,1266899,5.3,988860
217.15375,1061687,4.1,1024217
217.18035,1166760,4.7,1498098
217.1868,1179047,4.8,1541782
217.21299,1062702,4.1,1472850
217.23734,1153062,4.6,1255776
217.24603,1115970,4.4,1312639
217.27042,1107871,4.4,1349008
217.2782,1049228,4,1230286
217.28701,1042484,4,965317
217.36101,1154115,4.7,709740
217.36368,1190026,4.9,1385037
217.37038,1105959,4.4,1043274
217.46068,1222970,5,1060575
217.46328,1044088,4,1186309
217.51288,1150478,4.6,1657544
217.54805,1052046,4.1,1478086
217.56699,1112915,4.4,1287243
217.5868,1114114,4.4,1407630
217.63533,1061642,4.1,911792
217.68958,1087263,4.3,823620
217.69703,1138249,4.6,1099196
217.70596,1120674,4.5,1187562
217.71778,1061880,4.1,1145436
217.72363,1081601,4.2,1264027
217.73719,1145755,4.6,1331738
217.75361,1073394,4.2,1290284
217.75409,1088978,4.3,1358427
217.76256,1187667,4.8,1233955
217.78207,1188569,4.8,948279
217.79787,1151548,4.6,1447516
217.79818,1090960,4.3,1512669
217.80397,1043743,4,957598
217.80905,1067227,4.2,1559684
217.82177,1048795,4,1154528
217.88595,1046598,4,1118288
217.9101,1138069,4.6,947409
217.9117,1148634,4.6,1314893
217.92915,1151202,4.6,1267998
217.94243,1051361,4.1,1631817
217.96782,1065216,4.1,1079480
217.99823,1069901,4.2,885068
218.00909,1124390,4.5,972994
218.04029,1145769,4.6,1451019
218.07213,1144293,4.6,1168266
218.10207,1125614,4.5,1337228
218.11111,1133094,4.5,1285825
218.12994,1091115,4.3,1194885
218.1341,1043207,4,852741
218.13788,1163521,4.7,930118
218.14086,1294240,5.5,1018686
218.15409,1056670,4.1,1342670
218.17668,1300975,5.5,1131153
218.20526,1128350,4.5,1263454
218.25622,1449464,6.3,1113958
218.25797,1041598,4,1120088
218.27118,1096899,4.3,780634
218.32095,1091281,4.3,1398130
218.33996,1060944,4.1,1246020
218.36054,1059388,4.1,1267822
218.42123,1148349,4.6,1273223
218.43198,1101399,4.3,1169632
218.46006,1065749,4.1,991950
218.46599,1074708,4.2,1166082
218.49331,1135209,4.5,1115918
218.51322,1047962,4,1444584
218.53464,1124973,4.5,1274519
218.59612,1221491,5,1183385
218.62718,1083802,4.2,1384958
218.63601,1170278,4.7,1589399
218.69241,1141428,4.6,1278043
218.7193,1075691,4.2,1175994
218.75942,1252750,5.2,990827
218.82139,1122384,4.5,1207742
218.82475,1154797,4.7,1055408
218.8624,1224114,5.1,998348
218.87295,1102448,4.4,1210347
218.91266,1060809,4.1,1504555
218.93538,1104868,4.4,1057788
218.96612,1200315,4.9,1295817
218.97928,1375757,5.9,993814
218.98922,1233855,5.1,1366473
218.9983,1041018,4,746843
219.01684,1409938,6.1,1274383
219.01971,1402136,6.1,1032018
219.0566,1049813,4.1,1618783
219.07769,1201586,4.9,760225
219.09406,1132464,4.5,1262368
219.11308,1234799,5.1,894662
219.13907,1136651,4.6,1195161
219.15495,1142164,4.6,1153664
219.1607,1049476,4.1,1041355
219.17808,1042448,4,1133249
219.19579,1063363,4.1,1005941
