mz,Intensity,s_n,res
216.07244,1185163,4.8,1319131
216.08058,1070202,4.2,1304576
216.11181,1058956,4.1,1072647
216.12021,1062928,4.1,1288273
216.13241,1157477,4.7,1422707
216.16769,1072186,4.2,1155613
216.20975,1122189,4.5,1401096
216.23738,1152291,4.6,824771
216.2392,1251633,5.2,1672016
216.27415,1299727,5.5,1355501
216.28182,1044636,4,1269371
216.28289,1049416,4,1412880
216.37744,1178444,4.8,1394379
216.38051,1144438,4.6,1091932
216.42491,1074716,4.2,1023951
216.44006,1110208,4.4,1411354
216.44843,1134251,4.5,1696720
216.45761,1119375,4.4,1010328
216.48505,1067531,4.1,1328989
216.49283,1100140,4.3,1513649
216.49586,1194432,4.9,1104101
216.50505,1089923,4.3,1473130
216.53079,1076427,4.2,672692
216.56299,1044088,4,1428341
216.57252,1204423,4.9,1517371
216.62534,1174352,4.8,924375
216.64472,1095450,4.3,612318
216.66079,1114183,4.4,1379398
216.67566,1160422,4.7,1150817
216.67812,1129188,4.5,1254490
216.71272,1064750,4.1,1660299
216.7266,1069159,4.2,1268569
216.82129,1153227,4.6,1388703
216.85993,1130525,4.5,1242610
216.87715,1047504,4,1342684
216.88116,1106046,4.4,1326942
216.88393,1053842,4.1,972813
216.89822,1124139,4.5,1464037
216.92074,1233025,5.1,1230054
216.9216,1175615,4.8,951476
216.92906,1051553,4.1,1561789
216.94103,1046522,4,1425009
216.9494,1104242,4.4,1317461
216.96894,1079966,4.2,1118797
216.99076,1123997,4.5,1041324
216.99403,1089295,4.3,1213598
217.00751,1091194,4.3,912423
217.01407,1464476,6.4,1636955
217.01742,1120717,4.4,1158736
217.05038,1090530,4.3,1477692
217.05061,1356466,5.8,1624643
217.07178,1161006,4.7,929804
217.09333,1129007,4.5,1100949
217.10794,2983534,15.1,1609511
217.10814,4007934,21,1533118
217.14085,1069322,4.2,1448870
217.1753,1142474,4.6,1108844
217.22445,1087654,4.3,1414840
217.23729,1258017,5.2,1051995
217.24629,1137438,4.5,1079338
217.25222,1238208,5.1,1213876
217.25982,1095566,4.3,1513138
217.28768,1161442,4.7,1297497
217.29496,1140580,4.6,854947
217.30655,1060421,4.1,1333402
217.30981,1135779,4.5,1120422
217.32115,1198258,4.9,776952
217.32382,1155150,4.6,1383358
217.32891,1117624,4.4,1345497
217.34152,1198757,4.9,1137553
217.39996,1223490,5,1464699
217.40448,1114374,4.4,1053221
217.41269,1175133,4.8,903921
217.43946,1135516,4.5,1266842
217.45476,1067467,4.1,1260103
217.45933,1083547,4.2,1277645
217.48799,1070259,4.2,1327880
217.51073,1074258,4.2,1372741
217.52856,1391879,6,1284792
217.55133,1056154,4.1,1393056
217.56446,1049795,4,1043280
217.60151,1053003,4.1,1531665
217.60685,1330339,5.6,1230220
217.61126,1059047,4.1,893738
217.62382,1115126,4.4,1769608
217.65172,1265437,5.3,1180495
217.66825,1055456,4.1,1477004
217.6799,1308619,5.5,1257407
217.74876,1067388,4.1,1002994
217.75229,1051564,4.1,1429900
217.80816,1080059,4.2,1355501
217.82633,1220618,5,1280827
217.8268,1084824,4.2,1138763
217.85068,1103663,4.3,1385706
217.87278,1109106,4.4,1562501
217.90694,1149848,4.6,1492549
217.9499,1062012,4.1,1076459
217.97702,1221393,5,1203812
217.97907,1076909,4.2,1408487
218.00463,1220862,5,956640
218.02186,1110571,4.4,1617921
218.02459,1302135,5.5,1305817
218.05511,1185686,4.8,1406960
218.06896,1296285,5.5,918689
218.11126,1060317,4.1,1482219
218.11151,1408299,6.1,1227560
218.18818,1166834,4.7,861459
218.19729,1201811,4.9,1209171
218.19929,1140693,4.6,1195731
218.20806,1190007,4.8,781396
218.27582,1052964,4.1,1039594
218.29637,1176967,4.8,1251035
218.42448,1107850,4.4,1206492
218.44538,1118634,4.4,1356768
218.46977,1149293,4.6,1343415
218.48862,1052345,4.1,765449
218.53044,1131400,4.5,1197673
218.53235,1132734,4.5,1346821
218.54056,1143382,4.6,1196913
218.54798,1102938,4.3,1425573
218.55334,1118962,4.4,1136097
218.55679,1092049,4.3,1057737
218.57747,1114201,4.4,1072243
218.61156,1051505,4.1,1333509
218.62017,1130399,4.5,1067395
218.66259,1065722,4.1,861193
218.66491,1101442,4.3,1529879
218.6961,1050695,4,1321992
218.7383,1069031,4.2,785700
218.75451,1122255,4.5,1179272
218.76001,1147310,4.6,1574554
218.80382,1168833,4.7,1356202
218.83052,1048994,4,1018276
218.84183,1105214,4.4,1081861
218.84296,1118402,4.4,855845
218.85884,1197795,4.9,1309651
218.92363,1131257,4.5,1371991
218.93962,1080621,4.2,1405007
219.0116,1084035,4.2,1325148
219.0297,2568282,12.8,1350224
219.0299,1708714,7.8,1969180
219.04612,1046606,4,1358915
219.10036,1148614,4.6,843773
219.11324,1066948,4.1,1388260
219.12639,1043576,4,1389745
219.18209,1162718,4.7,1015667
219.20053,1131058,4.5,1035909
219.232,1088045,4.3,1374964
219.27788,1113864,4.4,1131985
219.31167,1073799,4.2,1334397
219.32282,1056137,4.1,934260
219.33022,1170759,4.7,1477603
219.36962,1105998,4.4,1197883
219.38407,1133450,4.5,1406281
219.38783,1086306,4.3,1336130
219.40664,1060461,4.1,1361765
219.4219,1072889,4.2,1405489
219.46168,1129140,4.5,1343046
219.46971,1050939,4,806506
219.47976,1255384,5.2,1202825
219.48532,1067040,4.1,1396588
219.49048,1127687,4.5,1463382
219.53162,1145393,4.6,982500
219.54041,1064736,4.1,1193590
219.61002,1110111,4.4,1220685
219.61469,1285777,5.4,1233351
219.63208,1076023,4.2,1182724
219.68064,1134276,4.5,1535546
219.7304,1487823,6.6,1104885
219.75702,1168581,4.7,1054016
219.76349,1124747,4.5,1458962
219.77699,1069031,4.2,1384475
219.78634,1221479,5,1287148
219.82787,1043422,4,1451668
219.83644,1288538,5.4,1441609
219.83806,1099006,4.3,1345003
219.85785,1079692,4.2,739208
219.86417,1158742,4.7,1145484
219.90204,1059545,4.1,1131424
219.92339,1562377,7,1301743
219.93031,1048165,4,1288496
219.94703,1279609,5.4,999330
219.95566,1053011,4.1,923110
219.95995,1284409,5.4,1159406
219.97612,1154624,4.6,939045
220.00724,1293700,5.4,1080385
220.01933,1124944,4.5,1680529
220.05921,1134632,4.5,1086207
220.066,1191892,4.9,1182560
220.07055,1062516,4.1,939960
220.08834,1052551,4.1,1567926
220.09119,1048263,4,1149246
220.11437,1120235,4.4,1372596
220.14443,1068115,4.1,1000279
220.16025,1168337,4.7,790511
220.1872,1348043,5.8,1279071
220.25282,1515450,6.7,1077675
220.28072,1398822,6,1229257
220.30943,1180402,4.8,1343042
220.32597,1173146,4.7,775835
220.3682,1393722,6,1100769
220.38942,1214434,5,1555551
220.42487,1070000,4.2,795903
220.4261,1181702,4.8,1638932
220.43212,1060962,4.1,1352292
220.45666,1229206,5.1,1206856
220.4761,1059151,4.1,735936
220.50362,1131030,4.5,1148161
220.50554,1082354,4.2,776911
220.57683,1082690,4.2,1309885
220.57881,1099894,4.3,1006373
220.60472,1113406,4.4,745669
220.63288,1052263,4.1,1181771
220.65456,1174828,4.8,713954
220.66513,1110295,4.4,1282759
220.69205,1117199,4.4,1098395
220.72645,1058547,4.1,1323629
220.73168,1075111,4.2,1306797
220.74806,1049985,4,1016369
220.79414,1051311,4,1344883
220.82861,1371928,5.9,1171686
220.8953,1082660,4.2,1299640
220.93152,1170257,4.7,1198624
220.95716,1061361,4.1,1298597
221.00896,2530714,12.5,1663038
221.00916,3124986,15.9,1489517
221.04535,2472010,12.2,1507182
221.04556,2457098,12.1,1458929
221.05367,1296194,5.5,679067
221.06321,1065694,4.1,1234606
221.08144,1051951,4.1,1419568
221.08173,2198371,10.6,1404436
221.08193,1965035,9.3,1734567
221.14851,1054184,4.1,978682
221.15089,1171280,4.7,1244463
221.15434,1075708,4.2,1387590
221.1582,1381856,5.9,900591
221.16961,1460884,6.4,1346049
221.17301,1161140,4.7,1380470
221.18099,1045402,4,995520
221.18196,1054256,4.1,1487149
221.18957,1198724,4.9,1292156
221.22341,1138041,4.5,825939
221.2393,1338825,5.7,1248879
221.24659,1221993,5,1169014
221.2765,1160502,4.7,1372219
221.36045,1235107,5.1,1047563
221.3762,1188340,4.8,1147600
221.38648,1056136,4.1,1091902
221.40168,1155062,4.6,925551
221.41862,1058177,4.1,900107
221.45416,1096326,4.3,1305707
221.45522,1106446,4.4,1201028
221.50676,1053251,4.1,1147926
221.50984,1356003,5.8,1072752
221.52331,1064627,4.1,1631139
221.52465,1062491,4.1,1421863
221.53777,1045976,4,1258725
221.5687,1171744,4.7,836563
221.59737,1266329,5.3,1106607
221.60845,1085697,4.2,1517438
221.65394,1236147,5.1,1260003
221.66037,1108019,4.4,1273216
221.6636,1249475,5.2,941074
221.66444,1047767,4,1482950
221.68722,1077960,4.2,1198203
221.74665,1054043,4.1,1033670
221.75212,1111265,4.4,1267118
221.79875,1057115,4.1,1017890
221.81247,1094851,4.3,1140707
221.8378,1134236,4.5,1167312
221.84334,1053080,4.1,1210948
221.85091,1181053,4.8,1172308
221.8648,1101537,4.3,1293076
221.90321,1071206,4.2,1375895
221.91254,1128395,4.5,1367666
221.93579,1158911,4.7,1191374
221.96714,1209613,5,1268616
221.97595,1142193,4.6,817526
222.02665,1091413,4.3,989168
222.04078,1481227,6.5,1577900
222.04895,1223148,5,1373318
222.10852,1046908,4,876443
222.15094,1105451,4.4,1238150
222.16059,1104788,4.4,920527
222.16204,1218636,5,1302036
222.19563,1247833,5.2,1111097
222.20505,1246954,5.2,1297637
222.23667,1239867,5.1,1195282
222.25701,1065688,4.1,1218584
222.26242,1128156,4.5,796868
222.28562,1046529,4,1231669
222.28845,1340029,5.7,1295986
222.30344,1093302,4.3,1684797
222.30915,1244850,5.2,895599
222.32179,1067699,4.1,927249
222.36158,1227943,5.1,946422
222.48171,1120786,4.4,1376289
222.48418,1047428,4,1004156
222.51813,1139212,4.6,1242404
222.52149,1075056,4.2,1254850
222.55795,1207372,4.9,915034
222.57191,1232163,5.1,1238397
222.57478,1135611,4.5,1527622
222.58213,1163207,4.7,1332589
222.59945,1066193,4.1,765939
222.62133,1227973,5.1,1481335
222.62417,1184483,4.8,628960
222.62518,1058213,4.1,1817740
222.69335,1092053,4.3,1412466
222.76385,1139577,4.6,1342969
222.81207,1244760,5.2,1019232
222.81812,1043452,4,1421347
222.81923,1244368,5.2,1255050
222.85952,1107735,4.4,1460646
222.8635,1053959,4.1,1318439
222.86887,1077971,4.2,1587219
222.87414,1081635,4.2,912706
222.89638,1097265,4.3,1162797
222.90461,1146901,4.6,1079240
222.92435,1070042,4.2,1403348
222.92469,1078176,4.2,1011749
222.96822,1064065,4.1,1329638
222.97295,1093845,4.3,1110178
222.97595,1146522,4.6,1291582
222.98013,1154530,4.6,1194257
222.9888,1384098,6,1051797
223.01403,1184388,4.8,1405340
223.02459,5121333,27.4,1633373
223.0248,7391861,40.4,1427945
223.06096,1734231,8,1423433
223.06118,1277911,5.3,1218357
223.08577,1104997,4.4,893898
223.09804,1181473,4.8,1118418
223.10296,1113546,4.4,1097959
223.13938,1072244,4.2,1773022
223.16495,1054210,4.1,1245859
223.20217,1114728,4.4,1032632
223.21435,1068609,4.1,825388
223.2267,1150734,4.6,1131783
223.23397,1084927,4.2,1300342
223.24424,1066463,4.1,1364821
223.28513,1070170,4.2,886883
223.29007,1104794,4.4,1269045
223.29168,1071091,4.2,1219794
223.29417,1047639,4,1208246
223.34024,1063382,4.1,1169680
223.38299,1143401,4.6,1216294
223.40523,1120939,4.4,1203760
223.47282,1115356,4.4,1127494
223.48378,1220093,5,1129121
223.5124,1087207,4.3,1122692
223.53088,1203596,4.9,1180523
223.53967,1130133,4.5,908439
223.60628,1243566,5.2,792150
223.62635,1082584,4.2,649811
223.6373,1188545,4.8,835921
223.6647,1212843,5,1378932
223.66887,1082563,4.2,1360176
223.76078,1288487,5.4,1186281
223.78333,1098801,4.3,1396647
223.81602,1191820,4.9,1089494
223.83268,1070793,4.2,1391200
223.85428,1082115,4.2,1461396
223.8734,1175357,4.8,1121858
223.88262,1070270,4.2,1348571
223.89773,1136779,4.5,1206327
223.90448,1178959,4.8,1115928
223.90476,1081511,4.2,1293733
223.93595,1045290,4,1297108
223.97674,1071418,4.2,1197112
224.00254,1233984,5.1,930287
224.00918,1061733,4.1,1308665
224.02565,1109586,4.4,1333444
224.02815,1091587,4.3,1633527
224.04855,1087104,4.3,762564
224.09162,1213649,5,942053
224.11489,1084057,4.2,844082
224.13427,1126133,4.5,1542485
224.14236,1205941,4.9,1264402
224.161,1050879,4,878281
224.16338,1150711,4.6,1033189
224.16649,1118972,4.4,997132
224.24135,1074073,4.2,931467
224.24959,1218416,5,1534825
224.25476,1057168,4.1,1357016
224.26468,1288701,5.4,1157488
224.26759,1125876,4.5,939165
224.29791,1149093,4.6,1161288
224.31454,1303918,5.5,1276474
224.41171,1158168,4.7,1306610
224.42503,1122498,4.5,1493390
224.44078,1245211,5.2,1213059
224.45768,1243521,5.2,1098731
224.46138,1106710,4.4,996895
224.49635,1245129,5.2,1180788
224.51488,1252743,5.2,1166640
224.53414,1103925,4.4,1411933
224.54579,1076419,4.2,1235586
224.58437,1071951,4.2,1002014
224.58911,1073371,4.2,1994199
224.5921,1115420,4.4,881970
224.60899,1097614,4.3,1461772
224.62545,1044431,4,1259672
224.6636,1154844,4.6,877382
224.66478,1073252,4.2,982154
224.67893,1238965,5.1,1027466
224.6942,1045031,4,1141310
224.69494,1157847,4.7,1097025
224.70692,1234792,5.1,1385927
224.72382,1212646,5,1052463
224.75192,1057862,4.1,1149179
224.76702,1090563,4.3,865402
224.76891,1143428,4.6,1145267
224.82188,1086302,4.2,1511883
224.83325,1068903,4.1,1374970
224.84919,1047497,4,1372575
224.88028,1128645,4.5,953905
224.88161,1159325,4.7,972548
224.91512,1167809,4.7,873385
224.92689,1059750,4.1,884071
224.94818,1158801,4.7,1159312
224.9513,1079957,4.2,1306790
224.9624,1149566,4.6,1399148
224.98192,1137643,4.5,821520
225.00386,7220908,39.4,1465218
225.00408,7731628,42.4,1411949
225.02669,1123910,4.5,1144528
225.04024,5821040,31.4,1507683
225.04046,6622960,36,1434109
225.05423,1149270,4.6,954148
225.06025,1152031,4.6,835077
225.07663,2516245,12.5,1698493
225.07684,3391445,17.5,1556497
225.07951,1326993,5.6,1008365
225.08373,1127665,4.5,1174389
225.10999,1142413,4.6,950100
225.113,1222425,5,1563672
225.11322,2004569,9.5,1512480
225.12409,1142311,4.6,1100858
225.14296,1077861,4.2,1303411
225.15591,1063405,4.1,846482
225.28572,1155884,4.6,936205
225.29898,1048621,4,1123976
225.31897,1181652,4.8,1328008
225.33303,1079938,4.2,1098726
225.36053,1115602,4.4,1194983
225.44141,1099849,4.3,1135846
225.46341,1097032,4.3,1378194
225.47865,1097522,4.3,1435765
225.48175,1046242,4,1539031
225.51331,1143838,4.6,1265347
225.56381,1067110,4.1,1471219
225.62564,1274422,5.3,1202892
225.64155,1133965,4.5,960823
225.64874,1076000,4.2,872539
225.6629,1091256,4.3,985968
225.71965,1065856,4.1,1067296
225.73425,1349446,5.8,1357535
225.75966,1253722,5.2,1157140
225.77159,1176860,4.8,1077912
225.77457,1065740,4.1,978585
225.79106,1128671,4.5,1163920
225.80378,1066057,4.1,941287
225.81655,1077602,4.2,1392242
225.84078,1063878,4.1,1332765
225.86911,1124330,4.5,1238022
225.89337,1057350,4.1,1342853
225.94254,1188386,4.8,949273
225.94315,1052118,4.1,1260192
225.96506,1231073,5.1,1391199
225.97967,1046495,4,864342
225.98708,1043617,4,1048365
225.98818,1127505,4.5,971535
226.01523,1065281,4.1,1065633
226.04634,1087922,4.3,1204601
226.04889,1048746,4,970909
226.10658,1112479,4.4,1320818
226.1072,1346056,5.7,1266569
226.13467,1047572,4,1170095
