,M/z,Intensity,Relative,Resolution,Frequency,S/N
22519,473.06411,0.02,0.2490184,457352,682854.97801,5.8
22520,473.06495,0.0761,0.9453497,627584,682853.771877,25.36
22521,473.06671,0.0275,0.3419138,1180466,682851.229784,8.41
22522,473.07038,0.0754,0.9374596,737102,682845.923444,25.14
22523,473.07257,0.6666,8.2828503,882765,682842.766193,231.42
22524,473.07456,0.0145,0.1799703,479086,682839.890954,3.86
22525,473.07591,0.0289,0.3591959,1101459,682837.948823,8.9
22526,473.07642,0.0215,0.2672211,1000999,682837.209439,6.31
22527,473.07826,0.0311,0.3863733,831382,682834.555804,9.66
22528,473.0823,0.0203,0.2526388,173285,682828.720115,5.9
22529,473.08313,0.0724,0.8993554,317763,682827.523378,24.07
22530,473.08377,0.1712,2.1271868,833226,682826.596238,58.55
22531,473.08562,0.0718,0.8926167,971018,682823.936236,23.88
22532,473.08781,0.0393,0.4888954,1074690,682820.767209,12.54
22533,473.08872,0.0226,0.2809703,591295,682819.449841,6.7
22534,473.09077,0.0348,0.4320319,708558,682816.490832,10.94
22535,473.09188,0.0441,0.5477331,913956,682814.895573,14.19
22536,473.09284,0.0173,0.2151716,231096,682813.502153,4.85
22537,473.09369,0.2619,3.2544358,893153,682812.277564,90.21
22538,473.09498,0.0259,0.3219494,949304,682810.421472,7.85
22539,473.09636,0.0189,0.2344113,809118,682808.432949,5.39
22540,473.09837,0.015,0.1869505,1138911,682805.520133,4.06
22541,473.09994,0.0144,0.1787719,1052417,682803.254814,3.83
22542,473.10133,0.0444,0.5517855,808027,682801.249617,14.31
22543,473.10305,0.0209,0.2592001,1399603,682798.767645,6.09
22544,473.10349,0.0199,0.2466668,769585,682798.139001,5.74
22545,473.10492,0.0243,0.3014881,997185,682796.069145,7.28
22546,473.10676,0.0149,0.1851184,467226,682793.422407,4.01
22547,473.10703,0.0147,0.1825953,463784,682793.024065,3.94
22548,473.10895,0.3375,4.1935935,885679,682790.259306,116.58
22549,473.11228,0.0253,0.3142444,1029491,682785.457698,7.63
22550,473.11278,0.0213,0.2647207,437187,682784.733624,6.24
22551,473.11354,0.0151,0.1871186,852806,682783.636771,4.06
22552,473.11616,0.0823,1.0229253,926498,682779.85409,27.54
22553,473.1179,0.0155,0.1924422,960870,682777.339563,4.21
22554,473.11861,0.0159,0.1971066,150823,682776.323312,4.34
22555,473.11949,0.0192,0.2391479,159374,682775.051467,5.53
22556,473.12017,0.1026,1.2745987,929817,682774.071664,34.6
22557,473.12106,0.0146,0.1814723,145397,682772.781401,3.91
22558,473.12202,0.0862,1.0705168,980554,682771.391707,28.87
22559,473.12423,0.0145,0.1801828,797184,682768.211505,3.87
22560,473.12829,0.0237,0.2950069,835517,682762.351067,7.09
22561,473.13008,0.2612,3.2456634,935481,682759.759938,89.96
22562,473.13141,0.0162,0.2014377,836698,682757.849717,4.47
22563,473.13323,0.0159,0.1972511,1071419,682755.215594,4.35
22564,473.13584,0.0144,0.1783828,1010361,682751.446885,3.82
22565,473.13984,0.0249,0.3091209,778507,682745.672892,7.49
22566,473.14134,0.0186,0.2310018,622844,682743.508959,5.3
22567,473.14318,0.0175,0.2175156,912972,682740.858314,4.92
22568,473.14534,0.151,1.8757216,878463,682737.74183,51.49
22569,473.15117,0.0207,0.2572702,750162,682729.333057,6.03
22570,473.1544,0.0282,0.3497797,669754,682724.666797,8.63
22571,473.1566,0.0321,0.3983389,761476,682721.501489,10.0
22572,473.15753,0.015,0.1866547,1056795,682720.151896,4.05
22573,473.15842,0.0621,0.7712254,806910,682718.874409,20.47
22574,473.16471,0.0147,0.1831796,1090271,682709.797896,3.95
22575,473.16647,0.1385,1.7212425,860417,682707.247147,47.15
22576,473.17622,0.0175,0.2171738,859171,682693.188728,4.91
22577,473.17962,0.0169,0.2103611,1001339,682688.281278,4.72
22578,473.18172,0.0833,1.0353552,907010,682685.256305,27.89
22579,473.18894,0.0355,0.4415169,870397,682674.838342,11.21
22580,473.19478,0.0389,0.483093,769018,682666.407331,12.38
22581,473.20286,0.0477,0.5929282,951585,682654.754628,15.46
22582,473.21809,0.0381,0.4729312,1025351,682632.775649,12.09
22583,473.22533,0.0375,0.4664731,938742,682622.334866,11.91
22584,473.23115,0.0152,0.1894552,789827,682613.948183,4.13
22585,473.23927,0.0187,0.2325032,982874,682602.227397,5.34
22586,473.25453,0.0143,0.1779384,959001,682580.21713,3.81
22587,473.49097,0.0152,0.1884751,1126628,682239.370323,4.1
22588,473.50504,0.0201,0.2500799,604876,682219.095127,5.83
22589,473.50533,0.0201,0.2496307,604455,682218.668917,5.82
22590,473.50919,0.0243,0.3022275,625917,682213.119661,7.3
22591,473.51571,0.02,0.2490518,791540,682203.716629,5.8
22592,473.51968,0.0313,0.3887065,739935,682198.006966,9.73
22593,473.52325,0.0356,0.4420383,904047,682192.855165,11.22
22594,473.52729,0.0178,0.2206448,912386,682187.031909,5.01
22595,473.53379,0.0525,0.6528301,711782,682177.674718,17.14
22596,473.53786,0.0538,0.6683658,840902,682171.811809,17.58
22597,473.53943,0.0156,0.1942818,717022,682169.551947,4.27
22598,473.54146,0.028,0.3477637,860486,682166.625309,8.58
22599,473.54349,0.0165,0.2049005,1058020,682163.70307,4.56
22600,473.54436,0.0153,0.1898738,1047112,682162.451879,4.14
22601,473.54551,0.0192,0.2388591,1128007,682160.792881,5.52
22602,473.5484,0.02,0.2490897,628645,682156.618393,5.8
22603,473.552,0.0688,0.8544737,873591,682151.435222,22.81
22604,473.55604,0.0541,0.6722875,749412,682145.613712,17.69
22605,473.55766,0.0314,0.3897398,757341,682143.282072,9.75
22606,473.55971,0.0157,0.194673,1036380,682140.332022,4.28
22607,473.56165,0.0206,0.2564615,781169,682137.539841,6.01
22608,473.56259,0.0263,0.3269021,625438,682136.181874,7.99
22609,473.56521,0.0185,0.2292504,703040,682132.404553,5.25
22610,473.56662,0.0337,0.4181387,675023,682130.384869,10.55
22611,473.57022,0.0505,0.6275154,736659,682125.197606,16.43
22612,473.57431,0.0395,0.490364,961588,682119.303331,12.58
22613,473.57577,0.0224,0.2782086,663904,682117.205393,6.62
22614,473.57982,0.0156,0.1933252,238068,682111.364699,4.24
22615,473.58074,0.0263,0.3267145,549549,682110.037215,7.98
22616,473.58483,0.0321,0.3983201,768871,682104.154696,10.0
22617,473.58842,0.0298,0.3708486,812023,682098.977871,9.22
22618,473.59252,0.0239,0.2964477,865312,682093.080762,7.13
22619,473.59911,0.021,0.2604815,605236,682083.578403,6.12
22620,473.60296,0.0158,0.196106,971743,682078.037232,4.32
22621,473.60347,0.0141,0.1756729,460368,682077.300843,3.74
22622,473.60661,0.014,0.1736602,674702,682072.78698,3.69
22623,473.61768,0.0153,0.189871,556492,682056.834151,4.14
22624,473.73973,0.0178,0.2213484,934139,681881.122142,5.03
22625,473.91577,0.0163,0.2024927,1074411,681627.823429,4.5
22626,473.93695,0.0472,0.5863848,864818,681597.368735,15.28
22627,473.97883,0.021,0.2610099,962799,681537.136683,6.14
22628,473.99508,0.0356,0.4424012,774405,681513.776085,11.23
22629,473.99706,0.0478,0.5937152,959440,681510.926353,15.48
22630,474.00313,0.0402,0.4990799,908160,681502.19155,12.83
