,M/z,Intensity,Relative,Resolution,Frequency,S/N
1376,277.10815,2.8596,5.2512207,1684064,1165739.204396,170.59
1377,277.14454,1.4037,2.5776484,1684189,1165586.151859,83.15
1378,277.18092,0.2767,0.5080677,1630667,1165433.129792,15.47
1379,277.2173,0.1277,0.2345152,1958535,1165280.18791,6.52
1380,277.50424,0.1328,0.2439328,1852340,1164075.309866,6.83
1381,277.51186,0.1229,0.2257674,1612309,1164043.3238,6.23
1382,277.99628,0.099,0.1817723,1368107,1162014.916016,4.79
1383,278.00388,0.1376,0.252617,1410136,1161983.159629,7.11
1384,278.00682,0.1,0.1836154,1907189,1161970.869148,4.86
1385,278.00948,0.0947,0.1738363,1413559,1161959.742495,4.54
1386,278.02207,0.1807,0.3318085,1659951,1161907.128699,9.7
1387,278.03873,0.1449,0.266144,1869591,1161837.490375,7.55
1388,278.04321,0.2929,0.537833,1590582,1161818.806467,16.44
1389,278.05712,0.106,0.1947108,1879662,1161760.679379,5.22
1390,278.06702,0.2314,0.4248716,1642117,1161719.324533,12.75
1391,278.07511,0.3611,0.6631183,1794274,1161685.507049,20.54
1392,278.07959,0.4223,0.7755293,1724398,1161666.805548,24.21
1393,278.08813,0.1429,0.2623602,1265660,1161631.130659,7.43
1394,278.10339,0.1416,0.2600805,1719030,1161567.382534,7.36
1395,278.11151,0.4682,0.859857,1636485,1161533.478134,26.97
1396,278.11597,0.2652,0.4869639,1669263,1161514.814242,14.78
1397,278.14789,0.2096,0.3849235,1583346,1161381.54208,11.44
1398,278.17349,0.1863,0.3420342,1493888,1161274.637689,10.04
1399,278.17616,0.2832,0.5200601,1776029,1161263.504584,15.86
1400,278.5015,0.1092,0.2005886,1492005,1159906.93115,5.41
1401,278.5197,0.0965,0.1772289,1575505,1159831.128488,4.65
1402,278.84848,0.8777,1.6117506,1711069,1158463.611242,51.56
1403,278.88487,0.1522,0.2794898,1802057,1158312.474784,7.99
1404,278.97827,0.1849,0.3395533,1343518,1157924.651879,9.96
1405,278.99352,0.145,0.2662611,1659778,1157861.351737,7.56
1406,279.01171,0.1885,0.3461279,1390455,1157785.879427,10.17
1407,279.01464,0.5834,1.0712748,1711048,1157773.706958,33.89
1408,279.01733,0.1162,0.2133304,1487904,1157762.562136,5.83
1409,279.0299,0.2326,0.4270904,1596557,1157710.397072,12.82
1410,279.04114,0.221,0.4059052,1747966,1157663.779196,12.13
1411,279.05103,1.5243,2.7992079,1661906,1157622.752856,90.4
1412,279.05236,0.119,0.2186106,1406871,1157617.218144,6.0
1413,279.06629,0.1193,0.2190175,1349809,1157559.451261,6.01
1414,279.08741,3.7884,6.9568033,1666189,1157471.829128,226.37
1415,279.09864,0.0985,0.1809341,1373717,1157425.277819,4.77
1416,279.1238,2.7598,5.0680213,1678883,1157320.940682,164.6
1417,279.12716,0.1072,0.1969296,1724903,1157307.010397,5.29
1418,279.14761,0.2881,0.5290226,1662382,1157222.208584,16.15
1419,279.16018,0.3789,0.695869,1595680,1157170.096704,21.61
1420,279.19658,0.1191,0.2187521,1458386,1157019.240179,6.0
1421,279.23295,0.3264,0.599355,1765357,1156868.551017,18.45
1422,279.4974,0.1064,0.1953119,1726641,1155773.953413,5.24
1423,279.50932,0.1567,0.2877225,1512997,1155724.656217,8.26
1424,279.51496,0.1005,0.1844886,1657480,1155701.356565,4.88
1425,279.99371,0.105,0.1927742,1341252,1153725.233161,5.15
1426,280.00134,0.2671,0.4905236,1688760,1153693.81423,14.89
1427,280.00695,0.1083,0.1988617,1291847,1153670.692531,5.35
1428,280.01955,0.1425,0.2617592,1435598,1153618.786332,7.41
1429,280.02515,0.2024,0.3716699,1497549,1153595.720319,11.01
1430,280.03638,0.2468,0.4532726,1416086,1153549.438184,13.67
1431,280.03773,0.1477,0.2712621,1575870,1153543.885874,7.72
1432,280.04628,0.1047,0.192188,1793235,1153508.645331,5.14
1433,280.05439,0.235,0.4315744,1620720,1153475.280656,12.96
1434,280.05885,0.2357,0.4327897,1824134,1153456.889501,13.0
1435,280.07747,0.1144,0.2100345,1530640,1153380.201634,5.72
1436,280.08267,0.2092,0.384233,1576362,1153358.78142,11.42
1437,280.09076,0.6114,1.1227703,1669711,1153325.461838,35.57
1438,280.09524,0.3151,0.578716,1556118,1153307.036763,17.78
1439,280.12716,0.4251,0.7807274,1702042,1153175.631737,24.38
1440,280.13162,0.3584,0.6580662,1564407,1153157.23727,20.37
1441,280.15543,0.2144,0.3936969,1667581,1153059.248649,11.73
1442,280.49899,0.1106,0.2031044,1340359,1151646.94939,5.49
1443,280.51717,0.1061,0.19475,1716916,1151572.313037,5.22
1444,280.84644,0.459,0.8428299,1628234,1150222.198518,26.41
1445,280.93093,0.0974,0.17881,1874354,1149876.245384,4.7
1446,280.98298,0.1423,0.2613204,1911247,1149663.226449,7.4
1447,280.99098,0.1258,0.2311026,1848059,1149630.490086,6.41
1448,280.99389,0.1049,0.1926714,1631358,1149618.584533,5.15
1449,280.99858,0.0946,0.1736719,1720751,1149599.415055,4.53
1450,281.00917,0.4578,0.8407205,1615930,1149556.093059,26.35
1451,281.01479,0.0985,0.1808809,1530155,1149533.11044,4.77
1452,281.01679,0.0932,0.1712241,1755901,1149524.911072,4.45
1453,281.02039,0.1537,0.2821594,1517547,1149510.178186,8.08
1454,281.03029,0.62,1.1384962,1625100,1149469.684313,36.08
1455,281.04555,0.2336,0.4290141,1681906,1149407.275782,12.88
1456,281.06668,2.4618,4.5207314,1672201,1149320.884505,146.7
1457,281.08194,0.168,0.308577,1459227,1149258.499627,8.94
1458,281.09859,0.095,0.1743845,1569377,1149190.411817,4.55
1459,281.10306,3.8032,6.9840813,1660714,1149172.117564,227.27
1460,281.11831,0.1125,0.2065019,1341514,1149109.789649,5.6
1461,281.13945,1.3652,2.5070457,1655492,1149023.39641,80.84
1462,281.14282,0.1362,0.250031,1685679,1149009.599839,7.03
1463,281.17583,0.3055,0.5609204,1651614,1148874.715411,17.19
1464,281.2122,0.1878,0.3447907,1618689,1148726.109154,10.13
1465,281.2486,2.023,3.7149527,1652473,1148577.442653,120.35
1466,281.50681,0.1754,0.3221841,1393436,1147523.936403,9.39
1467,281.664,0.0969,0.1778887,1461499,1146883.527446,4.67
1468,281.86494,0.0939,0.1723845,1420978,1146065.915327,4.49
1469,281.99881,0.1544,0.2835214,1315638,1145521.830474,8.12
1470,282.00439,0.1202,0.2208052,1571781,1145499.163417,6.07
1471,282.00643,0.1134,0.2082464,1203911,1145490.906397,5.66
1472,282.01698,0.282,0.5178741,1559692,1145448.050368,15.79
1473,282.02463,0.0991,0.1819782,1753126,1145416.977759,4.8
1474,282.03814,0.1051,0.1929407,1804904,1145362.110312,5.16
1475,282.0408,0.0963,0.1769259,1371621,1145351.302254,4.64
1476,282.05336,0.1201,0.2205403,1711186,1145300.280849,6.06
1477,282.06192,0.1129,0.2073644,1169763,1145265.53265,5.63
1478,282.07004,0.3364,0.6176932,1757889,1145232.57879,19.05
1479,282.07451,0.2091,0.3839474,1763969,1145214.429002,11.41
1480,282.09831,0.1333,0.2447902,1812073,1145117.807396,6.86
1481,282.10642,0.5472,1.004854,1678131,1145084.873297,31.71
1482,282.11088,0.1726,0.3169851,1491095,1145066.75878,9.22
1483,282.1428,0.2556,0.4692844,1661503,1144937.218781,14.2
1484,282.16841,0.5737,1.0535271,1665962,1144833.326331,33.31
1485,282.25196,0.3774,0.6931124,1600331,1144494.439733,21.52
1486,282.50406,0.095,0.174469,1553861,1143473.078507,4.56
1487,282.92475,0.1028,0.1887234,1732550,1141772.81163,5.02
1488,282.92802,0.1185,0.2175318,1763454,1141759.622645,5.96
1489,282.98843,0.1525,0.28011,1696111,1141515.886501,8.01
1490,282.99511,0.6461,1.1865022,1697244,1141488.93353,37.65
1491,283.00664,0.2042,0.3750634,1588961,1141442.427954,11.12
1492,283.00956,0.213,0.3910624,1516944,1141430.674738,11.64
1493,283.01426,0.1279,0.2347911,1501416,1141411.70933,6.53
1494,283.02481,0.4473,0.8214841,1638295,1141369.174983,25.72
1495,283.0324,0.0944,0.1732804,1472656,1141338.546004,4.52
1496,283.03603,0.1309,0.2403568,1588994,1141323.91992,6.71
1497,283.04595,0.7403,1.3594116,1614522,1141283.926993,43.31
1498,283.0612,0.3916,0.7191619,1700931,1141222.41241,22.37
1499,283.08233,2.4343,4.4703083,1662362,1141137.246791,145.05
1500,283.09759,0.3203,0.5881279,1695823,1141075.728292,18.08
1501,283.11871,1.7686,3.2477849,1652076,1140990.593105,105.07
1502,283.13397,0.17,0.3122195,1580009,1140929.09325,9.06
1503,283.1551,0.6013,1.1042919,1663244,1140843.971362,34.97
1504,283.19148,0.6005,1.1028039,1638686,1140697.400746,34.92
1505,283.22787,0.597,1.0963551,1660495,1140550.852864,34.71
1506,283.26426,34.9156,64.1175919,1628349,1140404.339318,2095.83
1507,283.50424,0.1088,0.1998494,1498912,1139438.987517,5.39
1508,283.50989,0.0973,0.1786881,1413454,1139416.275421,4.69
1509,283.51188,0.1018,0.1869695,1390096,1139408.296308,4.96
1510,283.99467,0.1205,0.2213079,1943737,1137471.267484,6.09
1511,283.99626,0.2399,0.4404572,1570945,1137464.918015,13.26
1512,284.00388,0.161,0.2957413,1400660,1137434.392319,8.52
1513,284.02007,0.1149,0.2110468,1724215,1137369.570488,5.75
1514,284.02208,0.1028,0.188701,1545030,1137361.505181,5.02
1515,284.03263,0.234,0.4296552,1525498,1137319.255567,12.9
1516,284.04932,0.1063,0.1951673,1415389,1137252.431311,5.23
1517,284.05375,0.1058,0.1942524,1889932,1137234.696718,5.2
1518,284.069,0.1503,0.2760224,1785229,1137173.663691,7.88
1519,284.07756,0.1047,0.1921958,1222592,1137139.380973,5.14
1520,284.08567,0.3428,0.6295103,1661897,1137106.8988,19.44
1521,284.09015,0.223,0.4094328,1645727,1137088.998952,12.24
1522,284.12206,0.2824,0.5186042,1619645,1136961.259179,15.81
1523,284.12652,0.138,0.2534081,1416341,1136943.450139,7.14
1524,284.15843,0.1107,0.2033563,1617408,1136815.738166,5.5
1525,284.16293,0.3049,0.5598903,1594744,1136797.769582,17.16
1526,284.19482,0.118,0.2167639,1736729,1136670.2049,5.94
1527,284.19932,0.0927,0.1702057,1748011,1136652.204245,4.42
1528,284.23122,0.0965,0.1771369,1192018,1136524.630097,4.64
1529,284.26761,6.8797,12.6335497,1624935,1136379.127769,412.03
1530,284.27055,0.1592,0.2923208,1860773,1136367.394695,8.41
1531,284.40053,0.1702,0.3126028,1271104,1135848.007873,9.07
1532,284.51968,0.0963,0.176815,1118420,1135372.344281,4.63
1533,284.9768,0.1254,0.2302345,1539146,1133551.150441,6.38
1534,284.99197,0.1085,0.1992568,1729126,1133490.78776,5.37
1535,285.00408,0.3085,0.5664882,1648194,1133442.618268,17.38
1536,285.0117,0.2225,0.4086439,1628974,1133412.314381,12.21
1537,285.01932,0.105,0.192757,1407918,1133382.036553,5.15
1538,285.02519,0.1408,0.2585037,1361263,1133358.673261,7.3
1539,285.04047,0.5204,0.9555931,1626841,1133297.938936,30.1
1540,285.06159,0.7447,1.3674959,1641166,1133213.960456,43.57
1541,285.07684,0.562,1.0321168,1578278,1133153.321974,32.61
1542,285.08023,0.2111,0.3875937,1676923,1133139.877929,11.53
1543,285.09798,1.1443,2.1014354,1655872,1133069.323524,67.58
1544,285.11324,0.4081,0.7493797,1607972,1133008.677457,23.36
1545,285.13436,0.517,0.9494227,1680299,1132924.736243,29.9
1546,285.14962,0.1991,0.3656439,1542192,1132864.135457,10.81
1547,285.17074,0.3582,0.6577207,1639302,1132780.203349,20.36
1548,285.20713,1.2504,2.2961998,1631127,1132635.678581,73.95
1549,285.24352,0.2294,0.4213473,1571147,1132491.184606,12.63
1550,285.26849,0.1609,0.2954216,1726477,1132392.072631,8.51
1551,285.27097,0.6296,1.1562581,1553563,1132382.217626,36.67
1552,285.50933,0.1251,0.2298108,1734288,1131436.836694,6.37
1553,285.51338,0.1095,0.2010627,1167901,1131420.78048,5.43
1554,285.99372,0.1993,0.3659196,1454062,1129520.482561,10.82
1555,285.99929,0.1023,0.1877729,1435416,1129498.4921,4.99
1556,286.00133,0.1654,0.3037685,1727481,1129490.434626,8.78
1557,286.00894,0.0983,0.1804603,1365737,1129460.373942,4.75
1558,286.01191,0.1877,0.3446498,1668810,1129448.67029,10.12
1559,286.01955,0.1196,0.2196202,1471318,1129418.471374,6.03
1560,286.03572,0.1107,0.2033265,1733693,1129354.621372,5.5
