,M/z,Intensity,Relative,Resolution,Frequency,S/N
13610,555.05983,0.0957,0.8664024,775493,581979.955634,27.44
13611,555.06079,0.0264,0.2394126,208203,581978.952314,6.73
13612,555.06277,0.1835,1.6615183,799628,581976.870974,53.72
13613,555.06744,0.0241,0.2179266,433332,581971.97494,6.02
13614,555.07052,0.0449,0.4067542,783330,581968.744384,12.26
13615,555.07803,0.5754,5.2112846,783193,581960.871411,171.01
13616,555.0814,0.0254,0.2298951,737026,581957.336364,6.41
13617,555.08558,0.0243,0.2196693,747726,581952.960802,6.08
13618,555.08869,0.068,0.6155261,580714,581949.698898,19.16
13619,555.0901,0.0219,0.1984678,129309,581948.218775,5.38
13620,555.09106,0.0535,0.4845379,748857,581947.20869,14.83
13621,555.0933,0.0185,0.1677381,827007,581944.865523,4.36
13622,555.09622,0.049,0.4435521,824924,581941.806566,13.47
13623,555.0974,0.0206,0.1861437,254373,581940.561833,4.97
13624,555.09915,0.2759,2.499166,798684,581938.725482,81.39
13625,555.10674,0.0203,0.1839439,411907,581930.778673,4.9
13626,555.11441,0.3006,2.7227898,782212,581922.727757,88.78
13627,555.11784,0.019,0.172038,623891,581919.139086,4.5
13628,555.12513,0.0298,0.2699091,341971,581911.498857,7.74
13629,555.12568,0.027,0.2445433,326697,581910.915303,6.9
13630,555.12747,0.0542,0.4911977,704081,581909.04754,15.05
13631,555.13555,0.1992,1.8037299,781677,581900.575922,58.42
13632,555.15078,0.1457,1.3194783,808524,581884.607679,42.41
13633,555.16386,0.068,0.6160564,791019,581870.894716,19.17
13634,555.17193,0.1213,1.0988702,799347,581862.435351,35.13
13635,555.18168,0.0222,0.2011921,926619,581852.222818,5.47
13636,555.1872,0.0991,0.8976528,768800,581846.431682,28.48
13637,555.20024,0.0759,0.6877743,766769,581832.769408,21.54
13638,555.20831,0.0675,0.6116967,783537,581824.317256,19.03
13639,555.21807,0.028,0.2538968,791707,581814.089023,7.21
13640,555.22357,0.0637,0.5770633,816386,581808.319981,17.88
13641,555.23669,0.0425,0.3852069,685181,581794.578347,11.55
13642,555.24475,0.027,0.2442819,631088,581786.12502,6.89
13643,555.25995,0.0234,0.2119169,629596,581770.205499,5.82
13644,555.54331,0.0301,0.2730536,683749,581473.46039,7.84
13645,555.55753,0.0235,0.2124828,784496,581458.580767,5.84
13646,555.56151,0.0559,0.5066343,675795,581454.415025,15.56
13647,555.57201,0.0242,0.2189921,621249,581443.422607,6.05
13648,555.57562,0.0249,0.2255502,682631,581439.64303,6.27
13649,555.57973,0.0515,0.4660879,702759,581435.347277,14.22
13650,555.59034,0.0243,0.2203155,694173,581424.240699,6.1
13651,555.59789,0.039,0.3529367,762544,581416.343615,10.48
13652,556.00861,0.0219,0.1981903,608535,580986.845679,5.37
13653,556.02085,0.0204,0.1846683,738947,580974.05451,4.92
13654,556.03132,0.0414,0.3748905,696549,580963.116206,11.2
13655,556.03685,0.0375,0.3393111,693547,580957.341358,10.03
13656,556.03893,0.0367,0.3326163,854845,580955.16139,9.81
13657,556.04502,0.1214,1.0994613,784389,580948.796913,35.15
13658,556.04949,0.0856,0.7756692,721975,580944.129739,24.45
13659,556.05202,0.0193,0.1749134,801391,580941.484364,4.6
13660,556.05708,0.0294,0.2658858,340003,580936.203931,7.6
13661,556.05789,0.0191,0.1728002,188107,580935.355351,4.53
13662,556.06012,0.0346,0.3136687,592958,580933.029715,9.18
13663,556.06623,0.0377,0.3413817,703468,580926.643423,10.1
13664,556.06767,0.1111,1.0058672,709119,580925.134151,32.05
13665,556.07326,0.0959,0.8682244,744287,580919.298858,27.5
13666,556.07518,0.024,0.2171315,709066,580917.293493,5.99
13667,556.07823,0.04,0.3623918,642150,580914.104335,10.79
13668,556.0814,0.1387,1.2565277,760881,580910.793854,40.33
13669,556.0844,0.0191,0.1731368,593832,580907.662436,4.54
13670,556.0859,0.0797,0.7213786,745121,580906.093944,22.65
13671,556.09359,0.0215,0.194603,332014,580898.06257,5.25
13672,556.09444,0.0273,0.2469985,359316,580897.169702,6.98
13673,556.09639,0.0386,0.3498004,614111,580895.133362,10.38
13674,556.10252,0.0709,0.6421058,813267,580888.734437,20.03
13675,556.10411,0.0486,0.4403652,745677,580887.070983,13.37
13676,556.10965,0.0692,0.6267402,728424,580881.278794,19.53
13677,556.11461,0.0214,0.1942164,331221,580876.105659,5.23
13678,556.11778,0.086,0.7788696,781313,580872.790315,24.55
13679,556.12221,0.0257,0.2325888,868909,580868.165322,6.5
13680,556.13084,0.0345,0.3122779,651574,580859.148074,9.14
13681,556.13893,0.0508,0.4601176,731904,580850.696883,14.02
13682,556.14616,0.0277,0.2511807,740133,580843.147069,7.12
13683,556.15413,0.0455,0.4119321,710685,580834.819768,12.43
13684,556.16734,0.0276,0.2499098,857082,580821.025082,7.08
13685,556.17526,0.0383,0.3467595,733420,580812.753049,10.28
13686,556.19053,0.0338,0.3062604,747067,580796.807392,8.94
13687,556.20351,0.0284,0.256827,875097,580783.253386,7.3
13688,556.22694,0.0265,0.2401841,875513,580758.796025,6.75
13689,556.53313,0.0284,0.2570207,638323,580439.272681,7.31
13690,556.54063,0.0287,0.2602609,815013,580431.444607,7.42
13691,556.55115,0.0477,0.4317095,823600,580420.477251,13.08
13692,556.56522,0.0281,0.2544672,921835,580405.808113,7.23
13693,556.56934,0.0576,0.5218178,730098,580401.505955,16.06
13694,556.57124,0.0398,0.3600512,855394,580399.520464,10.71
13695,556.58349,0.0254,0.2298129,798321,580386.747531,6.41
13696,556.58753,0.0522,0.4726696,812789,580382.534846,14.44
13697,556.60177,0.02,0.1807029,734732,580367.687341,4.79
13698,556.60578,0.0295,0.2672359,710853,580363.506728,7.65
13699,556.98453,0.0204,0.1849166,552479,579968.852569,4.93
13700,557.00304,0.021,0.1902526,502518,579949.582592,5.1
13701,557.01025,0.0263,0.2384497,743112,579942.071931,6.7
13702,557.01286,0.0309,0.2796819,695440,579939.360099,8.06
13703,557.02091,0.2215,2.006263,788814,579930.974252,65.11
13704,557.02426,0.0287,0.2599669,817483,579927.491563,7.41
13705,557.02854,0.0313,0.2833859,689936,579923.03749,8.18
13706,557.0316,0.0228,0.2063406,561625,579919.851682,5.64
13707,557.03613,0.0546,0.494901,825062,579915.129881,15.17
13708,557.03897,0.0399,0.3610199,748888,579912.176606,10.75
13709,557.04198,0.0347,0.3143922,641842,579909.040315,9.21
13710,557.04674,0.0641,0.5802404,747291,579904.089088,17.99
13711,557.04832,0.0262,0.2374578,386163,579902.444848,6.66
13712,557.04908,0.0208,0.1881382,358624,579901.651554,5.03
13713,557.0573,0.6402,5.7984872,775924,579893.086875,190.41
13714,557.06065,0.0324,0.2937448,796959,579889.603895,8.52
13715,557.06496,0.0404,0.3659571,665397,579885.118496,10.91
13716,557.06794,0.0386,0.3494718,426609,579882.019589,10.36
13717,557.07037,0.0346,0.3135161,679447,579879.48152,9.18
13718,557.07256,0.0398,0.3604185,904379,579877.207957,10.73
13719,557.07547,0.101,0.9147137,821250,579874.174234,29.04
13720,557.07633,0.0233,0.2114042,238719,579873.286765,5.8
13721,557.07841,0.1448,1.3113788,739507,579871.116697,42.15
13722,557.08319,0.0331,0.3000772,635118,579866.144213,8.73
13723,557.08608,0.0268,0.2424636,894493,579863.133811,6.83
13724,557.08831,0.0206,0.1867434,923822,579860.808609,4.99
13725,557.09154,0.0204,0.1846382,1024036,579857.451761,4.92
13726,557.09368,0.5448,4.9340549,782354,579855.221144,161.85
13727,557.09706,0.0267,0.241745,721782,579851.701274,6.81
13728,557.10436,0.0403,0.3653439,426488,579844.104728,10.89
13729,557.10672,0.0468,0.4235587,655700,579841.647741,12.81
13730,557.10891,0.0264,0.2394046,736934,579839.373978,6.73
13731,557.1119,0.0257,0.2325465,907252,579836.254796,6.5
13732,557.11481,0.1767,1.5999548,784982,579833.230309,51.68
13733,557.12188,0.0184,0.1661928,633281,579825.866297,4.31
13734,557.12464,0.0211,0.1907951,675108,579822.993844,5.12
13735,557.13006,0.278,2.5180979,783080,579817.354902,82.02
13736,557.1414,0.0224,0.2027514,774056,579805.556941,5.52
13737,557.14313,0.0612,0.5545903,744742,579803.755172,17.14
13738,557.15119,0.111,1.0048949,749977,579795.362998,32.02
13739,557.16644,0.1611,1.4589223,812233,579779.493036,47.02
13740,557.17954,0.0719,0.6511149,746378,579765.867878,20.33
13741,557.18761,0.0504,0.4564745,708802,579757.466486,13.9
13742,557.19736,0.0226,0.2044952,755891,579747.326516,5.57
13743,557.20283,0.1202,1.0883787,800861,579741.633946,34.78
13744,557.21596,0.055,0.4984262,733387,579727.975269,15.29
13745,557.22396,0.0306,0.2767679,727062,579719.644651,7.96
13746,557.23391,0.0212,0.1915685,514313,579709.300509,5.15
13747,557.2392,0.083,0.7515679,782870,579703.798716,23.65
13748,557.25232,0.0249,0.225233,737080,579690.147638,6.26
13749,557.27558,0.0226,0.2046593,758378,579665.950796,5.58
13750,557.53017,0.0224,0.2030888,844195,579401.252429,5.53
13751,557.54072,0.0354,0.3204153,809462,579390.286579,9.4
13752,557.54853,0.0194,0.175345,648657,579382.172267,4.61
13753,557.559,0.0475,0.4302802,773834,579371.285934,13.03
13754,557.56265,0.02,0.1812302,832748,579367.494704,4.81
13755,557.56656,0.0243,0.2198047,697061,579363.433331,6.08
13756,557.57714,0.0533,0.4826074,684091,579352.44387,14.76
13757,557.58482,0.0211,0.1910696,931810,579344.454571,5.13
13758,557.59141,0.0212,0.1916254,702730,579337.616111,5.15
13759,557.59538,0.038,0.3442098,623781,579333.487023,10.19
13760,557.61348,0.0202,0.1831279,725073,579314.682201,4.87
13761,558.02427,0.0603,0.5464368,827927,578888.21467,16.87
13762,558.03635,0.0407,0.3689988,766419,578875.678284,11.01
13763,558.0469,0.0712,0.6445711,763455,578864.738669,20.12
13764,558.05259,0.0535,0.4844716,735932,578858.836329,14.83
13765,558.05456,0.0588,0.5327898,698601,578856.790749,16.42
13766,558.06067,0.1548,1.4023374,792174,578850.455275,45.15
13767,558.06512,0.0931,0.843417,694882,578845.840622,26.69
13768,558.07268,0.0542,0.4906544,737326,578837.998066,15.03
13769,558.07572,0.0246,0.222832,578914,578834.842183,6.18
13770,558.08183,0.0321,0.2904175,725472,578828.510823,8.41
13771,558.08331,0.097,0.8786766,739960,578826.975735,27.85
13772,558.08894,0.0898,0.813392,749376,578821.128524,25.69
13773,558.09096,0.0291,0.2635081,692209,578819.039869,7.52
13774,558.0931,0.0188,0.1699334,291275,578816.817334,4.43
13775,558.0939,0.0221,0.1998203,316954,578815.984881,5.42
13776,558.09705,0.1395,1.2631127,772479,578812.72419,40.55
13777,558.10156,0.056,0.507283,673250,578808.046897,15.58
13778,558.10932,0.0243,0.2201889,241849,578799.993254,6.09
13779,558.11017,0.023,0.2081684,236452,578799.110375,5.7
13780,558.1181,0.036,0.3259061,684922,578790.892952,9.59
13781,558.11963,0.0323,0.2924929,730101,578789.30302,8.48
13782,558.1253,0.0589,0.5336388,721048,578783.423886,16.45
13783,558.13342,0.0855,0.7746998,810817,578775.006401,24.41
13784,558.14643,0.0238,0.2151236,825858,578761.509912,5.93
13785,558.15463,0.0202,0.182756,813938,578753.008701,4.86
13786,558.16162,0.0239,0.2165604,699330,578745.758236,5.97
13787,558.16981,0.0506,0.4580826,781469,578737.268811,13.95
13788,558.18291,0.0289,0.262041,841676,578723.681314,7.48
13789,558.20619,0.0347,0.3141454,805033,578699.54898,9.2
13790,558.48216,0.0256,0.2321292,736214,578413.582444,6.49
13791,558.53798,0.0272,0.2465815,779123,578355.782667,6.97
13792,558.5486,0.0344,0.3114517,624286,578344.783333,9.11
13793,558.55223,0.0188,0.1704186,904139,578341.021997,4.45
13794,558.5562,0.0326,0.2949346,869033,578336.917025,8.56
13795,558.56681,0.0535,0.4845191,730463,578325.926634,14.83
13796,558.56824,0.0212,0.1919498,877664,578324.448441,5.16
13797,558.57043,0.0281,0.2545207,743295,578322.1785,7.23
13798,558.5744,0.0199,0.180636,665258,578318.069006,4.79
13799,558.57557,0.0203,0.1835202,746932,578316.853629,4.88
13800,558.58117,0.0224,0.2031081,663120,578311.055031,5.53
13801,558.58498,0.0489,0.4424471,676316,578307.11118,13.44
13802,558.5885,0.0201,0.1818935,776851,578303.47363,4.83
13803,558.59411,0.019,0.1721643,789185,578297.662212,4.51
