,M/z,Intensity,Relative,Resolution,Frequency,S/N
10607,391.08266,0.0967,1.1184382,672730,826001.284059,22.3
10608,391.08527,0.1124,1.2999449,1044237,825995.778153,26.07
10609,391.08642,0.0481,0.5564466,1164311,825993.338807,10.64
10610,391.08821,0.0764,0.8841175,1153182,825989.570149,17.44
10611,391.09093,0.0153,0.176548,572048,825983.818386,2.76
10612,391.09203,0.0215,0.2486715,1166147,825981.486432,4.26
10613,391.09302,0.0164,0.1897297,973004,825979.401308,3.03
10614,391.09463,0.0216,0.2501179,1010673,825976.002381,4.29
10615,391.09539,0.4339,5.018219,1127470,825974.393143,103.21
10616,391.09794,0.0547,0.63271,1049409,825969.017756,12.22
10617,391.10126,0.3827,4.4261751,1199443,825961.994792,90.93
10618,391.10346,1.2101,13.996747,1159695,825957.363628,289.5
10619,391.10686,0.0347,0.4015845,1247767,825950.182991,7.43
10620,391.11058,0.0315,0.3645019,1290446,825942.324365,6.66
10621,391.11402,0.0216,0.249614,973886,825935.062532,4.28
10622,391.11469,0.1106,1.2792966,1193137,825933.6427,25.64
10623,391.11651,0.1538,1.7786344,1162381,825929.791678,36.0
10624,391.11873,0.0209,0.241508,832357,825925.107638,4.11
10625,391.12163,0.0296,0.342533,907313,825918.982729,6.2
10626,391.1228,0.0279,0.3223701,1157971,825916.515565,5.79
10627,391.1246,0.0454,0.5255858,1177622,825912.720409,10.0
10628,391.13089,0.0145,0.1679234,308111,825899.424444,2.58
10629,391.13431,0.0465,0.5383518,1004559,825892.218904,10.27
10630,391.13984,0.7611,8.8031673,1163520,825880.526116,181.74
10631,391.14322,0.0205,0.2365564,1489925,825873.402909,4.01
10632,391.15109,0.0257,0.2972704,1039355,825856.783657,5.26
10633,391.1529,0.1295,1.4975642,1183332,825852.956514,30.17
10634,391.16096,0.0249,0.2884628,1239173,825835.945353,5.08
10635,391.1707,0.0336,0.3888727,923847,825815.373675,7.17
10636,391.17539,0.0251,0.2906547,921171,825805.481375,5.13
10637,391.17623,0.3788,4.3811545,1153516,825803.704489,90.0
10638,391.17964,0.0167,0.1936771,1203858,825796.511792,3.12
10639,391.18929,0.1092,1.2625612,1134646,825776.130466,25.29
10640,391.19733,0.0241,0.2792152,1334468,825759.164902,4.89
10641,391.21261,0.1109,1.2823685,1140533,825726.901365,25.7
