peakNo	mw	relativeAbundance	errorPPM	DBE	class	formula	z	C	H	O	N	S
1270	329.038276	0.003810826	-0.060114587	7	N1O10	H11_C12_N_O10	0	12	11	10	1	0
1541	341.038306	0.008726254	0.029967308	8	N1O10	H11_C13_N_O10	0	13	11	10	1	0
1597	343.053946	0.013191623	4.26E-04	7	N1O10	H13_C13_N_O10	0	13	13	10	1	0
1648	345.069596	0.008417083	2.09E-04	6	N1O10	H15_C13_N_O10	0	13	15	10	1	0
1701	347.085256	0.003919428	0.028805603	5	N1O10	H17_C13_N_O10	0	13	17	10	1	0
1794	351.022646	0.004749102	8.38E-04	10	N1O10	H9_C14_N_O10	0	14	9	10	1	0
1845	353.038306	0.010030447	0.0289487	9	N1O10	H11_C14_N_O10	0	14	11	10	1	0
1898	355.053936	0.020885677	-0.02775353	8	N1O10	H13_C14_N_O10	0	14	13	10	1	0
1957	357.069596	0.02489316	2.02E-04	7	N1O10	H15_C14_N_O10	0	14	15	10	1	0
2015	359.085246	0.01464551	-5.57E-06	6	N1O10	H17_C14_N_O10	0	14	17	10	1	0
2069	361.100916	0.005507354	0.055175712	5	N1O10	H19_C14_N_O10	0	14	19	10	1	0
2109	363.022646	0.007895602	8.10E-04	11	N1O10	H9_C15_N_O10	0	15	9	10	1	0
2163	365.038296	0.013056606	6.03E-04	10	N1O10	H11_C15_N_O10	0	15	11	10	1	0
2211	367.053946	0.024149584	3.98E-04	9	N1O10	H13_C15_N_O10	0	15	13	10	1	0
2264	369.069596	0.032594062	1.95E-04	8	N1O10	H15_C15_N_O10	0	15	15	10	1	0
2322	371.085246	0.03127715	-5.39E-06	7	N1O10	H17_C15_N_O10	0	15	17	10	1	0
2378	373.100886	0.019170561	-0.0270061	6	N1O10	H19_C15_N_O10	0	15	19	10	1	0
2421	375.022646	0.007935716	7.84E-04	12	N1O10	H9_C16_N_O10	0	16	9	10	1	0
2435	375.116546	0.004645393	-4.00E-04	5	N1O10	H21_C15_N_O10	0	15	21	10	1	0
2480	377.038296	0.021762314	5.83E-04	11	N1O10	H11_C16_N_O10	0	16	11	10	1	0
2545	379.053936	0.03564468	-0.025996301	10	N1O10	H13_C16_N_O10	0	16	13	10	1	0
2604	381.069596	0.041638293	1.89E-04	9	N1O10	H15_C16_N_O10	0	16	15	10	1	0
2665	383.085246	0.042409264	-5.22E-06	8	N1O10	H17_C16_N_O10	0	16	17	10	1	0
2711	385.006966	0.004085754	-0.076964841	14	N1O10	H7_C17_N_O10	0	17	7	10	1	0
2724	385.100896	0.037348056	-1.97E-04	7	N1O10	H19_C16_N_O10	0	16	19	10	1	0
2771	387.022636	0.00874093	-0.025078637	13	N1O10	H9_C17_N_O10	0	17	9	10	1	0
2785	387.116556	0.017997472	0.025444533	6	N1O10	H21_C16_N_O10	0	16	21	10	1	0
2830	389.038296	0.020928726	5.65E-04	12	N1O10	H11_C17_N_O10	0	17	11	10	1	0
2847	389.132196	0.005186442	-5.76E-04	5	N1O10	H23_C16_N_O10	0	16	23	10	1	0
2898	391.053946	0.040751873	3.73E-04	11	N1O10	H13_C17_N_O10	0	17	13	10	1	0
2963	393.069596	0.050497609	1.83E-04	10	N1O10	H15_C17_N_O10	0	17	15	10	1	0
3029	395.085246	0.054361268	-5.06E-06	9	N1O10	H17_C17_N_O10	0	17	17	10	1	0
3091	397.100896	0.050793082	-1.91E-04	8	N1O10	H19_C17_N_O10	0	17	19	10	1	0
3140	399.022636	0.008942479	-0.024324435	14	N1O10	H9_C18_N_O10	0	18	9	10	1	0
3156	399.116546	0.038043691	-3.76E-04	7	N1O10	H21_C17_N_O10	0	17	21	10	1	0
3209	401.038296	0.022716244	5.49E-04	13	N1O10	H11_C18_N_O10	0	18	11	10	1	0
3227	401.132196	0.017789075	-5.58E-04	6	N1O10	H23_C17_N_O10	0	17	23	10	1	0
3279	403.053946	0.038949679	3.62E-04	12	N1O10	H13_C18_N_O10	0	18	13	10	1	0
3294	403.147866	0.00541245	0.048870406	5	N1O10	H25_C17_N_O10	0	17	25	10	1	0
3348	405.069586	0.050349872	-0.024509369	11	N1O10	H15_C18_N_O10	0	18	15	10	1	0
3418	407.085246	0.051105189	-4.91E-06	10	N1O10	H17_C18_N_O10	0	18	17	10	1	0
3487	409.100896	0.048110339	-1.86E-04	9	N1O10	H19_C18_N_O10	0	18	19	10	1	0
3536	411.022626	0.00689471	-0.047943833	15	N1O10	H9_C19_N_O10	0	19	9	10	1	0
3553	411.116536	0.038618984	-0.024688863	8	N1O10	H21_C18_N_O10	0	18	21	10	1	0
3605	413.038296	0.017133554	5.33E-04	14	N1O10	H11_C19_N_O10	0	19	11	10	1	0
3624	413.132186	0.027125844	-0.024747527	7	N1O10	H23_C18_N_O10	0	18	23	10	1	0
3675	415.053926	0.030255712	-0.047834748	13	N1O10	H13_C19_N_O10	0	19	13	10	1	0
3692	415.147846	0.013069325	-7.18E-04	6	N1O10	H25_C18_N_O10	0	18	25	10	1	0
3748	417.069586	0.045702523	-0.023804181	12	N1O10	H15_C19_N_O10	0	19	15	10	1	0
3767	417.163516	0.005328308	0.047051095	5	N1O10	H27_C18_N_O10	0	18	27	10	1	0
3826	419.085236	0.055538271	-0.023866267	11	N1O10	H17_C19_N_O10	0	19	17	10	1	0
3897	421.100886	0.048828477	-0.023927758	10	N1O10	H19_C19_N_O10	0	19	19	10	1	0
3948	423.022666	0.005136544	0.047973789	16	N1O10	H9_C20_N_O10	0	20	9	10	1	0
3966	423.116546	0.041677429	-3.55E-04	9	N1O10	H21_C19_N_O10	0	19	21	10	1	0
4013	425.038286	0.010243736	-0.023009692	15	N1O10	H11_C20_N_O10	0	20	11	10	1	0
4031	425.132196	0.030156895	-5.27E-04	8	N1O10	H23_C19_N_O10	0	19	23	10	1	0
4079	427.053946	0.019086419	3.42E-04	14	N1O10	H13_C20_N_O10	0	20	13	10	1	0
4097	427.147846	0.016341059	-6.98E-04	7	N1O10	H25_C19_N_O10	0	19	25	10	1	0
