peakNo	mw	relativeAbundance	errorPPM	DBE	class	formula	z	C	H	O	N	S
1226	341.038296	0.006564618	6.45E-04	8	N1O10	H11_C13_N_O10	0	13	11	10	1	0
1274	343.053946	0.008783893	4.26E-04	7	N1O10	H13_C13_N_O10	0	13	13	10	1	0
1320	345.069576	0.005737541	-0.057750672	6	N1O10	H15_C13_N_O10	0	13	15	10	1	0
1488	353.038286	0.010837359	-0.027702378	9	N1O10	H11_C14_N_O10	0	14	11	10	1	0
1538	355.053946	0.019158167	4.11E-04	8	N1O10	H13_C14_N_O10	0	14	13	10	1	0
1595	357.069596	0.023525095	2.02E-04	7	N1O10	H15_C14_N_O10	0	14	15	10	1	0
1645	359.085236	0.012200123	-0.027854111	6	N1O10	H17_C14_N_O10	0	14	17	10	1	0
1740	363.022636	0.007638935	-0.026736625	11	N1O10	H9_C15_N_O10	0	15	9	10	1	0
1793	365.038296	0.011998014	6.03E-04	10	N1O10	H11_C15_N_O10	0	15	11	10	1	0
1844	367.053946	0.024969291	3.98E-04	9	N1O10	H13_C15_N_O10	0	15	13	10	1	0
1898	369.069596	0.035693823	1.95E-04	8	N1O10	H15_C15_N_O10	0	15	15	10	1	0
1964	371.085246	0.03249638	-5.39E-06	7	N1O10	H17_C15_N_O10	0	15	17	10	1	0
2024	373.100896	0.017224396	-2.04E-04	6	N1O10	H19_C15_N_O10	0	15	19	10	1	0
2070	375.022646	0.006013233	7.84E-04	12	N1O10	H9_C16_N_O10	0	16	9	10	1	0
2131	377.038286	0.017180246	-0.02593901	11	N1O10	H11_C16_N_O10	0	16	11	10	1	0
2192	379.053936	0.033876804	-0.025996301	10	N1O10	H13_C16_N_O10	0	16	13	10	1	0
2253	381.069596	0.045878742	1.89E-04	9	N1O10	H15_C16_N_O10	0	16	15	10	1	0
2321	383.085246	0.047772288	-5.22E-06	8	N1O10	H17_C16_N_O10	0	16	17	10	1	0
2385	385.100896	0.035182663	-1.97E-04	7	N1O10	H19_C16_N_O10	0	16	19	10	1	0
2430	387.022646	0.008076511	7.60E-04	13	N1O10	H9_C17_N_O10	0	17	9	10	1	0
2447	387.116546	0.014988443	-3.87E-04	6	N1O10	H21_C16_N_O10	0	16	21	10	1	0
2496	389.038296	0.019546687	5.65E-04	12	N1O10	H11_C17_N_O10	0	17	11	10	1	0
2564	391.053946	0.040425724	3.73E-04	11	N1O10	H13_C17_N_O10	0	17	13	10	1	0
2633	393.069586	0.053870878	-0.025257614	10	N1O10	H15_C17_N_O10	0	17	15	10	1	0
2698	395.085246	0.059214993	-5.06E-06	9	N1O10	H17_C17_N_O10	0	17	17	10	1	0
2770	397.100886	0.054952063	-0.025373905	8	N1O10	H19_C17_N_O10	0	17	19	10	1	0
2820	399.022656	0.006720615	0.025798034	14	N1O10	H9_C18_N_O10	0	18	9	10	1	0
2838	399.116546	0.033311683	-3.76E-04	7	N1O10	H21_C17_N_O10	0	17	21	10	1	0
2886	401.038296	0.015555525	5.49E-04	13	N1O10	H11_C18_N_O10	0	18	11	10	1	0
2905	401.132186	0.012896712	-0.025487857	6	N1O10	H23_C17_N_O10	0	17	23	10	1	0
2958	403.053936	0.035158136	-0.024448341	12	N1O10	H13_C18_N_O10	0	18	13	10	1	0
2976	403.147846	0.00641647	-7.39E-04	5	N1O10	H25_C17_N_O10	0	17	25	10	1	0
3030	405.069586	0.048957471	-0.024509369	11	N1O10	H15_C18_N_O10	0	18	15	10	1	0
3095	407.085246	0.054018045	-4.91E-06	10	N1O10	H17_C18_N_O10	0	18	17	10	1	0
3161	409.100886	0.051058031	-0.024629621	9	N1O10	H19_C18_N_O10	0	18	19	10	1	0
