,m/z,I,S/N,Res.,I %
8083,500.00825,2867106,5.0,356724,1.0
8084,500.02538,2635175,4.5,269050,0.9
8085,500.04141,4658603,9.4,345294,1.6
8086,500.05359,5216687,10.8,426152,1.8
8087,500.0702,2449843,4.0,370708,0.8
8088,500.07768,2871221,5.0,373642,1.0
8089,500.41926,3582484,6.8,445445,1.2
8090,500.61004,3162697,5.8,390597,1.1
8091,501.00973,5286583,10.9,348855,1.8
8092,501.02526,2894523,5.1,398699,1.0
8093,501.04625,4711105,9.5,370931,1.6
8094,501.0616,7666373,16.7,324183,2.6
8095,501.07959,3083978,5.6,382848,1.1
8096,501.08305,5361355,11.1,363887,1.8
8097,501.098,2712783,4.7,384080,0.9
8098,501.1039,4992721,10.2,392313,1.7
8099,501.10969,3845843,7.4,375641,1.3
8100,501.11925,6755029,14.5,399276,2.3
8101,501.14026,2900187,5.1,309457,1.0
8102,501.1461,4247261,8.4,411185,1.4
8103,501.15558,3531487,6.7,439119,1.2
8104,501.24925,4044537,7.9,412257,1.4
8105,501.2858,5950211,12.5,352901,2.0
8106,501.32232,22772494,53.5,367961,7.8
8107,501.35895,4421399,8.8,358802,1.5
8108,501.37985,2471709,4.1,364519,0.8
8109,501.58713,2651990,4.5,315388,0.9
8110,502.00577,2535369,4.2,453767,0.9
8111,502.03328,3881937,7.5,351148,1.3
8112,502.04167,4335571,8.6,368593,1.5
8113,502.05001,2816981,4.9,375766,1.0
8114,502.0636,6808537,14.6,336601,2.3
8115,502.07837,2826205,4.9,391791,1.0
8116,502.09082,2837472,5.0,493997,1.0
8117,502.25286,2913293,5.1,445471,1.0
8118,502.2895,2589719,4.4,378781,0.9
8119,502.32567,6083617,12.9,321862,2.1
8120,502.98954,3690710,7.0,426607,1.3
8121,503.02572,7038177,15.2,337128,2.4
8122,503.04096,5942501,12.5,345806,2.0
8123,503.05654,2569449,4.3,272279,0.9
8124,503.06202,3165930,5.8,354021,1.1
8125,503.07723,3154670,5.7,364845,1.1
8126,503.09813,2886388,5.1,326330,1.0
8127,503.11934,2967290,5.3,374267,1.0
8128,503.13476,6249726,13.3,350633,2.1
