,m/z,I,S/N,Res.,I %
297,209.06378,2062083,4.2,1229082,1.3
298,209.06464,2063747,4.2,1335906,1.3
299,209.07958,11206275,31.8,767541,6.8
300,209.08196,7086979,19.4,590560,4.3
301,209.08541,2935939,6.9,878982,1.8
302,209.08629,2042371,4.2,1137153,1.2
303,209.10046,2127491,4.4,759543,1.3
304,209.11838,6258819,16.9,850352,3.8
305,209.18515,2153858,4.5,966678,1.3
306,209.20585,2039554,4.2,1056881,1.2
307,209.20685,2302402,5.0,513219,1.4
308,209.25209,2059009,4.2,1076198,1.2
309,209.2564,2069697,4.3,857622,1.3
310,209.26529,2032385,4.2,648760,1.2
311,209.31777,2218881,4.7,920194,1.3
312,209.33728,2155265,4.5,710408,1.3
313,209.4037,2036160,4.2,677876,1.2
314,209.41569,2118464,4.4,860464,1.3
315,209.44829,2314624,5.0,723666,1.4
316,209.49524,1987392,4.0,688084,1.2
317,209.54041,2115584,4.4,1213713,1.3
318,209.61047,2797055,6.5,900484,1.7
319,209.63937,1985023,4.0,472934,1.2
320,209.64945,2059775,4.2,1249335,1.2
321,209.68492,2121055,4.4,564179,1.3
322,209.70703,2253055,4.8,1026249,1.4
323,209.71722,2080895,4.3,1133877,1.3
324,209.76044,2006206,4.1,1007007,1.2
325,209.83711,2358654,5.1,1024943,1.4
326,209.86683,2050814,4.2,875474,1.2
327,209.87235,2238334,4.8,717196,1.4
328,209.92962,2105086,4.4,624792,1.3
329,209.9891,2040445,4.2,1087717,1.2
330,210.01261,2093309,4.3,1297315,1.3
331,210.02474,4224125,10.8,919553,2.6
332,210.03519,2060221,4.2,982077,1.3
333,210.04052,2406781,5.3,1159656,1.5
334,210.04092,3185021,7.6,715823,1.9
335,210.04672,2325757,5.0,919210,1.4
336,210.04891,2180221,4.6,883191,1.3
337,210.07125,2199741,4.7,623026,1.3
338,210.07721,3888893,9.7,865808,2.4
339,210.11248,2003325,4.1,704449,1.2
340,210.16525,2003325,4.1,993405,1.2
341,210.19941,2338173,5.1,922683,1.4
342,210.28636,2416060,5.3,817691,1.5
343,210.33603,1996476,4.0,766326,1.2
344,210.43253,2021500,4.1,860305,1.2
345,210.51619,2067452,4.3,875364,1.3
346,210.54168,1987932,4.0,555569,1.2
347,210.57724,2004412,4.1,657837,1.2
348,210.58312,1985916,4.0,1047654,1.2
349,210.62985,2009084,4.1,1076524,1.2
350,210.64356,2042748,4.2,1087808,1.2
351,210.70181,2112636,4.4,1228771,1.3
352,210.77618,2187132,4.6,737488,1.3
353,210.88729,2030332,4.1,1026713,1.2
354,210.98877,2299004,5.0,1165504,1.4
355,210.99662,2141948,4.5,1201219,1.3
356,211.02486,15095932,43.5,695962,9.2
357,211.03268,2380924,5.2,834282,1.4
358,211.03611,6145148,16.5,829888,3.7
359,211.0401,2594428,5.8,955580,1.6
360,211.06124,10207356,28.8,661557,6.2
361,211.07247,3346812,8.1,629459,2.0
362,211.07774,2045436,4.2,919003,1.2
363,211.08537,2235388,4.8,931220,1.4
364,211.09765,10911356,30.9,787352,6.6
365,211.1089,2807804,6.5,1013538,1.7
366,211.13403,16332924,47.2,844912,9.9
367,211.17028,2097532,4.3,749681,1.3
368,211.20079,2086140,4.3,997240,1.3
369,211.2703,2201852,4.7,674183,1.3
370,211.3149,2074684,4.3,722020,1.3
371,211.33382,2009532,4.1,737298,1.2
372,211.3954,2553597,5.7,880504,1.5
373,211.42469,2376573,5.2,1016250,1.4
374,211.43227,2123069,4.4,863835,1.3
375,211.43792,2073853,4.3,1071322,1.3
376,211.46232,2156029,4.5,743983,1.3
377,211.47102,2177021,4.6,1058135,1.3
378,211.47146,1991805,4.0,970929,1.2
379,211.51306,2216637,4.7,767925,1.3
380,211.51396,2124541,4.4,995711,1.3
381,211.56713,1992701,4.0,1185924,1.2
382,211.57787,2085885,4.3,1060742,1.3
383,211.58856,2290813,4.9,656651,1.4
