,m/z,I,S/N,Res.,I %
5124,387.15623,3744465,8.1,605758,1.2
5125,387.1659,2413271,4.5,657507,0.7
5126,387.18135,6379233,15.2,516723,2.0
5127,387.20246,4841198,11.1,488212,1.5
5128,387.23879,3449604,7.3,535016,1.1
5129,387.28652,3837730,8.4,566081,1.2
5130,387.36363,2295122,4.2,513978,0.7
5131,387.48255,2278300,4.2,451890,0.7
5132,387.805,2324068,4.3,428941,0.7
5133,388.02122,2313451,4.3,515468,0.7
5134,388.02564,3566317,7.6,418031,1.1
5135,388.04369,4270329,9.5,493279,1.3
5136,388.06178,4284676,9.6,507334,1.3
5137,388.07548,2613516,5.1,567699,0.8
5138,388.07994,2538767,4.9,464925,0.8
5139,388.12861,2324013,4.3,438550,0.7
5140,388.18227,2337615,4.3,612089,0.7
5141,388.3387,2312112,4.3,614757,0.7
5142,388.51303,2830364,5.6,548483,0.9
5143,388.52697,2756132,5.4,488644,0.9
5144,388.57205,2486336,4.7,476306,0.8
5145,388.66296,2419321,4.5,458650,0.8
5146,388.91232,2344723,4.3,455403,0.7
5147,389.01257,2576465,5.0,299841,0.8
5148,389.01504,6527827,15.6,496461,2.0
5149,389.03313,3324766,7.0,562197,1.0
5150,389.04085,2826083,5.6,473150,0.9
5151,389.05139,14332777,36.6,494433,4.4
5152,389.06544,2625394,5.1,558724,0.8
5153,389.06653,2585971,5.0,598586,0.8
5154,389.06956,3363701,7.1,497028,1.0
5155,389.07246,3382134,7.1,565913,1.0
5156,389.08783,12684160,32.2,466968,3.9
5157,389.09839,2236294,4.0,741824,0.7
5158,389.10604,2226059,4.0,609427,0.7
5159,389.12417,10621846,26.6,469873,3.3
5160,389.16054,11699117,29.5,469089,3.6
5161,389.18173,4548538,10.3,491627,1.4
5162,389.19693,5816259,13.7,462575,1.8
5163,389.25695,2244584,4.1,637594,0.7
5164,389.53716,2328470,4.3,446478,0.7
5165,389.67943,2567917,4.9,554709,0.8
5166,390.00229,2229685,4.0,350511,0.7
5167,390.041,3346381,7.0,538300,1.0
5168,390.05942,2965464,6.0,416767,0.9
5169,390.07734,2449891,4.6,473371,0.8
5170,390.09115,2492907,4.7,442053,0.8
5171,390.09551,2915310,5.9,495581,0.9
5172,390.12757,2658818,5.2,553186,0.8
5173,390.16389,2719768,5.3,453998,0.8
5174,390.37585,2321307,4.3,435150,0.7
5175,390.89175,3043800,6.2,465917,0.9
5176,390.94625,2464762,4.7,558350,0.8
5177,391.03066,9908269,24.7,498377,3.1
5178,391.03826,2961458,6.0,464633,0.9
5179,391.04596,3270199,6.8,492033,1.0
5180,391.04895,3249721,6.8,445936,1.0
5181,391.05654,2435646,4.6,648321,0.8
5182,391.06713,13469764,34.3,453662,4.2
5183,391.0825,2639949,5.1,552975,0.8
5184,391.10345,11335770,28.6,462377,3.5
5185,391.13982,14796913,37.9,492809,4.6
5186,391.17627,10715271,26.9,480006,3.3
5187,391.21253,4179101,9.3,488035,1.3
5188,391.24747,2307251,4.2,599309,0.7
5189,391.35031,2267122,4.1,489201,0.7
5190,391.39301,2352908,4.4,454890,0.7
5191,391.41618,2280218,4.2,662322,0.7
5192,391.5246,2604637,5.0,383259,0.8
5193,391.53459,2599523,5.0,416763,0.8
5194,391.63422,2454944,4.6,509034,0.8
5195,391.84749,2741283,5.4,530092,0.9
5196,391.92086,2227024,4.0,339161,0.7
5197,391.98128,2568820,4.9,484656,0.8
5198,392.02808,3018897,6.2,415692,0.9
5199,392.04625,3379868,7.1,575502,1.0
5200,392.05671,2236579,4.0,513708,0.7
5201,392.06446,2474663,4.7,467095,0.8
5202,392.1222,2281675,4.2,432930,0.7
5203,392.14314,3182296,6.6,569578,1.0
5204,392.15394,2270942,4.1,477200,0.7
5205,392.90154,6847655,16.5,495720,2.1
5206,392.93806,3079869,6.3,549668,1.0
5207,392.94202,2234559,4.0,512322,0.7
5208,392.97661,7221461,17.5,442148,2.2
5209,392.98311,2345689,4.3,466850,0.7
5210,392.98639,2731738,5.4,426266,0.8
5211,393.00988,2565865,4.9,596297,0.8
5212,393.01817,2370542,4.4,260219,0.7
5213,393.02512,6189298,14.7,473560,1.9
5214,393.03573,3785977,8.2,528997,1.2
5215,393.04402,2676990,5.2,619294,0.8
5216,393.04634,9424127,23.4,502429,2.9
5217,393.05137,2338050,4.3,370697,0.7
5218,393.05396,3284228,6.9,599267,1.0
5219,393.06165,4922632,11.3,475539,1.5
5220,393.07375,2301712,4.2,437939,0.7
5221,393.08278,9964821,24.9,484828,3.1
5222,393.09805,3128607,6.4,599602,1.0
5223,393.11908,11994411,30.3,473818,3.7
5224,393.13431,2224949,4.0,469213,0.7
5225,393.15553,15002945,38.4,478203,4.7
5226,393.17171,6436172,15.4,530603,2.0
5227,393.19191,6915416,16.6,532828,2.1
5228,393.21086,2458979,4.6,521572,0.8
5229,393.21321,2364261,4.4,499728,0.7
5230,393.2281,2609518,5.0,573727,0.8
5231,393.55178,2443827,4.6,329344,0.8
5232,393.5673,2559036,4.9,422269,0.8
5233,393.68824,2432646,4.6,407838,0.8
5234,393.82338,2303704,4.2,446517,0.7
5235,393.87894,2597114,5.0,450727,0.8
5236,393.96602,2404142,4.5,592466,0.7
5237,393.96719,3264303,6.8,565466,1.0
5238,394.03323,2328407,4.3,587147,0.7
5239,394.04361,4236126,9.4,494092,1.3
5240,394.0498,2473057,4.7,428224,0.8
5241,394.06177,2569577,4.9,600067,0.8
5242,394.09822,2233471,4.0,369242,0.7
5243,394.12239,3623821,7.8,512826,1.1
5244,394.12677,2271632,4.1,611437,0.7
5245,394.15877,2767779,5.5,667714,0.9
5246,394.18142,2431153,4.6,466187,0.8
5247,394.22997,2268623,4.1,547793,0.7
5248,394.28496,2405872,4.5,522616,0.7
5249,394.41239,2271549,4.1,389741,0.7
5250,394.60291,2235569,4.0,487778,0.7
5251,394.72174,2318585,4.3,545757,0.7
5252,394.91726,14963055,38.3,488038,4.6
5253,394.97585,4241810,9.4,387061,1.3
5254,395.00458,2362276,4.4,677744,0.7
5255,395.02556,3745200,8.1,502392,1.2
5256,395.03335,2794933,5.5,335355,0.9
5257,395.04082,8987065,22.2,504547,2.8
5258,395.0512,4298176,9.6,419563,1.3
5259,395.06195,9040326,22.4,467873,2.8
5260,395.06959,3321291,7.0,574367,1.0
5261,395.07727,5124560,11.8,531154,1.6
5262,395.09842,11231708,28.3,476342,3.5
5263,395.11357,2236390,4.0,697221,0.7
5264,395.13471,11129330,28.0,485923,3.5
5265,395.14608,2574841,5.0,469509,0.8
5266,395.15009,3074556,6.3,500190,1.0
5267,395.17121,8092169,19.8,481022,2.5
5268,395.20772,3887646,8.5,437196,1.2
5269,395.3353,2226795,4.0,508202,0.7
5270,395.38946,4893324,11.2,492982,1.5
5271,395.40573,2326934,4.3,370936,0.7
5272,395.75271,2451303,4.6,414940,0.8
5273,395.95116,2311135,4.2,403100,0.7
5274,396.00655,2458112,4.6,455339,0.8
5275,396.04103,3415061,7.2,483410,1.1
5276,396.04843,2289689,4.1,604717,0.7
5277,396.05915,3281952,6.8,563185,1.0
5278,396.07745,2287659,4.1,609964,0.7
5279,396.09569,3049526,6.2,436952,0.9
5280,396.09815,2304311,4.2,452888,0.7
5281,396.1016,2733113,5.3,372800,0.8
5282,396.13807,3027023,6.1,574042,0.9
5283,396.17452,2244709,4.0,587632,0.7
5284,396.65494,2478854,4.7,260364,0.8
5285,396.74502,2497980,4.7,481317,0.8
5286,396.93298,9889324,24.5,446526,3.1
5287,396.98119,2877001,5.7,392862,0.9
5288,397.02017,7321185,17.6,481313,2.3
5289,397.03081,2773095,5.4,569435,0.9
5290,397.04143,4902510,11.1,485784,1.5
5291,397.04892,2603634,5.0,605664,0.8
5292,397.05654,8877686,21.8,477295,2.8
5293,397.06126,2399097,4.4,435735,0.7
5294,397.07761,5576323,12.9,488651,1.7
5295,397.09278,4958860,11.3,465890,1.5
5296,397.11405,6911641,16.5,481665,2.1
5297,397.1181,2582683,4.9,543524,0.8
5298,397.1293,3613346,7.7,538255,1.1
5299,397.15045,7730863,18.7,465702,2.4
5300,397.16575,2986680,6.0,576204,0.9
5301,397.18683,4177605,9.2,465237,1.3
5302,397.22652,54970076,145.1,464787,17.1
5303,397.25962,2682608,5.2,645501,0.8
5304,397.27925,2313468,4.2,491899,0.7
5305,397.28497,2361087,4.3,549313,0.7
5306,397.29596,4401926,9.8,464718,1.4
5307,397.33229,32401180,84.7,479710,10.1
5308,397.55317,2508192,4.7,509766,0.8
5309,397.55798,2256803,4.1,540713,0.7
5310,397.56704,2290344,4.1,459872,0.7
5311,397.72036,2700292,5.2,342176,0.8
5312,398.0056,2528942,4.8,539715,0.8
5313,398.02792,3184827,6.5,405246,1.0
5314,398.03842,2752705,5.4,487753,0.9
5315,398.06441,3379409,7.1,522065,1.0
5316,398.07504,2328791,4.3,389277,0.7
5317,398.11722,2340592,4.3,440077,0.7
5318,398.22987,11206963,28.0,452747,3.5
5319,398.33568,8352115,20.4,536341,2.6
5320,398.35973,2252673,4.0,677782,0.7
5321,398.49237,2399184,4.4,427118,0.7
5322,398.56989,2235902,4.0,601805,0.7
5323,398.75685,2568301,4.9,526326,0.8
