,m/z,I,S/N,Res.,I %
142,204.84103,2044471,4.2,591080,4.3
143,204.88219,2027638,4.2,1117531,4.3
144,204.90239,1980022,4.0,1126235,4.2
145,204.92799,2024597,4.2,604468,4.3
146,204.99577,2038515,4.2,980005,4.3
147,205.01402,3449843,8.5,1282327,7.3
148,205.01428,12599795,36.2,936039,26.7
149,205.03976,2075826,4.3,781656,4.4
150,205.05064,4812530,12.6,947810,10.2
151,205.05341,1983858,4.0,924254,4.2
152,205.05412,2179442,4.6,744557,4.6
153,205.06587,2350194,5.1,1036865,5.0
154,205.07772,2240049,4.8,883822,4.7
155,205.09084,2014705,4.1,843711,4.3
156,205.12634,2036720,4.2,698976,4.3
157,205.21597,2281582,4.9,832791,4.8
158,205.30841,2022572,4.2,1070939,4.3
159,205.32188,2031084,4.2,954439,4.3
160,205.34244,2097579,4.4,771003,4.4
161,205.37746,2094698,4.4,959974,4.4
162,205.39662,2242026,4.8,1108660,4.8
163,205.4087,2055402,4.3,728887,4.4
164,205.47908,2101096,4.4,1063784,4.5
165,205.49012,2241640,4.8,1078050,4.8
166,205.49295,2048040,4.2,808983,4.3
167,205.53574,2061287,4.3,874405,4.4
168,205.60266,2686181,6.2,984996,5.7
169,205.67859,2109668,4.4,659995,4.5
170,205.77414,2032418,4.2,823949,4.3
171,205.84324,1987296,4.0,800589,4.2
172,205.87524,2130527,4.5,1037046,4.5
173,205.91523,2043231,4.2,980291,4.3
174,205.92139,2079710,4.3,1180842,4.4
175,205.93799,2006814,4.1,991357,4.3
176,205.9906,1987869,4.0,933715,4.2
177,206.00542,2175453,4.6,948822,4.6
178,206.00953,3445597,8.5,1008341,7.3
179,206.02159,1980636,4.0,759333,4.2
180,206.03709,2157788,4.6,1054748,4.6
181,206.0415,2448348,5.4,1213824,5.2
182,206.06112,2384028,5.2,894551,5.1
183,206.09931,2001883,4.1,966739,4.2
184,206.17975,2020121,4.1,708073,4.3
185,206.18654,1978137,4.0,1056196,4.2
186,206.19673,2006553,4.1,618137,4.3
187,206.20742,2471449,5.5,798827,5.2
188,206.21168,1984985,4.0,991467,4.2
189,206.2188,2044568,4.2,950632,4.3
190,206.2352,2041688,4.2,861176,4.3
191,206.24082,1972728,4.0,663739,4.2
192,206.28405,2044503,4.2,1108203,4.3
193,206.30896,2364247,5.2,1111469,5.0
194,206.32462,2458966,5.5,1072394,5.2
195,206.40319,2113237,4.4,919647,4.5
196,206.48726,2064851,4.3,1165086,4.4
197,206.50723,2010451,4.1,1038946,4.3
198,206.5086,2201235,4.7,904428,4.7
199,206.51643,2155219,4.6,1045408,4.6
200,206.536,2663314,6.1,822323,5.6
201,206.58674,2093969,4.4,794142,4.4
202,206.60212,2162161,4.6,496521,4.6
203,206.60911,2330833,5.1,675873,4.9
204,206.61469,2260177,4.9,916627,4.8
205,206.71319,2333391,5.1,799423,4.9
206,206.71598,2301775,5.0,638724,4.9
207,206.73052,2007695,4.1,821429,4.3
208,206.76616,2125390,4.5,1118981,4.5
209,206.77027,2188686,4.7,634356,4.6
210,206.7803,2217678,4.7,1076325,4.7
211,206.82827,2170957,4.6,917781,4.6
212,206.86509,2256013,4.9,526168,4.8
213,206.87538,2013196,4.1,1036400,4.3
214,206.92424,2043980,4.2,1182757,4.3
215,206.92692,2204876,4.7,1014809,4.7
216,206.99355,10428362,29.6,939533,22.1
217,207.02983,3459594,8.5,670575,7.3
218,207.03128,2015690,4.1,960811,4.3
219,207.03615,2004298,4.1,1023854,4.2
220,207.04073,2231626,4.8,1003851,4.7
221,207.04515,2793034,6.5,742331,5.9
222,207.06625,2231625,4.8,1216234,4.7
223,207.11734,1989384,4.1,828339,4.2
224,207.13164,2007112,4.1,1108363,4.3
225,207.13904,2205192,4.7,811298,4.7
226,207.16846,2211784,4.7,669945,4.7
227,207.1989,2018759,4.1,849542,4.3
228,207.20323,2253127,4.9,822043,4.8
229,207.2472,2008646,4.1,723944,4.3
230,207.26308,1977606,4.0,483166,4.2
231,207.27185,1982278,4.0,842514,4.2
232,207.33849,2080709,4.3,1045693,4.4
233,207.42754,2176260,4.6,779312,4.6
234,207.43038,1998212,4.1,985226,4.2
235,207.44152,2016579,4.1,943241,4.3
236,207.4421,1977603,4.0,720834,4.2
237,207.45561,2145795,4.5,472175,4.5
238,207.51848,2060802,4.3,930355,4.4
239,207.60896,2004481,4.1,770061,4.2
240,207.66231,2176704,4.6,991816,4.6
241,207.6999,1972800,4.0,938534,4.2
242,207.73653,2073663,4.3,624966,4.4
243,207.76238,2246975,4.8,1071747,4.8
244,207.76898,2217151,4.7,1003135,4.7
245,207.77523,1973311,4.0,1161989,4.2
246,207.77948,2135871,4.5,1146032,4.5
247,207.90165,1977917,4.0,1056348,4.2
248,207.96044,2209724,4.7,824018,4.7
249,207.9661,2169468,4.6,904250,4.6
250,208.04042,3574843,8.9,870915,7.6
251,208.04606,2005115,4.1,912463,4.3
252,208.05304,3437883,8.4,828699,7.3
253,208.07686,2754747,6.4,1072863,5.8
254,208.15661,2002746,4.1,913612,4.2
255,208.17028,2065658,4.3,635144,4.4
