,m/z,I,S/N,Res.,I %
7311,485.08796,2556854,4.4,340778,1.4
7312,485.10313,2459066,4.2,468090,1.4
7313,485.15105,2910152,5.3,454738,1.6
7314,485.21121,2465242,4.2,403442,1.4
7315,485.56124,2738751,4.9,382133,1.5
7316,485.81327,2612872,4.5,376331,1.4
7317,486.01021,5979329,13.0,378260,3.3
7318,486.0186,2890947,5.2,309177,1.6
7319,486.0211,3788996,7.5,294157,2.1
7320,486.02553,5691590,12.2,378807,3.2
7321,486.03802,5287113,11.2,390236,2.9
7322,486.04076,3464394,6.7,342077,1.9
7323,486.04679,2612428,4.5,518230,1.4
7324,486.04929,2482380,4.2,534083,1.4
7325,486.05329,2873549,5.2,512895,1.6
7326,486.06207,5657808,12.2,405235,3.1
7327,486.07465,2790612,5.0,502637,1.5
7328,486.07722,3986644,8.0,415191,2.2
7329,486.60659,2708844,4.8,387330,1.5
7330,486.82096,2427306,4.1,452889,1.3
7331,486.86349,2898870,5.3,397707,1.6
7332,486.99415,3675611,7.2,395035,2.0
7333,487.00541,4327903,8.8,348012,2.4
7334,487.00958,3122144,5.8,297247,1.7
7335,487.01654,2464226,4.2,526360,1.4
7336,487.02467,4326884,8.8,256449,2.4
7337,487.0306,3434470,6.6,294823,1.9
7338,487.03314,4717031,9.8,359218,2.6
7339,487.04162,2583017,4.5,362084,1.4
7340,487.04579,6555114,14.4,340750,3.6
7341,487.05005,2412011,4.0,255070,1.3
7342,487.05713,2868717,5.2,287774,1.6
7343,487.06112,6929903,15.3,391148,3.8
7344,487.06921,2866161,5.2,338071,1.6
7345,487.07233,2402290,4.0,411357,1.3
7346,487.09743,3288057,6.2,391539,1.8
7347,487.98962,2515702,4.3,425821,1.4
7348,488.00479,3316986,6.3,367630,1.8
7349,488.01735,3112702,5.8,465454,1.7
7350,488.02002,2658559,4.7,309925,1.5
7351,488.0259,4792064,10.0,341154,2.7
7352,488.0287,2812161,5.0,366188,1.6
7353,488.03264,3668738,7.2,394500,2.0
7354,488.03741,2623235,4.6,408182,1.5
7355,488.04112,6184709,13.5,379231,3.4
7356,488.04884,2508551,4.3,443279,1.4
7357,488.05212,3666184,7.2,249149,2.0
7358,488.05639,4716297,9.8,366832,2.6
7359,488.06119,2838282,5.1,486749,1.6
7360,488.06883,4520716,9.3,396502,2.5
7361,488.09297,2829075,5.1,314254,1.6
7362,488.29377,2781516,5.0,381650,1.5
7363,488.68355,2548665,4.4,458138,1.4
7364,488.83331,2506211,4.3,392795,1.4
7365,488.97514,2480139,4.2,526448,1.4
7366,488.98739,2611214,4.5,327595,1.4
7367,489.00234,2470419,4.2,389153,1.4
7368,489.00993,9900053,22.8,401568,5.5
7369,489.02113,3410968,6.5,394976,1.9
7370,489.02526,6723609,14.8,373623,3.7
7371,489.02829,2659354,4.7,325605,1.5
7372,489.03281,2766363,4.9,352059,1.5
7373,489.03654,3732508,7.3,473674,2.1
7374,489.04048,8192029,18.5,396984,4.5
7375,489.04592,2868255,5.2,219112,1.6
7376,489.05001,3686432,7.2,339388,2.0
7377,489.06161,4863011,10.2,310863,2.7
7378,489.0644,3219492,6.1,386176,1.8
7379,489.0729,3668006,7.2,373275,2.0
7380,489.07692,6940711,15.4,370609,3.8
