peakNo	mw	relativeAbundance	errorPPM	DBE	class	formula	z	C	H	O	N	S
6273	474.261706	0.023262279	-0.100891553	8	O7	H38_C27_O7	0	27	38	7	0	0
6311	476.089596	0.069081812	-0.01477663	21	O7	H16_C29_O7	0	29	16	7	0	0
6323	476.183536	0.032447477	0.068295095	14	O7	H28_C28_O7	0	28	28	7	0	0
6331	476.277456	0.026075359	0.109341728	7	O7	H40_C27_O7	0	27	40	7	0	0
6372	478.105256	0.054574025	0.006046786	20	O7	H18_C29_O7	0	29	18	7	0	0
6383	478.199146	0.019306024	-0.015794675	13	O7	H30_C28_O7	0	28	30	7	0	0
6389	478.292896	0.026269088	-0.330335243	6	O7	H42_C27_O7	0	27	42	7	0	0
6436	480.120906	0.048860849	0.005867272	19	O7	H20_C29_O7	0	29	20	7	0	0
6443	480.214786	0.015597599	-0.036706492	12	O7	H32_C28_O7	0	28	32	7	0	0
6452	480.308836	0.02180888	0.274675355	5	O7	H44_C27_O7	0	27	44	7	0	0
6487	482.042846	0.015143618	0.40076728	25	O7	H10_C30_O7	0	30	10	7	0	0
6499	482.136696	0.046703679	0.296063339	18	O7	H22_C29_O7	0	29	22	7	0	0
6505	482.230386	0.016602684	-0.140391402	11	O7	H34_C28_O7	0	28	34	7	0	0
6508	482.324186	0.01560043	-0.348614075	4	O7	H46_C27_O7	0	27	46	7	0	0
6548	484.058266	0.055369612	-0.076203636	24	O7	H12_C30_O7	0	30	12	7	0	0
6560	484.152046	0.03750596	-0.324961964	17	O7	H24_C29_O7	0	29	24	7	0	0
6566	484.245916	0.023818873	-0.387767855	10	O7	H36_C28_O7	0	28	36	7	0	0
6570	484.340056	0.013490943	0.106910423	3	O7	H48_C27_O7	0	27	48	7	0	0
6603	486.073846	0.065897185	-0.220050926	23	O7	H14_C30_O7	0	30	14	7	0	0
6616	486.167896	0.036732931	0.087613765	16	O7	H26_C29_O7	0	29	26	7	0	0
6625	486.261896	0.025301191	0.292334236	9	O7	H38_C28_O7	0	28	38	7	0	0
6631	486.355796	0.011870662	0.291364884	2	O7	H50_C27_O7	0	27	50	7	0	0
6668	488.089746	0.057570496	0.292907198	22	O7	H16_C30_O7	0	30	16	7	0	0
6680	488.183656	0.030458722	0.312425453	15	O7	H28_C29_O7	0	29	28	7	0	0
6689	488.277426	0.027618775	0.04521405	8	O7	H40_C28_O7	0	28	40	7	0	0
6694	488.371276	0.00614537	-0.058084907	1	O7	H52_C27_O7	0	27	52	7	0	0
6732	490.105336	0.047012278	0.169128948	21	O7	H18_C30_O7	0	30	18	7	0	0
6743	490.199166	0.021618866	0.02539172	14	O7	H30_C29_O7	0	29	30	7	0	0
6751	490.292906	0.02607001	-0.301854255	7	O7	H42_C28_O7	0	28	42	7	0	0
6795	492.120846	0.041668765	-0.116197069	20	O7	H20_C30_O7	0	30	20	7	0	0
6802	492.308566	0.026716883	-0.280456221	6	O7	H44_C28_O7	0	28	44	7	0	0
6836	494.042666	0.014162437	0.026692027	26	O7	H10_C31_O7	0	31	10	7	0	0
6846	494.136386	0.035645025	-0.338483473	19	O7	H22_C30_O7	0	30	22	7	0	0
6851	494.230216	0.016576123	-0.480951978	12	O7	H34_C29_O7	0	29	34	7	0	0
6856	494.324336	0.027829104	-0.036706669	5	O7	H46_C28_O7	0	28	46	7	0	0
6898	496.058186	0.04521763	-0.235631632	25	O7	H12_C31_O7	0	31	12	7	0	0
6907	496.152086	0.031685661	-0.236481924	18	O7	H24_C30_O7	0	30	24	7	0	0
6912	496.245856	0.018428153	-0.49929888	11	O7	H36_C29_O7	0	29	36	7	0	0
6918	496.339966	0.015421137	-0.077001657	4	O7	H48_C28_O7	0	28	48	7	0	0
6950	498.073806	0.054503912	-0.29505868	24	O7	H14_C31_O7	0	31	14	7	0	0
6961	498.167796	0.023651123	-0.115232258	17	O7	H26_C30_O7	0	30	26	7	0	0
6968	498.261646	0.0179174	-0.216450535	10	O7	H38_C29_O7	0	29	38	7	0	0
6974	498.355736	0.01034599	0.163953165	3	O7	H50_C28_O7	0	28	50	7	0	0
7011	500.089496	0.046439503	-0.21403169	23	O7	H16_C31_O7	0	31	16	7	0	0
7023	500.183426	0.021004316	-0.154901174	16	O7	H28_C30_O7	0	30	28	7	0	0
7030	500.277396	0.02680985	-0.015837214	9	O7	H40_C29_O7	0	29	40	7	0	0
7035	500.371396	0.009110261	0.183129973	2	O7	H52_C28_O7	0	28	52	7	0	0
7066	502.105146	0.038315392	-0.213319861	22	O7	H18_C31_O7	0	31	18	7	0	0
7073	502.199026	0.017074666	-0.253988943	15	O7	H30_C30_O7	0	30	30	7	0	0
7078	502.293036	0.033757179	-0.035829682	8	O7	H42_C29_O7	0	29	42	7	0	0
7120	504.120796	0.032052795	-0.212613724	21	O7	H20_C31_O7	0	31	20	7	0	0
7127	504.214606	0.01431442	-0.391950169	14	O7	H32_C30_O7	0	30	32	7	0	0
7132	504.308706	0.038795178	0.003825038	7	O7	H44_C29_O7	0	29	44	7	0	0
7170	506.136516	0.033057391	-0.073610575	20	O7	H22_C31_O7	0	31	22	7	0	0
7175	506.230266	0.015301116	-0.370781861	13	O7	H34_C30_O7	0	30	34	7	0	0
7181	506.324296	0.034620828	-0.114837468	6	O7	H46_C29_O7	0	29	46	7	0	0
7216	508.058396	0.030159743	0.18327224	26	O7	H12_C32_O7	0	32	12	7	0	0
7227	508.152206	0.028620481	0.005252363	19	O7	H24_C31_O7	0	31	24	7	0	0
7232	508.245966	0.014635048	-0.271079377	12	O7	H36_C30_O7	0	30	36	7	0	0
7238	508.339926	0.024575378	-0.153871447	5	O7	H48_C29_O7	0	29	48	7	0	0
7274	510.074086	0.051175995	0.260822895	25	O7	H14_C32_O7	0	32	14	7	0	0
7285	510.167966	0.022023654	0.220701823	18	O7	H26_C31_O7	0	31	26	7	0	0
7291	510.261746	0.017829286	-0.015382301	11	O7	H38_C30_O7	0	30	38	7	0	0
7297	510.355536	0.012456529	-0.231785474	4	O7	H50_C29_O7	0	29	50	7	0	0
7336	512.089586	0.037765364	-0.033265664	24	O7	H16_C32_O7	0	32	16	7	0	0
7345	512.183546	0.01693632	0.083019067	17	O7	H28_C31_O7	0	31	28	7	0	0
7353	512.277346	0.023290769	-0.113069611	10	O7	H40_C30_O7	0	30	40	7	0	0
7359	512.371306	0.010006396	0.003187142	3	O7	H52_C29_O7	0	29	52	7	0	0
7395	514.105166	0.030834342	-0.169438095	23	O7	H18_C32_O7	0	32	18	7	0	0
7403	514.199096	0.014808354	-0.111927462	16	O7	H30_C31_O7	0	31	30	7	0	0
7409	514.293006	0.028710451	-0.093326177	9	O7	H42_C30_O7	0	30	42	7	0	0
7413	514.387076	0.006198847	0.236318146	2	O7	H54_C29_O7	0	29	54	7	0	0
7453	516.121026	0.027602536	0.237961629	22	O7	H20_C32_O7	0	32	20	7	0	0
7463	516.214956	0.01178537	0.295173548	15	O7	H32_C31_O7	0	31	32	7	0	0
7469	516.308676	0.040275625	-0.054368639	8	O7	H44_C30_O7	0	30	44	7	0	0
7508	518.136616	0.027174962	0.121093546	21	O7	H22_C32_O7	0	32	22	7	0	0
7514	518.230556	0.013320786	0.197400556	14	O7	H34_C31_O7	0	31	34	7	0	0
7520	518.324486	0.059895577	0.254386979	7	O7	H46_C30_O7	0	30	46	7	0	0
7549	520.058226	0.025500265	-0.147843061	27	O7	H12_C33_O7	0	33	12	7	0	0
7564	520.152146	0.023215176	-0.110219674	20	O7	H24_C32_O7	0	32	24	7	0	0
7568	520.245876	0.014092452	-0.437821827	13	O7	H36_C31_O7	0	31	36	7	0	0
7573	520.339976	0.039145983	-0.054231851	6	O7	H48_C30_O7	0	30	48	7	0	0
7603	522.074066	0.056629586	0.216519087	26	O7	H14_C33_O7	0	33	14	7	0	0
7616	522.167936	0.019332926	0.158177081	19	O7	H26_C32_O7	0	32	26	7	0	0
7622	522.261696	0.014297269	-0.110766308	12	O7	H38_C31_O7	0	31	38	7	0	0
7629	522.355676	0.020299684	0.041555976	5	O7	H50_C30_O7	0	30	50	7	0	0
7664	524.089546	0.055080218	-0.108826823	25	O7	H16_C33_O7	0	33	16	7	0	0
7673	524.183366	0.015546108	-0.262272725	18	O7	H28_C32_O7	0	32	28	7	0	0
7679	524.277236	0.012079647	-0.32029428	11	O7	H40_C31_O7	0	31	40	7	0	0
7684	524.371446	0.01466324	0.270100519	4	O7	H52_C30_O7	0	30	52	7	0	0
7718	526.105416	0.02569101	0.309616657	24	O7	H18_C33_O7	0	33	18	7	0	0
7727	526.199256	0.013006268	0.194692408	17	O7	H30_C32_O7	0	32	30	7	0	0
7734	526.292926	0.014157895	-0.243204865	10	O7	H42_C31_O7	0	31	42	7	0	0
7740	526.386966	0.013984953	0.02195913	3	O7	H54_C30_O7	0	30	54	7	0	0
7776	528.120836	0.020871931	-0.127211417	23	O7	H20_C33_O7	0	33	20	7	0	0
7784	528.214716	0.009502802	-0.165892765	16	O7	H32_C32_O7	0	32	32	7	0	0
7790	528.308636	0.018634656	-0.128847032	9	O7	H44_C31_O7	0	31	44	7	0	0
7795	528.402666	0.008613964	0.116360125	2	O7	H56_C30_O7	0	30	56	7	0	0
7831	530.136726	0.02151816	0.325846129	22	O7	H22_C33_O7	0	33	22	7	0	0
7839	530.230446	0.009576244	-0.014523874	15	O7	H34_C32_O7	0	32	34	7	0	0
7844	530.324376	0.022371542	0.041210627	8	O7	H46_C31_O7	0	31	46	7	0	0
7877	532.058276	0.017587953	-0.050533938	28	O7	H12_C34_O7	0	34	12	7	0	0
7891	532.152166	0.018345784	-0.070150987	21	O7	H24_C33_O7	0	33	24	7	0	0
7898	532.245846	0.011090573	-0.484315663	14	O7	H36_C32_O7	0	32	36	7	0	0
7903	532.340006	0.022480755	0.003345606	7	O7	H48_C31_O7	0	31	48	7	0	0
7930	534.073926	0.037535836	-0.050481775	27	O7	H14_C34_O7	0	34	14	7	0	0
7941	534.167986	0.017470496	0.248227156	20	O7	H26_C33_O7	0	33	26	7	0	0
7947	534.261726	0.010567308	-0.052126137	13	O7	H38_C32_O7	0	32	38	7	0	0
7953	534.355796	0.016748713	0.26519222	6	O7	H50_C31_O7	0	31	50	7	0	0
7979	536.089726	0.037644999	0.229373916	26	O7	H16_C34_O7	0	34	16	7	0	0
7988	536.183656	0.013737217	0.284456638	19	O7	H28_C33_O7	0	33	28	7	0	0
7993	536.277276	0.01101656	-0.238538916	12	O7	H40_C32_O7	0	32	40	7	0	0
7999	536.371166	0.010968909	-0.257968752	5	O7	H52_C31_O7	0	31	52	7	0	0
8034	538.105246	0.024502486	-0.01321117	25	O7	H18_C34_O7	0	34	18	7	0	0
