peakNo	mw	relativeAbundance	errorPPM	DBE	class	formula	z	C	H	O	N	S
63	175.099738	0.008991124	0.136527903	5	N1O1	H13_C11_N_O	0	11	13	1	1	0
180	195.068477	0.008583956	0.323240336	9	N1O1	H9_C13_N_O	0	13	9	1	1	0
197	197.084044	0.007380136	-0.101581029	8	N1O1	H11_C13_N_O	0	13	11	1	1	0
559	237.115328	0.007956236	-0.15253337	9	N1O1	H15_C16_N_O	0	16	15	1	1	0
748	253.052886	0.009202249	0.482618483	15	N1O1	H7_C18_N_O	0	18	7	1	1	0
1829	327.068539	0.01335343	0.382347995	20	N1O1	H9_C24_N_O	0	24	9	1	1	0
2053	341.084148	0.008527723	0.246214902	20	N1O1	H11_C25_N_O	0	25	11	1	1	0
2091	343.099856	0.009446055	0.413599707	19	N1O1	H13_C25_N_O	0	25	13	1	1	0
2252	353.038337	0.010129354	0.116757858	9	N1O10	H11_C14_N_O10	0	14	11	10	1	0
2287	355.053909	0.013551365	-0.103798322	8	N1O10	H13_C14_N_O10	0	14	13	10	1	0
2323	357.069618	0.013573227	0.061814276	7	N1O10	H15_C14_N_O10	0	14	15	10	1	0
2423	363.022517	0.009522619	-0.354539991	11	N1O10	H9_C15_N_O10	0	15	9	10	1	0
2456	365.038241	0.011596481	-0.150066469	10	N1O10	H11_C15_N_O10	0	15	11	10	1	0
2490	367.053958	0.015923101	0.033090503	9	N1O10	H13_C15_N_O10	0	15	13	10	1	0
2525	369.069595	0.023635827	-0.002514431	8	N1O10	H15_C15_N_O10	0	15	15	10	1	0
2562	371.085212	0.018968043	-0.09162855	7	N1O10	H17_C15_N_O10	0	15	17	10	1	0
2601	373.100873	0.011209374	-0.061849225	6	N1O10	H19_C15_N_O10	0	15	19	10	1	0
2668	377.038289	0.018166706	-0.017982259	11	N1O10	H11_C16_N_O10	0	16	11	10	1	0
2701	379.053928	0.028940352	-0.047101477	10	N1O10	H13_C16_N_O10	0	16	13	10	1	0
2740	381.069572	0.032177861	-0.062791684	9	N1O10	H15_C16_N_O10	0	16	15	10	1	0
2779	383.085242	0.032042888	-0.010446761	8	N1O10	H17_C16_N_O10	0	16	17	10	1	0
2817	385.100977	0.023870759	0.210137094	7	N1O10	H19_C16_N_O10	0	16	19	10	1	0
2857	387.116577	0.010828274	0.079691757	6	N1O10	H21_C16_N_O10	0	16	21	10	1	0
2888	389.038365	0.017833332	0.177925897	12	N1O10	H11_C17_N_O10	0	17	11	10	1	0
2928	391.053956	0.033844735	0.025945269	11	N1O10	H13_C17_N_O10	0	17	13	10	1	0
2966	393.069599	0.037171593	0.00781541	10	N1O10	H15_C17_N_O10	0	17	15	10	1	0
3000	395.08529	0.040125199	0.111363296	9	N1O10	H17_C17_N_O10	0	17	17	10	1	0
3035	397.100914	0.02923673	0.045137141	8	N1O10	H19_C17_N_O10	0	17	19	10	1	0
3072	399.116525	0.020912037	-0.052992043	7	N1O10	H21_C17_N_O10	0	17	21	10	1	0
3101	401.038299	0.017099809	0.008029158	13	N1O10	H11_C18_N_O10	0	18	11	10	1	0
3139	403.053942	0.031054886	-0.009561996	12	N1O10	H13_C18_N_O10	0	18	13	10	1	0
3180	405.069607	0.042667196	0.027333574	11	N1O10	H15_C18_N_O10	0	18	15	10	1	0
3216	407.085269	0.041909405	0.056494307	10	N1O10	H17_C18_N_O10	0	18	17	10	1	0
3252	409.100901	0.038034862	0.01203615	9	N1O10	H19_C18_N_O10	0	18	19	10	1	0
3286	411.116579	0.025646364	0.079904343	8	N1O10	H21_C18_N_O10	0	18	21	10	1	0
3308	413.038357	0.014826425	0.14821868	14	N1O10	H11_C19_N_O10	0	19	11	10	1	0
3322	413.132146	0.013617165	-0.12156885	7	N1O10	H23_C18_N_O10	0	18	23	10	1	0
3348	415.053924	0.025650659	-0.052653399	13	N1O10	H13_C19_N_O10	0	19	13	10	1	0
3359	415.147826	0.01041453	-0.048893427	6	N1O10	H25_C18_N_O10	0	18	25	10	1	0
3386	417.069632	0.033980107	0.086489155	12	N1O10	H15_C19_N_O10	0	19	15	10	1	0
3426	419.08526	0.038252969	0.033401318	11	N1O10	H17_C19_N_O10	0	19	17	10	1	0
3461	421.100882	0.035380189	-0.033426669	10	N1O10	H19_C19_N_O10	0	19	19	10	1	0
3495	423.116572	0.035624069	0.061094275	9	N1O10	H21_C19_N_O10	0	19	21	10	1	0
3524	425.038244	0.010809853	-0.121824332	15	N1O10	H11_C20_N_O10	0	20	11	10	1	0
3537	425.132222	0.020833824	0.060630549	8	N1O10	H23_C19_N_O10	0	19	23	10	1	0
3564	427.053948	0.026588782	0.005025126	14	N1O10	H13_C20_N_O10	0	20	13	10	1	0
3576	427.147896	0.010995016	0.116357825	7	N1O10	H25_C19_N_O10	0	19	25	10	1	0
3604	429.069633	0.030958215	0.086400894	13	N1O10	H15_C20_N_O10	0	20	15	10	1	0
3642	431.085284	0.030289769	0.088144972	12	N1O10	H17_C20_N_O10	0	20	17	10	1	0
3679	433.100931	0.027250948	0.080637093	11	N1O10	H19_C20_N_O10	0	20	19	10	1	0
3712	435.116542	0.026603184	-0.009537674	10	N1O10	H21_C20_N_O10	0	20	21	10	1	0
3747	437.132272	0.01772483	0.173347988	9	N1O10	H23_C20_N_O10	0	20	23	10	1	0
3772	439.053957	0.014471634	0.025386401	15	N1O10	H13_C21_N_O10	0	21	13	10	1	0
3783	439.147864	0.016423973	0.040309885	8	N1O10	H25_C20_N_O10	0	20	25	10	1	0
3810	441.069624	0.023636924	0.063645281	14	N1O10	H15_C21_N_O10	0	21	15	10	1	0
3852	443.085275	0.022180551	0.065445641	13	N1O10	H17_C21_N_O10	0	21	17	10	1	0
3893	445.10092	0.030247026	0.053749608	12	N1O10	H19_C21_N_O10	0	21	19	10	1	0
3933	447.116565	0.025335318	0.042159029	11	N1O10	H21_C21_N_O10	0	21	21	10	1	0
3969	449.132251	0.021950853	0.121959623	10	N1O10	H23_C21_N_O10	0	21	23	10	1	0
3991	451.053866	0.010909322	-0.177038722	16	N1O10	H13_C22_N_O10	0	22	13	10	1	0
3999	451.147924	0.017298287	0.172231758	9	N1O10	H25_C21_N_O10	0	21	25	10	1	0
4027	453.069696	0.013699512	0.22087551	15	N1O10	H15_C22_N_O10	0	22	15	10	1	0
4035	453.163637	0.010370393	0.310324987	8	N1O10	H27_C21_N_O10	0	21	27	10	1	0
4062	455.085212	0.019285055	-0.074715677	14	N1O10	H17_C22_N_O10	0	22	17	10	1	0
4101	457.100839	0.017044308	-0.124865227	13	N1O10	H19_C22_N_O10	0	22	19	10	1	0
4137	459.116605	0.019160727	0.128180945	12	N1O10	H21_C22_N_O10	0	22	21	10	1	0
4169	461.132287	0.021138941	0.196854574	11	N1O10	H23_C22_N_O10	0	22	23	10	1	0
4196	463.054054	0.009164511	0.233549408	17	N1O10	H13_C23_N_O10	0	23	13	10	1	0
4205	463.147899	0.018424849	0.113790865	10	N1O10	H25_C22_N_O10	0	22	25	10	1	0
4228	465.069618	0.014511687	0.047459561	16	N1O10	H15_C23_N_O10	0	23	15	10	1	0
4235	465.163437	0.011512555	-0.127636859	9	N1O10	H27_C22_N_O10	0	22	27	10	1	0
4262	467.085309	0.016652345	0.13487472	15	N1O10	H17_C23_N_O10	0	23	17	10	1	0
4302	469.100893	0.019218017	-0.006557225	14	N1O10	H19_C23_N_O10	0	23	19	10	1	0
4341	471.116561	0.012407695	0.031520862	13	N1O10	H21_C23_N_O10	0	23	21	10	1	0
4373	473.132188	0.015842403	-0.017382034	12	N1O10	H23_C23_N_O10	0	23	23	10	1	0
4406	475.147847	0.012606632	0.001477435	11	N1O10	H25_C23_N_O10	0	23	25	10	1	0
4436	477.163544	0.011668662	0.099814834	10	N1O10	H27_C23_N_O10	0	23	27	10	1	0
4457	479.085169	0.011426857	-0.160727163	16	N1O10	H17_C24_N_O10	0	24	17	10	1	0
4481	481.100995	0.010276405	0.205620028	15	N1O10	H19_C24_N_O10	0	24	19	10	1	0
4510	483.116611	0.013557409	0.134232603	14	N1O10	H21_C24_N_O10	0	24	21	10	1	0
4542	485.132382	0.012014794	0.382938775	13	N1O10	H23_C24_N_O10	0	24	23	10	1	0
4578	487.147853	0.0145391	0.01375763	12	N1O10	H25_C24_N_O10	0	24	25	10	1	0
4615	489.163721	0.010128588	0.459208217	11	N1O10	H27_C24_N_O10	0	24	27	10	1	0
4643	491.085194	0.011650774	-0.105892013	17	N1O10	H17_C25_N_O10	0	25	17	10	1	0
4669	493.100673	0.011386662	-0.452394434	16	N1O10	H19_C25_N_O10	0	25	19	10	1	0
4700	495.116629	0.014284173	0.167334311	15	N1O10	H21_C25_N_O10	0	25	21	10	1	0
2521	369.033233	0.009159699	0.061186901	9	N1O11	H11_C14_N_O11	0	14	11	11	1	0
2735	381.033217	0.009972195	0.017268836	10	N1O11	H11_C15_N_O11	0	15	11	11	1	0
2774	383.04882	0.011514782	-0.105714984	9	N1O11	H13_C15_N_O11	0	15	13	11	1	0
2813	385.064599	0.016659455	0.229654973	8	N1O11	H15_C15_N_O11	0	15	15	11	1	0
2852	387.08025	0.010750475	0.230851355	7	N1O11	H17_C15_N_O11	0	15	17	11	1	0
2961	393.033156	0.01009912	-0.138461601	11	N1O11	H11_C16_N_O11	0	16	11	11	1	0
2994	395.048858	0.021089801	-0.006313143	10	N1O11	H13_C16_N_O11	0	16	13	11	1	0
3030	397.064519	0.021365467	0.021235844	9	N1O11	H15_C16_N_O11	0	16	15	11	1	0
3067	399.080122	0.016724144	-0.096827674	8	N1O11	H17_C16_N_O11	0	16	17	11	1	0
3176	405.03324	0.012740637	0.073031043	12	N1O11	H11_C17_N_O11	0	17	11	11	1	0
3210	407.04882	0.029052124	-0.099481924	11	N1O11	H13_C17_N_O11	0	17	13	11	1	0
3247	409.064532	0.02825627	0.052392711	10	N1O11	H15_C17_N_O11	0	17	15	11	1	0
3282	411.080202	0.024879243	0.100608105	9	N1O11	H17_C17_N_O11	0	17	17	11	1	0
3317	413.095823	0.023119254	0.029736442	8	N1O11	H19_C17_N_O11	0	17	19	11	1	0
3355	415.11144	0.010405854	-0.050082937	7	N1O11	H21_C17_N_O11	0	17	21	11	1	0
3383	417.033155	0.016862421	-0.132891113	13	N1O11	H11_C18_N_O11	0	18	11	11	1	0
3420	419.048931	0.027258108	0.168252428	12	N1O11	H13_C18_N_O11	0	18	13	11	1	0
3457	421.064503	0.034530143	-0.017973493	11	N1O11	H15_C18_N_O11	0	18	15	11	1	0
3490	423.080142	0.035071184	-0.044062574	10	N1O11	H17_C18_N_O11	0	18	17	11	1	0
3533	425.095834	0.031369057	0.054773531	9	N1O11	H19_C18_N_O11	0	18	19	11	1	0
3573	427.111503	0.020694062	0.098826652	8	N1O11	H21_C18_N_O11	0	18	21	11	1	0
3599	429.033137	0.011594575	-0.171128973	14	N1O11	H11_C19_N_O11	0	19	11	11	1	0
3611	429.127068	0.009524927	-0.099886498	7	N1O11	H23_C18_N_O11	0	18	23	11	1	0
3638	431.048875	0.02308194	0.033652796	13	N1O11	H13_C19_N_O11	0	19	13	11	1	0
3672	433.064525	0.028363527	0.033325288	12	N1O11	H15_C19_N_O11	0	19	15	11	1	0
3708	435.080213	0.033285736	0.120341028	11	N1O11	H17_C19_N_O11	0	19	17	11	1	0
3743	437.095856	0.028850922	0.103601989	10	N1O11	H19_C19_N_O11	0	19	19	11	1	0
3780	439.111484	0.023220551	0.052856737	9	N1O11	H21_C19_N_O11	0	19	21	11	1	0
3807	441.033198	0.008982884	-0.028161145	15	N1O11	H11_C20_N_O11	0	20	11	11	1	0
3816	441.12708	0.019763562	-0.069966233	8	N1O11	H23_C19_N_O11	0	19	23	11	1	0
3846	443.048902	0.02292687	0.093682661	14	N1O11	H13_C20_N_O11	0	20	13	11	1	0
3888	445.064504	0.032403111	-0.014757411	13	N1O11	H15_C20_N_O11	0	20	15	11	1	0
3928	447.080153	0.034346755	-0.017093132	12	N1O11	H17_C20_N_O11	0	20	17	11	1	0
3966	449.095837	0.031881409	0.058526484	11	N1O11	H19_C20_N_O11	0	20	19	11	1	0
3997	451.111443	0.023770069	-0.039435931	10	N1O11	H21_C20_N_O11	0	20	21	11	1	0
4022	453.033169	0.009715496	-0.091428184	16	N1O11	H11_C21_N_O11	0	21	11	11	1	0
4032	453.127203	0.017776839	0.203333632	9	N1O11	H23_C20_N_O11	0	20	23	11	1	0
4056	455.048937	0.012809757	0.168126972	15	N1O11	H13_C21_N_O11	0	21	13	11	1	0
4068	455.142819	0.014420017	0.127568749	8	N1O11	H25_C20_N_O11	0	20	25	11	1	0
4097	457.064553	0.023243119	0.092835902	14	N1O11	H15_C21_N_O11	0	21	15	11	1	0
