peakNo	mw	relativeAbundance	errorPPM	DBE	class	formula	z	C	H	O	N	S
562	279.256196	0.012572242	-0.067443445	2	N1O1	H33_C18_N_O	0	18	33	1	1	0
577	281.271876	0.082572946	0.039435155	1	N1O1	H35_C18_N_O	0	18	35	1	1	0
593	283.287526	0.012845363	0.038893347	0	N1O1	H37_C18_N_O	0	18	37	1	1	0
1079	337.055996	0.028002049	-0.414827214	17	N1O1S1	H11_C22_N_O_S	0	22	11	1	1	1
1194	349.055996	0.024079337	-0.400566103	18	N1O1S1	H11_C23_N_O_S	0	23	11	1	1	1
1319	363.071646	0.020731205	-0.385306871	18	N1O1S1	H13_C24_N_O_S	0	24	13	1	1	1
1340	365.087296	0.020564815	-0.38338228	17	N1O1S1	H15_C24_N_O_S	0	24	15	1	1	1
1393	371.040356	0.011911703	-0.349681639	21	N1O1S1	H9_C25_N_O_S	0	25	9	1	1	1
1411	373.055976	0.015000796	-0.428407559	20	N1O1S1	H11_C25_N_O_S	0	25	11	1	1	1
1431	375.071656	0.019457003	-0.346317824	19	N1O1S1	H13_C25_N_O_S	0	25	13	1	1	1
1465	379.102946	0.01264889	-0.369403618	17	N1O1S1	H17_C25_N_O_S	0	25	17	1	1	1
1566	391.102946	0.015628845	-0.358069407	18	N1O1S1	H17_C26_N_O_S	0	26	17	1	1	1
1587	393.118586	0.012131081	-0.38185933	17	N1O1S1	H19_C26_N_O_S	0	26	19	1	1	1
1605	395.134266	0.013167451	-0.304175088	16	N1O1S1	H21_C26_N_O_S	0	26	21	1	1	1
1637	399.071616	0.014853014	-0.425723086	21	N1O1S1	H13_C27_N_O_S	0	27	13	1	1	1
1655	401.087416	0.012954972	-0.049784658	20	N1O1S1	H15_C27_N_O_S	0	27	15	1	1	1
1674	403.102976	0.01573531	-0.272987317	19	N1O1S1	H17_C27_N_O_S	0	27	17	1	1	1
1780	417.118556	0.012603666	-0.431810087	19	N1O1S1	H19_C28_N_O_S	0	28	19	1	1	1
1886	431.134346	0.012583243	-0.093219203	19	N1O1S1	H21_C29_N_O_S	0	29	21	1	1	1
1446	377.050886	0.013956284	-0.436174548	19	N1O2S1	H11_C24_N_O2_S	0	24	11	2	1	1
1548	389.050856	0.014575929	-0.499831826	20	N1O2S1	H11_C25_N_O2_S	0	25	11	2	1	1
1564	391.066506	0.014487857	-0.4974448	19	N1O2S1	H13_C25_N_O2_S	0	25	13	2	1	1
1584	393.082166	0.015360347	-0.469642268	18	N1O2S1	H15_C25_N_O2_S	0	25	15	2	1	1
1672	403.066526	0.012397728	-0.433015368	20	N1O2S1	H13_C26_N_O2_S	0	26	13	2	1	1
1703	407.097846	0.012273302	-0.379962708	18	N1O2S1	H17_C26_N_O2_S	0	26	17	2	1	1
1779	417.082276	0.012951134	-0.178880773	20	N1O2S1	H15_C27_N_O2_S	0	27	15	2	1	1
